,date,hour,type,万寿西宫
72,20140402,12,PCA,18.76149947053822
72,20140402,12,PM2.5,83.0
78,20140402,13,PCA,16.19555668303828
78,20140402,13,PM2.5,87.0
84,20140402,14,PCA,30.001146857092742
84,20140402,14,PM2.5,106.0
90,20140402,15,PCA,34.49567521395538
90,20140402,15,PM2.5,112.0
96,20140402,16,PCA,36.038995168827206
96,20140402,16,PM2.5,111.0
102,20140402,17,PCA,64.74515221675954
102,20140402,17,PM2.5,138.0
108,20140402,18,PCA,75.2594556292758
108,20140402,18,PM2.5,141.0
114,20140402,19,PCA,61.57258367938373
114,20140402,19,PM2.5,119.0
120,20140402,20,PCA,54.83580696530746
120,20140402,20,PM2.5,102.0
126,20140402,21,PCA,54.91938681878094
126,20140402,21,PM2.5,95.0
132,20140402,22,PCA,38.17259544182859
132,20140402,22,PM2.5,73.0
138,20140402,23,PCA,20.733403960925575
138,20140402,23,PM2.5,53.0
144,20140403,0,PCA,20.074439684119795
144,20140403,0,PM2.5,56.0
150,20140403,1,PCA,16.698370386472916
150,20140403,1,PM2.5,49.0
156,20140403,2,PCA,17.015848085198854
156,20140403,2,PM2.5,49.0
162,20140403,3,PCA,9.412167923092175
162,20140403,3,PM2.5,43.0
168,20140403,4,PCA,2.837008992792283
168,20140403,4,PM2.5,38.0
174,20140403,5,PCA,-2.9814280615352007
174,20140403,5,PM2.5,39.0
180,20140403,6,PCA,-23.049221383187597
180,20140403,6,PM2.5,20.0
186,20140403,7,PCA,-41.35494243093179
186,20140403,7,PM2.5,4.0
192,20140403,8,PCA,-43.98766652465249
192,20140403,8,PM2.5,3.0
198,20140403,9,PCA,-42.76316638553419
198,20140403,9,PM2.5,16.0
204,20140403,10,PCA,-51.69233312993641
204,20140403,10,PM2.5,11.0
210,20140403,11,PCA,-58.767831288677016
210,20140403,11,PM2.5,6.0
216,20140403,12,PCA,-57.236485910400006
216,20140403,12,PM2.5,14.0
222,20140403,13,PCA,-67.27153654714054
222,20140403,13,PM2.5,6.0
228,20140403,14,PCA,-62.49163032475014
228,20140403,14,PM2.5,18.0
234,20140403,15,PCA,-68.65646870579171
234,20140403,15,PM2.5,14.0
240,20140403,16,PCA,-73.26727226328214
240,20140403,16,PM2.5,13.0
246,20140403,17,PCA,-77.47329104619367
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-77.9620879273167
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-79.50167382308808
258,20140403,19,PM2.5,10.0
264,20140403,20,PCA,-69.80012170466154
264,20140403,20,PM2.5,19.0
270,20140403,21,PCA,-71.68564935238904
270,20140403,21,PM2.5,14.0
276,20140403,22,PCA,-58.7819023216711
276,20140403,22,PM2.5,19.0
282,20140403,23,PCA,-53.02232635796814
282,20140403,23,PM2.5,31.0
288,20140404,0,PCA,-63.80250868483625
288,20140404,0,PM2.5,35.0
294,20140404,1,PCA,-67.8616018315077
294,20140404,1,PM2.5,35.0
300,20140404,2,PCA,-69.44221736226727
300,20140404,2,PM2.5,33.0
306,20140404,3,PCA,-71.02283289302683
306,20140404,3,PM2.5,31.0
312,20140404,4,PCA,-67.72512052250309
312,20140404,4,PM2.5,34.0
318,20140404,5,PCA,-71.55027354891028
318,20140404,5,PM2.5,31.0
324,20140404,6,PCA,-61.65611242422941
324,20140404,6,PM2.5,35.0
330,20140404,7,PCA,-58.66399987383709
330,20140404,7,PM2.5,37.0
336,20140404,8,PCA,-15.916743541916158
336,20140404,8,PM2.5,46.0
342,20140404,9,PCA,-14.501214706204886
342,20140404,9,PM2.5,48.0
348,20140404,10,PCA,-4.7660522684671625
348,20140404,10,PM2.5,58.0
354,20140404,11,PCA,0.5145732104274995
354,20140404,11,PM2.5,60.0
360,20140404,12,PCA,0.1731839947842113
360,20140404,12,PM2.5,59.0
366,20140404,13,PCA,-9.097876701242253
366,20140404,13,PM2.5,56.0
372,20140404,14,PCA,-34.98489756023097
372,20140404,14,PM2.5,36.0
378,20140404,15,PCA,-54.17437943652133
378,20140404,15,PM2.5,22.0
384,20140404,16,PCA,-57.53350059947076
384,20140404,16,PM2.5,17.0
390,20140404,17,PCA,-55.382191399827946
390,20140404,17,PM2.5,19.0
396,20140404,18,PCA,-53.225806664699945
396,20140404,18,PM2.5,19.0
402,20140404,19,PCA,-51.91971279797527
402,20140404,19,PM2.5,16.0
