,date,hour,type,万柳
72,20140402,12,PCA,27.707471177535854
72,20140402,12,PM2.5,66.0
78,20140402,13,PCA,12.496011572783916
78,20140402,13,PM2.5,52.0
84,20140402,14,PCA,17.153977323966053
84,20140402,14,PM2.5,65.0
90,20140402,15,PCA,44.0698850021942
90,20140402,15,PM2.5,102.0
96,20140402,16,PCA,49.446334478741335
96,20140402,16,PM2.5,108.0
102,20140402,17,PCA,63.15781747216897
102,20140402,17,PM2.5,120.0
108,20140402,18,PCA,91.16439480576983
108,20140402,18,PM2.5,146.0
114,20140402,19,PCA,95.08249434559653
114,20140402,19,PM2.5,141.0
120,20140402,20,PCA,85.25720672227497
120,20140402,20,PM2.5,120.0
126,20140402,21,PCA,81.19285886952815
126,20140402,21,PM2.5,105.0
132,20140402,22,PCA,77.11921129773378
132,20140402,22,PM2.5,95.0
138,20140402,23,PCA,55.63423854057896
138,20140402,23,PM2.5,73.0
144,20140403,0,PCA,41.77695582899935
144,20140403,0,PM2.5,58.0
150,20140403,1,PCA,36.310433989689116
150,20140403,1,PM2.5,53.0
156,20140403,2,PCA,44.358061266819234
156,20140403,2,PM2.5,56.0
162,20140403,3,PCA,41.1798418495841
162,20140403,3,PM2.5,55.0
168,20140403,4,PCA,33.5311086348108
168,20140403,4,PM2.5,53.0
174,20140403,5,PCA,-12.296714194935701
174,20140403,5,PM2.5,12.0
180,20140403,6,PCA,-17.882626074178297
180,20140403,6,PM2.5,10.0
186,20140403,7,PCA,-21.01094866748986
186,20140403,7,PM2.5,6.0
192,20140403,8,PCA,-27.9582712272292
192,20140403,8,PM2.5,3.0
198,20140403,9,PCA,-27.032692854140524
198,20140403,9,PM2.5,15.0
204,20140403,10,PCA,-35.56265012891845
204,20140403,10,PM2.5,14.0
210,20140403,11,PCA,-43.0375968656795
210,20140403,11,PM2.5,11.0
216,20140403,12,PCA,-45.2989945118677
216,20140403,12,PM2.5,13.0
222,20140403,13,PCA,-53.8172350530651
222,20140403,13,PM2.5,5.0
228,20140403,14,PCA,-50.35850372982243
228,20140403,14,PM2.5,13.0
234,20140403,15,PCA,-48.88884378626072
234,20140403,15,PM2.5,18.0
240,20140403,16,PCA,-56.75744414583039
240,20140403,16,PM2.5,7.0
246,20140403,17,PCA,-63.930307485179064
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-58.24135229358087
252,20140403,18,PM2.5,17.0
258,20140403,19,PCA,-60.12667427239773
258,20140403,19,PM2.5,6.0
264,20140403,20,PCA,-49.648845845047184
264,20140403,20,PM2.5,15.0
270,20140403,21,PCA,-39.99897603511129
270,20140403,21,PM2.5,23.0
276,20140403,22,PCA,-38.000545243317845
276,20140403,22,PM2.5,18.0
282,20140403,23,PCA,-24.19427892546972
282,20140403,23,PM2.5,36.0
288,20140404,0,PCA,-29.505451076716586
288,20140404,0,PM2.5,38.0
294,20140404,1,PCA,-35.49959797396963
294,20140404,1,PM2.5,36.0
300,20140404,2,PCA,-44.343446644117925
300,20140404,2,PM2.5,28.0
306,20140404,3,PCA,-37.73259960086408
306,20140404,3,PM2.5,33.0
312,20140404,4,PCA,-30.156430261557855
312,20140404,4,PM2.5,39.0
318,20140404,5,PCA,-28.817206438351676
318,20140404,5,PM2.5,37.0
324,20140404,6,PCA,-26.44853999911788
324,20140404,6,PM2.5,36.0
330,20140404,7,PCA,-15.760994236197945
330,20140404,7,PM2.5,43.0
336,20140404,8,PCA,-3.7823952582503746
336,20140404,8,PM2.5,52.0
342,20140404,9,PCA,8.311008231927293
342,20140404,9,PM2.5,63.0
348,20140404,10,PCA,3.420512240451204
348,20140404,10,PM2.5,55.0
354,20140404,11,PCA,6.508812740561641
354,20140404,11,PM2.5,57.0
360,20140404,12,PCA,-6.121017398702085
360,20140404,12,PM2.5,44.0
366,20140404,13,PCA,-21.140030834077663
366,20140404,13,PM2.5,33.0
372,20140404,14,PCA,-37.00236957639713
372,20140404,14,PM2.5,28.0
378,20140404,15,PCA,-39.55656707275933
378,20140404,15,PM2.5,26.0
384,20140404,16,PCA,-39.62442944948372
384,20140404,16,PM2.5,26.0
390,20140404,17,PCA,-39.5657003425717
390,20140404,17,PM2.5,25.0
396,20140404,18,PCA,-38.431702574727694
396,20140404,18,PM2.5,23.0
402,20140404,19,PCA,-40.83637623248176
402,20140404,19,PM2.5,14.0
408,20140404,20,PCA,-36.90977755618143
408,20140404,20,PM2.5,16.0
414,20140404,21,PCA,-41.246137930417696
414,20140404,21,PM2.5,8.0
420,20140404,22,PCA,-38.07733793052161
420,20140404,22,PM2.5,10.0
426,20140404,23,PCA,-35.90498630705454
426,20140404,23,PM2.5,5.0
432,20140405,0,PCA,-14.222284052593935
432,20140405,0,PM2.5,30.0
438,20140405,1,PCA,-9.285937758499758
438,20140405,1,PM2.5,36.0
444,20140405,2,PCA,-16.541113360969106
444,20140405,2,PM2.5,31.0
450,20140405,3,PCA,-8.585507325440643
450,20140405,3,PM2.5,39.0
456,20140405,4,PCA,-11.688119557197028
456,20140405,4,PM2.5,33.0
462,20140405,5,PCA,-18.920890245980303
462,20140405,5,PM2.5,22.0
468,20140405,6,PCA,-37.24130244230521
468,20140405,6,PM2.5,9.0
474,20140405,7,PCA,-44.72518840215234
474,20140405,7,PM2.5,3.0
480,20140405,8,PCA,-39.997095301622835
480,20140405,8,PM2.5,10.0
486,20140405,9,PCA,-48.815336640609274
486,20140405,9,PM2.5,10.0
492,20140405,10,PCA,-56.9219470766043
492,20140405,10,PM2.5,3.0
498,20140405,11,PCA,-52.88822988468434
498,20140405,11,PM2.5,12.0
504,20140405,12,PCA,-52.52361190476894
504,20140405,12,PM2.5,14.0
510,20140405,13,PCA,-57.6602561170935
510,20140405,13,PM2.5,9.0
516,20140405,14,PCA,-59.654838160084694
516,20140405,14,PM2.5,8.0
522,20140405,15,PCA,-56.50482071541701
522,20140405,15,PM2.5,12.0
528,20140405,16,PCA,-55.59021691800508
528,20140405,16,PM2.5,18.0
534,20140405,17,PCA,-62.44282006825484
534,20140405,17,PM2.5,3.0
540,20140405,18,PCA,-44.40227990629348
540,20140405,18,PM2.5,27.0
546,20140405,19,PCA,-38.99329300760805
546,20140405,19,PM2.5,34.0
552,20140405,20,PCA,-33.24985451934581
552,20140405,20,PM2.5,40.0
558,20140405,21,PCA,-21.058182097311754
558,20140405,21,PM2.5,52.0
564,20140405,22,PCA,-17.307211204888052
564,20140405,22,PM2.5,50.0
570,20140405,23,PCA,-6.420831665742482
570,20140405,23,PM2.5,57.0
576,20140406,0,PCA,0.8843912861209468
576,20140406,0,PM2.5,60.0
582,20140406,1,PCA,8.224490212970236
582,20140406,1,PM2.5,62.0
588,20140406,2,PCA,8.696261927870484
588,20140406,2,PM2.5,62.5
594,20140406,3,PCA,9.16803364277074
594,20140406,3,PM2.5,63.0
600,20140406,4,PCA,-5.788613671865299
600,20140406,4,PM2.5,44.0
606,20140406,5,PCA,4.315614279272476
606,20140406,5,PM2.5,58.0
612,20140406,6,PCA,8.069347006470485
612,20140406,6,PM2.5,60.0
618,20140406,7,PCA,15.167282008017661
618,20140406,7,PM2.5,67.0
624,20140406,8,PCA,24.327672994391563
624,20140406,8,PM2.5,71.0
630,20140406,9,PCA,26.195905234979016
630,20140406,9,PM2.5,74.0
636,20140406,10,PCA,20.71072401646428
636,20140406,10,PM2.5,75.0
654,20140406,13,PCA,-10.986254292872918
