,date,hour,type,东四
72,20140402,12,PCA,23.363664360980913
72,20140402,12,PM2.5,80.0
78,20140402,13,PCA,26.813885296302377
78,20140402,13,PM2.5,91.0
84,20140402,14,PCA,34.57177840031448
84,20140402,14,PM2.5,103.0
90,20140402,15,PCA,45.18113303740697
90,20140402,15,PM2.5,115.0
96,20140402,16,PCA,35.57317541268379
96,20140402,16,PM2.5,98.0
102,20140402,17,PCA,67.22741685545944
102,20140402,17,PM2.5,133.0
108,20140402,18,PCA,71.0021089593503
108,20140402,18,PM2.5,130.0
114,20140402,19,PCA,63.760402529455334
114,20140402,19,PM2.5,115.0
120,20140402,20,PCA,58.632805235736754
120,20140402,20,PM2.5,101.0
126,20140402,21,PCA,49.82127420244629
126,20140402,21,PM2.5,87.0
132,20140402,22,PCA,31.304887023343184
132,20140402,22,PM2.5,62.0
138,20140402,23,PCA,27.708961305598155
138,20140402,23,PM2.5,59.0
144,20140403,0,PCA,25.272359825220903
144,20140403,0,PM2.5,55.0
150,20140403,1,PCA,20.16929770192666
150,20140403,1,PM2.5,50.0
156,20140403,2,PCA,20.97960622987042
156,20140403,2,PM2.5,52.0
162,20140403,3,PCA,13.818457973676223
162,20140403,3,PM2.5,47.0
168,20140403,4,PCA,16.32903291563632
168,20140403,4,PM2.5,52.0
174,20140403,5,PCA,1.711190812706684
174,20140403,5,PM2.5,34.0
180,20140403,6,PCA,-31.618140592748105
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-38.5521287816592
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-41.84448843179902
192,20140403,8,PM2.5,4.0
198,20140403,9,PCA,-45.55466378271433
198,20140403,9,PM2.5,11.0
204,20140403,10,PCA,-54.762219794072024
204,20140403,10,PM2.5,6.0
210,20140403,11,PCA,-57.67817122984763
210,20140403,11,PM2.5,8.0
216,20140403,12,PCA,-55.00658021671066
216,20140403,12,PM2.5,13.0
222,20140403,13,PCA,-62.24630654433699
222,20140403,13,PM2.5,3.0
228,20140403,14,PCA,-61.04188955844114
228,20140403,14,PM2.5,7.0
234,20140403,15,PCA,-61.18965187595978
234,20140403,15,PM2.5,9.0
240,20140403,16,PCA,-63.89609950554723
240,20140403,16,PM2.5,6.0
246,20140403,17,PCA,-59.96982765954244
246,20140403,17,PM2.5,12.0
252,20140403,18,PCA,-61.99271729557454
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-58.773249390212875
258,20140403,19,PM2.5,16.0
264,20140403,20,PCA,-61.418413583127666
264,20140403,20,PM2.5,11.0
270,20140403,21,PCA,-54.65256569648641
270,20140403,21,PM2.5,18.0
276,20140403,22,PCA,-47.24330443898772
276,20140403,22,PM2.5,25.0
282,20140403,23,PCA,-43.77316918643931
282,20140403,23,PM2.5,26.0
288,20140404,0,PCA,-40.89671647874359
288,20140404,0,PM2.5,37.0
294,20140404,1,PCA,-44.34787850771452
294,20140404,1,PM2.5,32.0
300,20140404,2,PCA,-49.89541497712052
300,20140404,2,PM2.5,26.0
306,20140404,3,PCA,-47.332802437484965
306,20140404,3,PM2.5,27.0
312,20140404,4,PCA,-42.374797920926504
312,20140404,4,PM2.5,32.0
318,20140404,5,PCA,-41.686718365873396
318,20140404,5,PM2.5,31.0
324,20140404,6,PCA,-35.91034687592979
324,20140404,6,PM2.5,33.0
330,20140404,7,PCA,-27.819185565256923
330,20140404,7,PM2.5,38.0
336,20140404,8,PCA,-22.072710071105288
336,20140404,8,PM2.5,43.0
342,20140404,9,PCA,-10.454494377976072
342,20140404,9,PM2.5,55.0
348,20140404,10,PCA,-2.4094939403263527
348,20140404,10,PM2.5,63.0
354,20140404,11,PCA,-2.996856667213196
354,20140404,11,PM2.5,60.0
360,20140404,12,PCA,-22.03042405725287
360,20140404,12,PM2.5,39.0
366,20140404,13,PCA,-30.27966164893665
366,20140404,13,PM2.5,42.0
372,20140404,14,PCA,-53.29197469666795
372,20140404,14,PM2.5,23.0
378,20140404,15,PCA,-56.40353462481073
378,20140404,15,PM2.5,18.0
384,20140404,16,PCA,-58.81235048624783
384,20140404,16,PM2.5,14.0
390,20140404,17,PCA,-58.74727934768138
390,20140404,17,PM2.5,12.0
396,20140404,18,PCA,-54.537288275220284
396,20140404,18,PM2.5,16.0
402,20140404,19,PCA,-55.946353240915386
402,20140404,19,PM2.5,9.0
408,20140404,20,PCA,-46.09311908955974
408,20140404,20,PM2.5,17.0
414,20140404,21,PCA,-44.41598970214133
414,20140404,21,PM2.5,15.0
420,20140404,22,PCA,-27.93681877026833
420,20140404,22,PM2.5,30.0
426,20140404,23,PCA,-25.137876891991223
426,20140404,23,PM2.5,37.0
432,20140405,0,PCA,-30.35095412561744
432,20140405,0,PM2.5,29.0
438,20140405,1,PCA,-31.993520814547026
438,20140405,1,PM2.5,27.0
444,20140405,2,PCA,-28.63674083709315
444,20140405,2,PM2.5,34.0
450,20140405,3,PCA,-31.293710438588924
450,20140405,3,PM2.5,31.0
456,20140405,4,PCA,-27.149938433802184
456,20140405,4,PM2.5,32.0
462,20140405,5,PCA,-21.49488994632665
462,20140405,5,PM2.5,34.0
468,20140405,6,PCA,-29.631144005527574
468,20140405,6,PM2.5,24.0
474,20140405,7,PCA,-44.009255683914056
474,20140405,7,PM2.5,13.0
480,20140405,8,PCA,-50.11405204895763
480,20140405,8,PM2.5,12.0
486,20140405,9,PCA,-62.54549185042359
486,20140405,9,PM2.5,5.0
492,20140405,10,PCA,-64.2066196733895
492,20140405,10,PM2.5,7.0
498,20140405,11,PCA,-67.82965647294147
498,20140405,11,PM2.5,4.0
504,20140405,12,PCA,-66.80711206658238
504,20140405,12,PM2.5,7.0
510,20140405,13,PCA,-67.23286202710412
510,20140405,13,PM2.5,8.0
516,20140405,14,PCA,-61.2597026280209
516,20140405,14,PM2.5,15.0
522,20140405,15,PCA,-63.853408690575435
522,20140405,15,PM2.5,15.0
528,20140405,16,PCA,-69.17121302828615
528,20140405,16,PM2.5,8.0
534,20140405,17,PCA,-72.7266010093333
534,20140405,17,PM2.5,3.0
540,20140405,18,PCA,-50.66714538849289
540,20140405,18,PM2.5,33.0
546,20140405,19,PCA,-49.2782962534765
546,20140405,19,PM2.5,34.0
552,20140405,20,PCA,-35.699576344934904
552,20140405,20,PM2.5,52.0
558,20140405,21,PCA,-34.675211844122195
558,20140405,21,PM2.5,48.0
564,20140405,22,PCA,-28.500118427112238
564,20140405,22,PM2.5,56.0
570,20140405,23,PCA,-27.749400272231973
570,20140405,23,PM2.5,55.0
576,20140406,0,PCA,-23.083890274301677
576,20140406,0,PM2.5,57.0
582,20140406,1,PCA,-16.516197954782943
582,20140406,1,PM2.5,59.0
588,20140406,2,PCA,-9.224697342259793
588,20140406,2,PM2.5,65.0
594,20140406,3,PCA,-6.934038084947555
594,20140406,3,PM2.5,64.0
600,20140406,4,PCA,-7.203286656487973
600,20140406,4,PM2.5,60.0
606,20140406,5,PCA,-4.878059085160697
606,20140406,5,PM2.5,61.0
