,date,hour,type,东四环
72,20140402,12,PCA,25.287391861273655
72,20140402,12,PM2.5,86.0
78,20140402,13,PCA,25.278293683182106
78,20140402,13,PM2.5,85.0
84,20140402,14,PCA,31.278360747286428
84,20140402,14,PM2.5,94.0
90,20140402,15,PCA,40.03568362003473
90,20140402,15,PM2.5,109.0
96,20140402,16,PCA,28.867547114993428
96,20140402,16,PM2.5,90.0
102,20140402,17,PCA,60.77230256321101
102,20140402,17,PM2.5,129.0
108,20140402,18,PCA,62.44365531549831
108,20140402,18,PM2.5,120.0
114,20140402,19,PCA,59.0740319757852
114,20140402,19,PM2.5,106.0
120,20140402,20,PCA,55.58070149110962
120,20140402,20,PM2.5,96.0
126,20140402,21,PCA,50.71279418609617
126,20140402,21,PM2.5,86.0
132,20140402,22,PCA,36.793619709537204
132,20140402,22,PM2.5,68.0
138,20140402,23,PCA,31.55767998960599
138,20140402,23,PM2.5,63.0
144,20140403,0,PCA,31.52970065923189
144,20140403,0,PM2.5,63.0
150,20140403,1,PCA,10.082691309575312
150,20140403,1,PM2.5,47.0
156,20140403,2,PCA,19.990474351676173
156,20140403,2,PM2.5,48.0
162,20140403,3,PCA,10.058492647432923
162,20140403,3,PM2.5,50.0
168,20140403,4,PCA,18.46207507874979
168,20140403,4,PM2.5,51.0
174,20140403,5,PCA,22.572814157636493
174,20140403,5,PM2.5,62.0
180,20140403,6,PCA,-2.762020479771218
180,20140403,6,PM2.5,34.0
186,20140403,7,PCA,-16.019417499715797
186,20140403,7,PM2.5,25.0
192,20140403,8,PCA,-44.5073984648816
192,20140403,8,PM2.5,9.0
198,20140403,9,PCA,-57.94571720361703
198,20140403,9,PM2.5,6.0
204,20140403,10,PCA,-62.73661409908306
204,20140403,10,PM2.5,7.0
210,20140403,11,PCA,-63.12749929470802
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-61.68119203256392
216,20140403,12,PM2.5,13.0
222,20140403,13,PCA,-66.75290272501327
222,20140403,13,PM2.5,8.0
228,20140403,14,PCA,-66.0925682470616
228,20140403,14,PM2.5,11.0
234,20140403,15,PCA,-60.77532152553917
234,20140403,15,PM2.5,19.0
240,20140403,16,PCA,-63.1142292027523
240,20140403,16,PM2.5,10.0
246,20140403,17,PCA,-58.91996313317819
246,20140403,17,PM2.5,11.0
252,20140403,18,PCA,-59.59512452946091
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-49.47411132661674
258,20140403,19,PM2.5,13.0
264,20140403,20,PCA,-36.207745594177
264,20140403,20,PM2.5,28.0
270,20140403,21,PCA,-34.4835080072184
270,20140403,21,PM2.5,32.0
276,20140403,22,PCA,-44.48364171830839
276,20140403,22,PM2.5,20.0
282,20140403,23,PCA,-37.38146781041121
282,20140403,23,PM2.5,31.0
288,20140404,0,PCA,-38.524854313307706
288,20140404,0,PM2.5,40.0
294,20140404,1,PCA,-46.54335675850754
294,20140404,1,PM2.5,33.0
300,20140404,2,PCA,-55.182148081099164
300,20140404,2,PM2.5,24.0
306,20140404,3,PCA,-51.51650069936085
306,20140404,3,PM2.5,28.0
312,20140404,4,PCA,-49.688808274621145
312,20140404,4,PM2.5,32.0
318,20140404,5,PCA,-49.00212647787659
318,20140404,5,PM2.5,34.0
324,20140404,6,PCA,-46.86257897071983
324,20140404,6,PM2.5,33.0
330,20140404,7,PCA,-40.105649544878965
330,20140404,7,PM2.5,34.0
336,20140404,8,PCA,-26.39964319401218
336,20140404,8,PM2.5,43.0
342,20140404,9,PCA,-15.587831625631036
342,20140404,9,PM2.5,56.0
348,20140404,10,PCA,-18.52790109574963
348,20140404,10,PM2.5,53.0
354,20140404,11,PCA,-17.436593356545163
354,20140404,11,PM2.5,53.0
360,20140404,12,PCA,-23.813427315909504
360,20140404,12,PM2.5,50.0
366,20140404,13,PCA,-47.236985359371495
366,20140404,13,PM2.5,32.0
372,20140404,14,PCA,-64.1924147092023
372,20140404,14,PM2.5,21.0
378,20140404,15,PCA,-54.469097439873025
378,20140404,15,PM2.5,28.0
384,20140404,16,PCA,-53.424697822141034
384,20140404,16,PM2.5,24.0
390,20140404,17,PCA,-56.79014942044759
390,20140404,17,PM2.5,18.0
396,20140404,18,PCA,-55.38028422289404
396,20140404,18,PM2.5,20.0
402,20140404,19,PCA,-44.819786209382656
402,20140404,19,PM2.5,24.0
408,20140404,20,PCA,-32.33671328395059
408,20140404,20,PM2.5,31.0
414,20140404,21,PCA,-34.59097978763091
414,20140404,21,PM2.5,23.0
420,20140404,22,PCA,-32.172003407046276
420,20140404,22,PM2.5,22.0
426,20140404,23,PCA,-29.992341471539966
426,20140404,23,PM2.5,31.0
432,20140405,0,PCA,-28.484251945536734
432,20140405,0,PM2.5,31.0
438,20140405,1,PCA,-38.90780651245504
438,20140405,1,PM2.5,28.0
444,20140405,2,PCA,-37.40053358407563
444,20140405,2,PM2.5,33.0
450,20140405,3,PCA,-42.41656439991952
450,20140405,3,PM2.5,25.0
456,20140405,4,PCA,-27.204245783284172
456,20140405,4,PM2.5,33.0
462,20140405,5,PCA,-0.03285894904001059
462,20140405,5,PM2.5,65.0
468,20140405,6,PCA,-6.018224273088553
468,20140405,6,PM2.5,51.0
474,20140405,7,PCA,-11.597016574813104
474,20140405,7,PM2.5,48.0
480,20140405,8,PCA,-27.246307868877466
480,20140405,8,PM2.5,39.0
486,20140405,9,PCA,-65.17647501209903
486,20140405,9,PM2.5,10.0
492,20140405,10,PCA,-71.71725382392195
492,20140405,10,PM2.5,5.0
498,20140405,11,PCA,-70.12788618426539
498,20140405,11,PM2.5,9.0
504,20140405,12,PCA,-72.71915252909763
504,20140405,12,PM2.5,7.0
510,20140405,13,PCA,-74.40529896547861
510,20140405,13,PM2.5,3.0
516,20140405,14,PCA,-69.75217929079565
516,20140405,14,PM2.5,13.0
522,20140405,15,PCA,-74.53536410810393
522,20140405,15,PM2.5,10.0
528,20140405,16,PCA,-71.42000360698783
528,20140405,16,PM2.5,18.0
534,20140405,17,PCA,-79.95617271016833
534,20140405,17,PM2.5,7.0
540,20140405,18,PCA,-63.11370593011393
540,20140405,18,PM2.5,27.0
546,20140405,19,PCA,-59.991084020974014
