,date,hour,type,东高村
72,20140402,12,PCA,96.58357832611767
72,20140402,12,PM2.5,149.0
78,20140402,13,PCA,26.881536739035973
78,20140402,13,PM2.5,54.0
84,20140402,14,PCA,14.666233833753374
84,20140402,14,PM2.5,41.0
90,20140402,15,PCA,18.561724741896295
90,20140402,15,PM2.5,51.0
96,20140402,16,PCA,35.68619713604518
96,20140402,16,PM2.5,76.0
102,20140402,17,PCA,94.68938713670912
102,20140402,17,PM2.5,154.0
108,20140402,18,PCA,66.18040101003741
108,20140402,18,PM2.5,111.0
114,20140402,19,PCA,50.711337670206575
114,20140402,19,PM2.5,86.0
120,20140402,20,PCA,42.94063877546361
120,20140402,20,PM2.5,72.0
126,20140402,21,PCA,33.717210825327356
126,20140402,21,PM2.5,58.0
132,20140402,22,PCA,36.992737286353744
132,20140402,22,PM2.5,60.0
138,20140402,23,PCA,41.114483439274615
138,20140402,23,PM2.5,64.0
144,20140403,0,PCA,36.92099873929522
144,20140403,0,PM2.5,59.0
150,20140403,1,PCA,35.83763272952409
150,20140403,1,PM2.5,60.0
156,20140403,2,PCA,27.732937505365108
156,20140403,2,PM2.5,51.0
162,20140403,3,PCA,27.69846792335478
162,20140403,3,PM2.5,56.0
168,20140403,4,PCA,25.589778099720707
168,20140403,4,PM2.5,57.0
174,20140403,5,PCA,-2.4385420819140857
174,20140403,5,PM2.5,29.0
180,20140403,6,PCA,-12.949875329178738
180,20140403,6,PM2.5,22.0
186,20140403,7,PCA,-32.08162551758255
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-27.73830272217774
192,20140403,8,PM2.5,14.0
198,20140403,9,PCA,-41.72806142391937
198,20140403,9,PM2.5,3.0
204,20140403,10,PCA,-48.32213114479893
204,20140403,10,PM2.5,3.0
210,20140403,11,PCA,-50.52617740331507
210,20140403,11,PM2.5,9.0
216,20140403,12,PCA,-42.895718449546
216,20140403,12,PM2.5,28.0
222,20140403,13,PCA,-44.92629035144959
222,20140403,13,PM2.5,27.0
240,20140403,16,PCA,-62.41695013121513
240,20140403,16,PM2.5,4.0
246,20140403,17,PCA,-66.01423057228725
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-66.50553591347641
252,20140403,18,PM2.5,5.0
258,20140403,19,PCA,-69.22833168622125
258,20140403,19,PM2.5,3.0
264,20140403,20,PCA,-68.24056331655648
264,20140403,20,PM2.5,6.0
270,20140403,21,PCA,-67.94418105334869
270,20140403,21,PM2.5,8.0
276,20140403,22,PCA,-51.49318770904744
276,20140403,22,PM2.5,24.0
282,20140403,23,PCA,-46.40104445784052
282,20140403,23,PM2.5,27.0
288,20140404,0,PCA,-43.65679525388449
288,20140404,0,PM2.5,28.0
294,20140404,1,PCA,-46.5664807553051
294,20140404,1,PM2.5,25.0
300,20140404,2,PCA,-47.311792228768255
300,20140404,2,PM2.5,26.0
306,20140404,3,PCA,-49.73292544607463
306,20140404,3,PM2.5,27.0
312,20140404,4,PCA,-51.93883459172663
312,20140404,4,PM2.5,26.0
318,20140404,5,PCA,-49.71192542110883
318,20140404,5,PM2.5,29.0
324,20140404,6,PCA,-48.90780982896455
324,20140404,6,PM2.5,27.0
330,20140404,7,PCA,-49.50214080604852
330,20140404,7,PM2.5,25.0
336,20140404,8,PCA,-47.81189323455033
336,20140404,8,PM2.5,26.0
342,20140404,9,PCA,-39.71255562786519
342,20140404,9,PM2.5,34.0
348,20140404,10,PCA,-30.553030744988032
348,20140404,10,PM2.5,45.0
354,20140404,11,PCA,-31.864256499031836
354,20140404,11,PM2.5,43.0
360,20140404,12,PCA,-32.110760871793076
360,20140404,12,PM2.5,44.0
366,20140404,13,PCA,-38.712908778533965
366,20140404,13,PM2.5,36.0
372,20140404,14,PCA,-47.23120040700023
372,20140404,14,PM2.5,28.0
378,20140404,15,PCA,-47.66208802299254
378,20140404,15,PM2.5,28.0
384,20140404,16,PCA,-57.661283345602264
384,20140404,16,PM2.5,14.0
390,20140404,17,PCA,-54.964397783916006
390,20140404,17,PM2.5,17.0
396,20140404,18,PCA,-52.818232791721485
396,20140404,18,PM2.5,17.0
402,20140404,19,PCA,-50.186017291015034
402,20140404,19,PM2.5,17.0
408,20140404,20,PCA,-39.87590928785894
408,20140404,20,PM2.5,24.0
414,20140404,21,PCA,-23.726251034828596
414,20140404,21,PM2.5,41.0
420,20140404,22,PCA,-26.8923371454519
420,20140404,22,PM2.5,37.0
