,date,hour,type,丰台花园
72,20140402,12,PCA,18.616121975634467
72,20140402,12,PM2.5,74.0
78,20140402,13,PCA,9.708033579588033
78,20140402,13,PM2.5,70.0
84,20140402,14,PCA,21.36212428580844
84,20140402,14,PM2.5,90.0
90,20140402,15,PCA,59.47508515184192
90,20140402,15,PM2.5,140.0
96,20140402,16,PCA,53.23321501362257
96,20140402,16,PM2.5,129.0
102,20140402,17,PCA,73.02845013763665
102,20140402,17,PM2.5,144.0
108,20140402,18,PCA,97.25749636227833
108,20140402,18,PM2.5,162.0
114,20140402,19,PCA,86.03223252926823
114,20140402,19,PM2.5,140.0
120,20140402,20,PCA,79.92195172128362
120,20140402,20,PM2.5,117.0
126,20140402,21,PCA,59.916441198860994
126,20140402,21,PM2.5,92.0
132,20140402,22,PCA,46.24949580078539
132,20140402,22,PM2.5,72.0
138,20140402,23,PCA,33.74646905343043
138,20140402,23,PM2.5,62.0
144,20140403,0,PCA,25.926666301724396
144,20140403,0,PM2.5,56.0
150,20140403,1,PCA,30.781908331121766
150,20140403,1,PM2.5,56.0
156,20140403,2,PCA,40.6093965787756
156,20140403,2,PM2.5,62.0
162,20140403,3,PCA,36.123958072241265
162,20140403,3,PM2.5,61.0
168,20140403,4,PCA,24.8759662598836
168,20140403,4,PM2.5,51.0
174,20140403,5,PCA,0.7046836806502549
174,20140403,5,PM2.5,31.0
180,20140403,6,PCA,-30.149781735897633
180,20140403,6,PM2.5,12.0
186,20140403,7,PCA,-31.86421862695095
186,20140403,7,PM2.5,12.0
192,20140403,8,PCA,-31.471865802032383
192,20140403,8,PM2.5,9.0
198,20140403,9,PCA,-40.333733329233105
198,20140403,9,PM2.5,16.0
204,20140403,10,PCA,-54.2591149863939
204,20140403,10,PM2.5,6.0
210,20140403,11,PCA,-50.88707529736938
210,20140403,11,PM2.5,18.0
216,20140403,12,PCA,-53.48567674329727
216,20140403,12,PM2.5,17.0
222,20140403,13,PCA,-59.223954379534
222,20140403,13,PM2.5,11.0
228,20140403,14,PCA,-58.55058787000152
228,20140403,14,PM2.5,13.0
234,20140403,15,PCA,-64.13931767857775
234,20140403,15,PM2.5,5.0
240,20140403,16,PCA,-62.0878411854549
240,20140403,16,PM2.5,12.0
246,20140403,17,PCA,-70.48410176212168
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-65.75910352704682
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-62.441851103622106
258,20140403,19,PM2.5,11.0
264,20140403,20,PCA,-53.76627353595154
264,20140403,20,PM2.5,22.0
270,20140403,21,PCA,-41.55332571181689
270,20140403,21,PM2.5,31.0
276,20140403,22,PCA,-22.24806065935739
276,20140403,22,PM2.5,49.0
282,20140403,23,PCA,-20.72342467555646
282,20140403,23,PM2.5,53.0
288,20140404,0,PCA,-26.482338167057147
288,20140404,0,PM2.5,52.0
294,20140404,1,PCA,-42.175608620715586
294,20140404,1,PM2.5,34.0
300,20140404,2,PCA,-46.43715729515075
300,20140404,2,PM2.5,29.0
