,date,hour,type,云岗
72,20140402,12,PCA,9.437589209727756
72,20140402,12,PM2.5,65.0
78,20140402,13,PCA,-2.326859691820084
78,20140402,13,PM2.5,57.0
84,20140402,14,PCA,-3.2906785905431404
84,20140402,14,PM2.5,60.0
90,20140402,15,PCA,37.01245397824405
90,20140402,15,PM2.5,114.0
96,20140402,16,PCA,51.97348484303012
96,20140402,16,PM2.5,133.0
102,20140402,17,PCA,57.38941113874739
102,20140402,17,PM2.5,132.0
108,20140402,18,PCA,85.1685629156334
108,20140402,18,PM2.5,154.0
114,20140402,19,PCA,79.70336263066555
114,20140402,19,PM2.5,138.0
120,20140402,20,PCA,49.88132927472545
120,20140402,20,PM2.5,100.0
126,20140402,21,PCA,44.15006009668629
126,20140402,21,PM2.5,86.0
132,20140402,22,PCA,23.531467719585205
132,20140402,22,PM2.5,61.0
138,20140402,23,PCA,36.477861101369996
138,20140402,23,PM2.5,65.0
144,20140403,0,PCA,38.93560695127358
144,20140403,0,PM2.5,66.0
150,20140403,1,PCA,27.518016197638772
150,20140403,1,PM2.5,56.0
156,20140403,2,PCA,29.454214685119897
156,20140403,2,PM2.5,54.0
162,20140403,3,PCA,22.486407762262886
162,20140403,3,PM2.5,51.0
168,20140403,4,PCA,21.163606812155734
168,20140403,4,PM2.5,52.0
174,20140403,5,PCA,15.951711073630362
174,20140403,5,PM2.5,48.0
180,20140403,6,PCA,3.353411724485325
180,20140403,6,PM2.5,38.0
186,20140403,7,PCA,-24.014595945547867
186,20140403,7,PM2.5,15.0
192,20140403,8,PCA,-32.574348969333506
192,20140403,8,PM2.5,11.0
198,20140403,9,PCA,-41.18517110049074
198,20140403,9,PM2.5,11.0
204,20140403,10,PCA,-47.6704911030591
204,20140403,10,PM2.5,9.0
210,20140403,11,PCA,-52.902012961074234
210,20140403,11,PM2.5,5.0
216,20140403,12,PCA,-48.961225429986456
216,20140403,12,PM2.5,12.0
222,20140403,13,PCA,-47.972509377150836
222,20140403,13,PM2.5,13.0
228,20140403,14,PCA,-49.998418003338806
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-57.38866999476458
234,20140403,15,PM2.5,4.0
240,20140403,16,PCA,-52.620529228483655
240,20140403,16,PM2.5,14.0
246,20140403,17,PCA,-54.74179291474738
246,20140403,17,PM2.5,11.0
252,20140403,18,PCA,-60.33509542413793
252,20140403,18,PM2.5,9.0
258,20140403,19,PCA,-53.157399386206436
258,20140403,19,PM2.5,12.0
264,20140403,20,PCA,-46.79392094166316
264,20140403,20,PM2.5,18.0
270,20140403,21,PCA,-43.90276648761771
270,20140403,21,PM2.5,23.0
276,20140403,22,PCA,-34.15128508800603
276,20140403,22,PM2.5,26.0
282,20140403,23,PCA,-23.39886934781847
282,20140403,23,PM2.5,37.0
288,20140404,0,PCA,-25.522910683063945
288,20140404,0,PM2.5,44.0
294,20140404,1,PCA,-33.89521661353908
294,20140404,1,PM2.5,34.0
300,20140404,2,PCA,-36.597081670807235
300,20140404,2,PM2.5,30.0
306,20140404,3,PCA,-30.477873090680575
306,20140404,3,PM2.5,32.0
312,20140404,4,PCA,-28.595188584560592
312,20140404,4,PM2.5,40.0
318,20140404,5,PCA,-28.614949214369314
318,20140404,5,PM2.5,39.0
324,20140404,6,PCA,-31.310783302760772
324,20140404,6,PM2.5,34.0
330,20140404,7,PCA,-26.6112116869048
330,20140404,7,PM2.5,37.0
336,20140404,8,PCA,-19.15687328184792
336,20140404,8,PM2.5,44.0
342,20140404,9,PCA,-1.8797029152808962
342,20140404,9,PM2.5,60.0
348,20140404,10,PCA,6.576592078564572
348,20140404,10,PM2.5,65.0
354,20140404,11,PCA,13.960077864989136
354,20140404,11,PM2.5,70.0
360,20140404,12,PCA,0.5746720974873197
360,20140404,12,PM2.5,60.0
366,20140404,13,PCA,-24.06448711584636
366,20140404,13,PM2.5,42.0
372,20140404,14,PCA,-48.41636844061023
372,20140404,14,PM2.5,15.0
378,20140404,15,PCA,-33.34131479754364
378,20140404,15,PM2.5,36.0
384,20140404,16,PCA,-38.826078222539635
384,20140404,16,PM2.5,25.0
390,20140404,17,PCA,-39.65059380151651
390,20140404,17,PM2.5,21.0
396,20140404,18,PCA,-39.457542926630815
396,20140404,18,PM2.5,17.0
402,20140404,19,PCA,-39.13725817936451
402,20140404,19,PM2.5,14.0
408,20140404,20,PCA,-38.73835059055328
408,20140404,20,PM2.5,12.0
414,20140404,21,PCA,-36.85376866373373
414,20140404,21,PM2.5,15.0
420,20140404,22,PCA,-39.13980315859818
420,20140404,22,PM2.5,11.0
426,20140404,23,PCA,-26.161027595199013
426,20140404,23,PM2.5,18.0
432,20140405,0,PCA,-12.320327292202885
432,20140405,0,PM2.5,33.0
438,20140405,1,PCA,-14.942431007736156
438,20140405,1,PM2.5,29.0
444,20140405,2,PCA,-10.600458887457235
444,20140405,2,PM2.5,32.0
450,20140405,3,PCA,-2.7494086842060494
450,20140405,3,PM2.5,38.0
456,20140405,4,PCA,-6.014596482441978
456,20140405,4,PM2.5,36.0
462,20140405,5,PCA,-1.676173331267722
462,20140405,5,PM2.5,38.0
468,20140405,6,PCA,-5.029184329349648
468,20140405,6,PM2.5,38.0
474,20140405,7,PCA,-0.6834582405738993
474,20140405,7,PM2.5,42.0
480,20140405,8,PCA,-1.993304863883179
480,20140405,8,PM2.5,41.0
486,20140405,9,PCA,-39.41259818670153
486,20140405,9,PM2.5,12.0
492,20140405,10,PCA,-48.795238122510966
492,20140405,10,PM2.5,5.0
498,20140405,11,PCA,-50.1937852017213
498,20140405,11,PM2.5,7.0
504,20140405,12,PCA,-51.10785456941816
504,20140405,12,PM2.5,9.0
510,20140405,13,PCA,-52.28820750848416
510,20140405,13,PM2.5,10.0
516,20140405,14,PCA,-53.276298884237704
516,20140405,14,PM2.5,12.0
522,20140405,15,PCA,-50.63751726447334
522,20140405,15,PM2.5,16.0
528,20140405,16,PCA,-44.0380053939127
528,20140405,16,PM2.5,25.0
534,20140405,17,PCA,-40.59663422453352
534,20140405,17,PM2.5,32.0
540,20140405,18,PCA,-42.519962076836364
540,20140405,18,PM2.5,31.0
546,20140405,19,PCA,-36.17943757476225
546,20140405,19,PM2.5,36.0
552,20140405,20,PCA,-30.017776708276706
552,20140405,20,PM2.5,43.0
558,20140405,21,PCA,-23.465294034327123
558,20140405,21,PM2.5,48.0
564,20140405,22,PCA,-13.769609309391262
564,20140405,22,PM2.5,55.0
570,20140405,23,PCA,-6.551018121196654
570,20140405,23,PM2.5,58.0
576,20140406,0,PCA,-5.140575047399552
576,20140406,0,PM2.5,57.0
582,20140406,1,PCA,-5.35713301097918
582,20140406,1,PM2.5,53.0
588,20140406,2,PCA,6.157656922874935
588,20140406,2,PM2.5,58.0
594,20140406,3,PCA,11.336813781557609
594,20140406,3,PM2.5,61.0
600,20140406,4,PCA,7.571395809028568
600,20140406,4,PM2.5,57.0
606,20140406,5,PCA,4.3496734161934025
606,20140406,5,PM2.5,54.0
612,20140406,6,PCA,4.432698559661974
612,20140406,6,PM2.5,53.0
618,20140406,7,PCA,16.994440264329057
618,20140406,7,PM2.5,70.0
624,20140406,8,PCA,26.41158017368502
624,20140406,8,PM2.5,86.0
630,20140406,9,PCA,10.87188771448989
630,20140406,9,PM2.5,67.0
636,20140406,10,PCA,25.7366116137831
636,20140406,10,PM2.5,79.0
642,20140406,11,PCA,5.0949408859722505
642,20140406,11,PM2.5,59.5
648,20140406,12,PCA,-15.546729841838605
648,20140406,12,PM2.5,40.0
654,20140406,13,PCA,-20.691022519134854
654,20140406,13,PM2.5,38.0
660,20140406,14,PCA,-27.112802519578
660,20140406,14,PM2.5,33.0
666,20140406,15,PCA,-19.48511735781002
666,20140406,15,PM2.5,43.0
672,20140406,16,PCA,-17.60911137910082
672,20140406,16,PM2.5,44.0
678,20140406,17,PCA,-15.088678859891
678,20140406,17,PM2.5,45.0
684,20140408,10,PCA,183.4380597605371
684,20140408,10,PM2.5,192.0
690,20140408,11,PCA,193.613224862192
690,20140408,11,PM2.5,206.0
696,20140408,12,PCA,212.5501580554708
696,20140408,12,PM2.5,229.0
702,20140408,13,PCA,190.4260210555412
702,20140408,13,PM2.5,223.0
708,20140408,14,PCA,160.71248905763852
708,20140408,14,PM2.5,195.0
714,20140408,15,PCA,164.16092456308527
714,20140408,15,PM2.5,199.0
720,20140408,16,PCA,151.65315906929507
720,20140408,16,PM2.5,179.0
726,20140408,17,PCA,153.6968450436786
726,20140408,17,PM2.5,176.0
732,20140408,18,PCA,150.4403924020007
732,20140408,18,PM2.5,168.0
738,20140408,19,PCA,147.66740674724647
738,20140408,19,PM2.5,157.0
744,20140408,20,PCA,155.63593731835246
744,20140408,20,PM2.5,160.0
750,20140408,21,PCA,170.65013769156664
750,20140408,21,PM2.5,174.0
756,20140408,22,PCA,181.82030533809356
756,20140408,22,PM2.5,182.0
762,20140408,23,PCA,179.7600129903363
762,20140408,23,PM2.5,181.0
768,20140409,0,PCA,175.94724217537484
768,20140409,0,PM2.5,173.0
774,20140409,1,PCA,179.0200979212251
774,20140409,1,PM2.5,175.0
780,20140409,2,PCA,171.7433807992028
780,20140409,2,PM2.5,173.0
786,20140409,3,PCA,153.76571253192705
786,20140409,3,PM2.5,149.0
792,20140409,4,PCA,175.42657605497828
792,20140409,4,PM2.5,164.0
798,20140409,5,PCA,199.55903887849422
798,20140409,5,PM2.5,183.0
804,20140409,6,PCA,186.4221002779405
804,20140409,6,PM2.5,175.0
810,20140409,7,PCA,196.86012877120365
810,20140409,7,PM2.5,184.0
816,20140409,8,PCA,210.62229393828565
816,20140409,8,PM2.5,192.0
822,20140409,9,PCA,195.12529779302673
822,20140409,9,PM2.5,183.0
828,20140409,10,PCA,165.85676393654856
828,20140409,10,PM2.5,157.0
834,20140409,11,PCA,122.85138803830085
834,20140409,11,PM2.5,115.0
840,20140409,12,PCA,63.474396090153675
840,20140409,12,PM2.5,50.0
846,20140409,13,PCA,47.16239678705317
846,20140409,13,PM2.5,34.0
852,20140409,14,PCA,40.68053134128012
852,20140409,14,PM2.5,32.0
858,20140409,15,PCA,35.16790648590505
858,20140409,15,PM2.5,32.0
864,20140409,16,PCA,36.352220562154066
864,20140409,16,PM2.5,41.0
870,20140409,17,PCA,32.09001946251566
870,20140409,17,PM2.5,41.0
876,20140409,18,PCA,47.01473006825555
