,date,hour,type,亦庄
72,20140402,12,PCA,88.00878208799713
72,20140402,12,PM2.5,160.0
78,20140402,13,PCA,74.81742317583682
78,20140402,13,PM2.5,148.0
84,20140402,14,PCA,60.183756986777965
84,20140402,14,PM2.5,134.0
90,20140402,15,PCA,48.71892148953791
90,20140402,15,PM2.5,118.0
96,20140402,16,PCA,58.21385929582853
96,20140402,16,PM2.5,123.0
102,20140402,17,PCA,96.95401273709024
102,20140402,17,PM2.5,162.0
108,20140402,18,PCA,73.40037614120392
108,20140402,18,PM2.5,122.0
114,20140402,19,PCA,57.209760702191886
114,20140402,19,PM2.5,93.0
120,20140402,20,PCA,57.06101865888306
120,20140402,20,PM2.5,86.0
126,20140402,21,PCA,49.31547188321753
126,20140402,21,PM2.5,73.0
132,20140402,22,PCA,44.71185040680983
132,20140402,22,PM2.5,68.0
138,20140402,23,PCA,39.35585198650942
138,20140402,23,PM2.5,62.0
144,20140403,0,PCA,27.669809423419775
144,20140403,0,PM2.5,50.0
150,20140403,1,PCA,27.68642987360087
150,20140403,1,PM2.5,52.0
156,20140403,2,PCA,24.101932923604423
156,20140403,2,PM2.5,51.0
162,20140403,3,PCA,14.565607843363976
162,20140403,3,PM2.5,41.0
168,20140403,4,PCA,8.694354760081984
168,20140403,4,PM2.5,33.0
174,20140403,5,PCA,10.586602911695095
174,20140403,5,PM2.5,34.0
180,20140403,6,PCA,16.350837123282503
180,20140403,6,PM2.5,41.0
186,20140403,7,PCA,-5.303996557875578
186,20140403,7,PM2.5,21.0
192,20140403,8,PCA,-10.821973038981099
192,20140403,8,PM2.5,27.0
198,20140403,9,PCA,-28.383182127940735
198,20140403,9,PM2.5,17.0
204,20140403,10,PCA,-33.65881156134103
204,20140403,10,PM2.5,32.0
210,20140403,11,PCA,-44.47292286966748
210,20140403,11,PM2.5,26.0
216,20140403,12,PCA,-47.55082452176926
216,20140403,12,PM2.5,29.0
222,20140403,13,PCA,-61.739396892203025
222,20140403,13,PM2.5,19.0
228,20140403,14,PCA,-73.86946884409274
228,20140403,14,PM2.5,9.0
234,20140403,15,PCA,-76.73175111408543
234,20140403,15,PM2.5,7.0
240,20140403,16,PCA,-78.98390761700598
240,20140403,16,PM2.5,5.0
246,20140403,17,PCA,-78.10488888726655
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-78.00759654241814
252,20140403,18,PM2.5,8.0
258,20140403,19,PCA,-67.97245593235073
258,20140403,19,PM2.5,20.0
264,20140403,20,PCA,-65.95135125359741
264,20140403,20,PM2.5,13.0
270,20140403,21,PCA,-63.3325883317985
270,20140403,21,PM2.5,16.0
276,20140403,22,PCA,-44.45705793725699
276,20140403,22,PM2.5,36.0
282,20140403,23,PCA,-45.88285331417648
282,20140403,23,PM2.5,41.0
288,20140404,0,PCA,-47.29701920027406
288,20140404,0,PM2.5,43.0
294,20140404,1,PCA,-57.762863599836344
294,20140404,1,PM2.5,30.0
300,20140404,2,PCA,-54.92081495401465
300,20140404,2,PM2.5,30.0
306,20140404,3,PCA,-55.44652334370418
306,20140404,3,PM2.5,30.0
312,20140404,4,PCA,-54.36783098197756
312,20140404,4,PM2.5,29.0
318,20140404,5,PCA,-49.9209151148597
318,20140404,5,PM2.5,33.0
324,20140404,6,PCA,-50.073699576262676
324,20140404,6,PM2.5,33.0
330,20140404,7,PCA,-42.289434830684165
330,20140404,7,PM2.5,36.0
336,20140404,8,PCA,-29.89500742588768
336,20140404,8,PM2.5,46.0
342,20140404,9,PCA,-22.01456766862303
342,20140404,9,PM2.5,59.0
348,20140404,10,PCA,-12.968821633989856
348,20140404,10,PM2.5,66.0
354,20140404,11,PCA,-6.7915786893345125
354,20140404,11,PM2.5,72.0
360,20140404,12,PCA,-13.829711743271327
360,20140404,12,PM2.5,67.0
366,20140404,13,PCA,-44.81392183296634
366,20140404,13,PM2.5,39.0
372,20140404,14,PCA,-52.115694433113845
372,20140404,14,PM2.5,33.0
378,20140404,15,PCA,-60.94243406593698
378,20140404,15,PM2.5,28.0
384,20140404,16,PCA,-48.671962300090115
384,20140404,16,PM2.5,45.0
390,20140404,17,PCA,-59.64097292467189
390,20140404,17,PM2.5,28.0
396,20140404,18,PCA,-54.34209114124543
396,20140404,18,PM2.5,31.0
402,20140404,19,PCA,-47.43618336737528
402,20140404,19,PM2.5,34.0
408,20140404,20,PCA,-49.84749012351296
408,20140404,20,PM2.5,29.0
414,20140404,21,PCA,-34.58926820481964
414,20140404,21,PM2.5,45.0
420,20140404,22,PCA,-35.5504380611523
420,20140404,22,PM2.5,37.0
426,20140404,23,PCA,-39.86403226916878
426,20140404,23,PM2.5,33.0
432,20140405,0,PCA,-41.54225023312729
432,20140405,0,PM2.5,29.0
438,20140405,1,PCA,-35.969408211402744
438,20140405,1,PM2.5,33.0
444,20140405,2,PCA,-30.392645330479727
444,20140405,2,PM2.5,35.0
450,20140405,3,PCA,-35.32960292556901
450,20140405,3,PM2.5,33.0
456,20140405,4,PCA,-27.97460866368976
456,20140405,4,PM2.5,36.0
462,20140405,5,PCA,-22.708010553518765
462,20140405,5,PM2.5,36.0
468,20140405,6,PCA,-32.31756089241691
468,20140405,6,PM2.5,33.0
474,20140405,7,PCA,-28.97857905769378
474,20140405,7,PM2.5,36.0
480,20140405,8,PCA,-26.458916655206718
480,20140405,8,PM2.5,38.0
486,20140405,9,PCA,-20.366804176870716
486,20140405,9,PM2.5,46.0
492,20140405,10,PCA,-62.229237517917284
492,20140405,10,PM2.5,12.0
498,20140405,11,PCA,-66.2569043296448
498,20140405,11,PM2.5,8.0
504,20140405,12,PCA,-66.19382932988309
504,20140405,12,PM2.5,11.0
510,20140405,13,PCA,-67.81526378902574
510,20140405,13,PM2.5,11.0
516,20140405,14,PCA,-68.83086820896251
516,20140405,14,PM2.5,11.0
522,20140405,15,PCA,-64.82490642739074
522,20140405,15,PM2.5,18.0
528,20140405,16,PCA,-67.13223411642778
528,20140405,16,PM2.5,16.0
534,20140405,17,PCA,-63.7380607369496
534,20140405,17,PM2.5,23.0
540,20140405,18,PCA,-57.59561909252932
540,20140405,18,PM2.5,34.0
546,20140405,19,PCA,-55.36720104982646
546,20140405,19,PM2.5,37.0
552,20140405,20,PCA,-52.98299827974303
552,20140405,20,PM2.5,38.0
558,20140405,21,PCA,-43.846210793823396
558,20140405,21,PM2.5,49.0
564,20140405,22,PCA,-39.716464123057925
564,20140405,22,PM2.5,49.0
570,20140405,23,PCA,-32.37942432040825
570,20140405,23,PM2.5,56.0
576,20140406,0,PCA,-33.17553474173229
576,20140406,0,PM2.5,53.0
582,20140406,1,PCA,-26.641551485461534
582,20140406,1,PM2.5,58.0
588,20140406,2,PCA,-13.762481928357984
588,20140406,2,PM2.5,61.0
594,20140406,3,PCA,-1.4997848423678957
594,20140406,3,PM2.5,73.0
600,20140406,4,PCA,0.9661063791315952
600,20140406,4,PM2.5,76.0
606,20140406,5,PCA,0.19096274086545928
606,20140406,5,PM2.5,74.0
612,20140406,6,PCA,1.4057187600942267
612,20140406,6,PM2.5,75.0
618,20140406,7,PCA,1.3374513038983842
618,20140406,7,PM2.5,77.0
624,20140406,8,PCA,2.614323960556303
624,20140406,8,PM2.5,82.0
630,20140406,9,PCA,6.713141009188875
630,20140406,9,PM2.5,87.0
636,20140406,10,PCA,11.731945537164279
636,20140406,10,PM2.5,90.0
642,20140406,11,PCA,-10.868157068985091
642,20140406,11,PM2.5,68.0
648,20140406,12,PCA,-34.84102970756984
648,20140406,12,PM2.5,46.0
654,20140406,13,PCA,-39.534672851425356
654,20140406,13,PM2.5,48.0
660,20140406,14,PCA,-47.74772342230189
660,20140406,14,PM2.5,38.0
666,20140406,15,PCA,-53.8299524890311
666,20140406,15,PM2.5,31.0
672,20140406,16,PCA,-47.19162242491392
672,20140406,16,PM2.5,36.0
678,20140406,17,PCA,-46.64748858551689
678,20140406,17,PM2.5,35.0
684,20140408,10,PCA,180.9578778027868
684,20140408,10,PM2.5,211.0
690,20140408,11,PCA,194.73457520324524
690,20140408,11,PM2.5,227.0
696,20140408,12,PCA,168.64380800654797
696,20140408,12,PM2.5,199.0
702,20140408,13,PCA,117.39899426142567
702,20140408,13,PM2.5,151.0
708,20140408,14,PCA,105.66466015183433
708,20140408,14,PM2.5,141.0
714,20140408,15,PCA,130.11391519153824
714,20140408,15,PM2.5,179.0
720,20140408,16,PCA,132.29705450092732
720,20140408,16,PM2.5,179.0
726,20140408,17,PCA,112.64931033806108
726,20140408,17,PM2.5,151.0
732,20140408,18,PCA,106.73195960336966
732,20140408,18,PM2.5,137.0
738,20140408,19,PCA,125.3730626424837
738,20140408,19,PM2.5,151.0
744,20140408,20,PCA,130.50100556612233
744,20140408,20,PM2.5,152.0
750,20140408,21,PCA,125.62845346406489
750,20140408,21,PM2.5,139.0
756,20140408,22,PCA,114.84289466186503
756,20140408,22,PM2.5,128.0
762,20140408,23,PCA,108.2599854717288
762,20140408,23,PM2.5,126.0
768,20140409,0,PCA,92.89037958653493
768,20140409,0,PM2.5,107.0
774,20140409,1,PCA,88.00705153382341
774,20140409,1,PM2.5,101.0
780,20140409,2,PCA,94.82196558571307
780,20140409,2,PM2.5,110.0
786,20140409,3,PCA,91.68227670020329
786,20140409,3,PM2.5,108.0
792,20140409,4,PCA,91.82848611051635
792,20140409,4,PM2.5,107.0
798,20140409,5,PCA,97.03279938684997
798,20140409,5,PM2.5,113.0
804,20140409,6,PCA,83.8337152124659
804,20140409,6,PM2.5,98.0
810,20140409,7,PCA,110.92577975660174
810,20140409,7,PM2.5,127.0
816,20140409,8,PCA,128.64629870788497
816,20140409,8,PM2.5,150.0
822,20140409,9,PCA,150.36830612568116
822,20140409,9,PM2.5,176.0
828,20140409,10,PCA,175.46247883431857
828,20140409,10,PM2.5,208.0
834,20140409,11,PCA,140.10856602053883
834,20140409,11,PM2.5,176.0
840,20140409,12,PCA,39.27889471238852
840,20140409,12,PM2.5,68.0
846,20140409,13,PCA,7.122433210576852
846,20140409,13,PM2.5,32.0
852,20140409,14,PCA,0.5273982081845802
852,20140409,14,PM2.5,32.0
858,20140409,15,PCA,-6.162175054928573
858,20140409,15,PM2.5,30.0
864,20140409,16,PCA,2.4985776785864817
864,20140409,16,PM2.5,50.0
870,20140409,17,PCA,6.138394292542801
870,20140409,17,PM2.5,56.0
876,20140409,18,PCA,13.071975641673237
876,20140409,18,PM2.5,66.0
882,20140409,19,PCA,43.233522734438644
882,20140409,19,PM2.5,109.0
888,20140409,20,PCA,61.7759025034612
888,20140409,20,PM2.5,134.0
894,20140409,21,PCA,44.51430237191531
894,20140409,21,PM2.5,107.0
900,20140409,22,PCA,57.41960870698204
900,20140409,22,PM2.5,120.0
906,20140409,23,PCA,67.96852768470961
906,20140409,23,PM2.5,131.0
912,20140410,0,PCA,65.45607936371339
912,20140410,0,PM2.5,126.0
918,20140410,1,PCA,62.076506235070816
918,20140410,1,PM2.5,118.0
924,20140410,2,PCA,59.02818594020941
924,20140410,2,PM2.5,112.0
930,20140410,3,PCA,64.73130485284167
930,20140410,3,PM2.5,113.0
936,20140410,4,PCA,64.40163685119931
936,20140410,4,PM2.5,106.0
942,20140410,5,PCA,67.57626838686555
942,20140410,5,PM2.5,103.0
948,20140410,6,PCA,66.91545588938519
948,20140410,6,PM2.5,97.0
954,20140410,7,PCA,71.12755858370386
954,20140410,7,PM2.5,95.0
960,20140410,8,PCA,62.89796792646608
960,20140410,8,PM2.5,85.0
966,20140410,9,PCA,66.59587875724672
966,20140410,9,PM2.5,83.0
972,20140410,10,PCA,68.1132375902718
972,20140410,10,PM2.5,88.0
978,20140410,11,PCA,80.38879393609335
978,20140410,11,PM2.5,100.0
984,20140410,12,PCA,82.40462949075565
984,20140410,12,PM2.5,91.0
990,20140410,13,PCA,84.95042088056778
990,20140410,13,PM2.5,78.0
996,20140410,14,PCA,90.75975832254848
996,20140410,14,PM2.5,77.0
1002,20140410,15,PCA,94.82318412310141
1002,20140410,15,PM2.5,80.0
1008,20140410,16,PCA,70.91782501385633
1008,20140410,16,PM2.5,49.0
1014,20140410,17,PCA,88.86025484219446
1014,20140410,17,PM2.5,66.0
1020,20140410,18,PCA,90.01203402318284
1020,20140410,18,PM2.5,73.0
1026,20140410,19,PCA,79.84050091920638
1026,20140410,19,PM2.5,72.5
1032,20140410,20,PCA,82.02389810714824
1032,20140410,20,PM2.5,72.0
1038,20140410,21,PCA,91.45834662860132
1038,20140410,21,PM2.5,80.0
1044,20140410,22,PCA,94.2330642494886
1044,20140410,22,PM2.5,88.0
1050,20140410,23,PCA,94.87269052241852
1050,20140410,23,PM2.5,85.0
1056,20140411,0,PCA,82.70843537264616
1056,20140411,0,PM2.5,75.0
1062,20140411,1,PCA,75.49430408926091
1062,20140411,1,PM2.5,70.0
1068,20140411,2,PCA,77.10122028997118
1068,20140411,2,PM2.5,79.0
1074,20140411,3,PCA,74.99800168612346
1074,20140411,3,PM2.5,83.0
1080,20140411,4,PCA,72.65761019635409
1080,20140411,4,PM2.5,89.0
1086,20140411,5,PCA,70.91622780153898
1086,20140411,5,PM2.5,95.0
1092,20140411,6,PCA,58.00085031733024
1092,20140411,6,PM2.5,72.0
1098,20140411,7,PCA,24.220971015885734
1098,20140411,7,PM2.5,54.0
1104,20140411,8,PCA,2.402727419917258
1104,20140411,8,PM2.5,33.0
1110,20140411,9,PCA,-4.934018365447091
1110,20140411,9,PM2.5,34.0
1116,20140411,10,PCA,-11.340689498127686
1116,20140411,10,PM2.5,31.0
1122,20140411,11,PCA,-9.20195705241311
1122,20140411,11,PM2.5,42.0
1128,20140411,12,PCA,-22.050940108799313
1128,20140411,12,PM2.5,44.0
1134,20140411,13,PCA,-42.6787902408054
1134,20140411,13,PM2.5,23.0
1140,20140411,14,PCA,-42.005231909647605
1140,20140411,14,PM2.5,29.0
1146,20140411,15,PCA,-44.69628843048918
1146,20140411,15,PM2.5,32.0
1152,20140411,16,PCA,-42.06539664213946
1152,20140411,16,PM2.5,38.0
1158,20140411,17,PCA,-29.191166603873366
1158,20140411,17,PM2.5,55.0
1164,20140411,18,PCA,-29.7535812377347
1164,20140411,18,PM2.5,50.0
1170,20140411,19,PCA,-30.022279479863837
1170,20140411,19,PM2.5,46.0
1176,20140411,20,PCA,-2.1249577253094913
1176,20140411,20,PM2.5,71.0
1182,20140411,21,PCA,23.476339640714077
1182,20140411,21,PM2.5,94.0
1188,20140411,22,PCA,18.590632372542814
1188,20140411,22,PM2.5,94.0
1194,20140411,23,PCA,7.6300018264746665
1194,20140411,23,PM2.5,83.0
1200,20140412,0,PCA,14.196843986517749
1200,20140412,0,PM2.5,85.0
1206,20140412,1,PCA,26.065845938002933
1206,20140412,1,PM2.5,99.0
1212,20140412,2,PCA,30.110425177485713
1212,20140412,2,PM2.5,105.0
1218,20140412,3,PCA,31.826956405648115
1218,20140412,3,PM2.5,106.0
1224,20140412,4,PCA,33.6563674385617
1224,20140412,4,PM2.5,109.0
1230,20140412,5,PCA,31.055020946974295
1230,20140412,5,PM2.5,108.0
1236,20140412,6,PCA,27.775452655617073
1236,20140412,6,PM2.5,104.0
