,date,hour,type,八达岭
72,20140402,12,PCA,-19.59047707374029
72,20140402,12,PM2.5,30.0
78,20140402,13,PCA,-20.509926596239655
78,20140402,13,PM2.5,29.0
84,20140402,14,PCA,-29.150967099424147
84,20140402,14,PM2.5,15.0
90,20140402,15,PCA,-23.01594145208172
90,20140402,15,PM2.5,15.0
96,20140402,16,PCA,-22.11216584855083
96,20140402,16,PM2.5,15.0
102,20140402,17,PCA,-0.436914097706277
102,20140402,17,PM2.5,48.0
108,20140402,18,PCA,34.42805827882062
108,20140402,18,PM2.5,94.0
114,20140402,19,PCA,61.75142170982745
114,20140402,19,PM2.5,132.0
120,20140402,20,PCA,59.80512011342478
120,20140402,20,PM2.5,128.5
126,20140402,21,PCA,58.61082682565118
126,20140402,21,PM2.5,125.0
132,20140402,22,PCA,62.2832267402227
132,20140402,22,PM2.5,126.0
138,20140402,23,PCA,64.83896704206663
138,20140402,23,PM2.5,125.0
144,20140403,0,PCA,64.85322470046553
144,20140403,0,PM2.5,127.0
150,20140403,1,PCA,17.279596745183607
150,20140403,1,PM2.5,64.0
156,20140403,2,PCA,-25.682210787968533
156,20140403,2,PM2.5,5.0
162,20140403,3,PCA,-25.448698207910375
162,20140403,3,PM2.5,8.0
168,20140403,4,PCA,-30.27947642191096
168,20140403,4,PM2.5,3.0
174,20140403,5,PCA,-30.868431421686065
174,20140403,5,PM2.5,6.0
180,20140403,6,PCA,-28.450138764279888
180,20140403,6,PM2.5,9.0
186,20140403,7,PCA,-30.26993260807894
186,20140403,7,PM2.5,9.0
192,20140403,8,PCA,-24.892022596312884
192,20140403,8,PM2.5,18.0
198,20140403,9,PCA,-28.33592168237246
198,20140403,9,PM2.5,12.0
204,20140403,10,PCA,-23.85999287428497
204,20140403,10,PM2.5,18.0
210,20140403,11,PCA,-29.106675035248657
210,20140403,11,PM2.5,12.0
216,20140403,12,PCA,-29.75741348093587
216,20140403,12,PM2.5,10.0
222,20140403,13,PCA,-29.090470236606535
222,20140403,13,PM2.5,9.0
228,20140403,14,PCA,-26.80164398083974
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-30.597110182435067
234,20140403,15,PM2.5,7.0
240,20140403,16,PCA,-33.71042447513273
240,20140403,16,PM2.5,6.0
246,20140403,17,PCA,-31.810143404698803
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-33.544747837708385
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-37.19718642983846
258,20140403,19,PM2.5,12.0
264,20140403,20,PCA,-37.44671578308423
264,20140403,20,PM2.5,13.0
270,20140403,21,PCA,-43.856613671215165
270,20140403,21,PM2.5,8.0
276,20140403,22,PCA,-38.29439145834346
276,20140403,22,PM2.5,16.0
282,20140403,23,PCA,-44.672263620417276
282,20140403,23,PM2.5,14.0
288,20140404,0,PCA,-51.847148481112235
288,20140404,0,PM2.5,11.0
294,20140404,1,PCA,-50.62392881573935
294,20140404,1,PM2.5,18.0
300,20140404,2,PCA,-52.671533081273935
300,20140404,2,PM2.5,14.0
306,20140404,3,PCA,-49.108058036383696
306,20140404,3,PM2.5,16.0
312,20140404,4,PCA,-53.75034277128436
312,20140404,4,PM2.5,11.0
318,20140404,5,PCA,-58.21484463988446
318,20140404,5,PM2.5,7.0
324,20140404,6,PCA,-48.75323273281072
324,20140404,6,PM2.5,16.0
330,20140404,7,PCA,-50.21570833475279
330,20140404,7,PM2.5,13.0
336,20140404,8,PCA,-48.161531783989155
336,20140404,8,PM2.5,15.0
342,20140404,9,PCA,-47.34598861913356
342,20140404,9,PM2.5,16.0
348,20140404,10,PCA,-49.88279394408254
348,20140404,10,PM2.5,16.0
354,20140404,11,PCA,-45.18999636827329
354,20140404,11,PM2.5,19.0
360,20140404,12,PCA,-41.14989383510439
360,20140404,12,PM2.5,21.0
366,20140404,13,PCA,-37.660001929453195
366,20140404,13,PM2.5,22.0
372,20140404,14,PCA,-41.39990663196637
372,20140404,14,PM2.5,18.0
378,20140404,15,PCA,-42.9065465777949
378,20140404,15,PM2.5,16.0
384,20140404,16,PCA,-48.481892737033775
384,20140404,16,PM2.5,5.0
390,20140404,17,PCA,-47.09827723256599
390,20140404,17,PM2.5,7.0
396,20140404,18,PCA,-43.86956915639122
396,20140404,18,PM2.5,11.0
402,20140404,19,PCA,-43.48360772300407
402,20140404,19,PM2.5,10.0
408,20140404,20,PCA,-40.59825791748746
408,20140404,20,PM2.5,14.0
414,20140404,21,PCA,-40.129553312634556
414,20140404,21,PM2.5,14.0
420,20140404,22,PCA,-42.98745958665588
420,20140404,22,PM2.5,10.0
426,20140404,23,PCA,-47.56267906411194
426,20140404,23,PM2.5,3.0
432,20140405,0,PCA,-43.942913615277476
432,20140405,0,PM2.5,9.0
438,20140405,1,PCA,-42.14838291781365
438,20140405,1,PM2.5,7.0
