,date,hour,type,农展馆
72,20140402,12,PCA,29.33315762030955
72,20140402,12,PM2.5,89.0
78,20140402,13,PCA,26.09445576839642
78,20140402,13,PM2.5,90.0
84,20140402,14,PCA,44.1181349137095
84,20140402,14,PM2.5,115.0
90,20140402,15,PCA,44.736254545013395
90,20140402,15,PM2.5,115.0
96,20140402,16,PCA,38.21637291624706
96,20140402,16,PM2.5,102.0
102,20140402,17,PCA,40.80955219127804
102,20140402,17,PM2.5,88.5
108,20140402,18,PCA,34.0014608521009
108,20140402,18,PM2.5,75.0
114,20140402,19,PCA,64.96249651394494
114,20140402,19,PM2.5,115.0
120,20140402,20,PCA,61.25512179312704
120,20140402,20,PM2.5,100.0
126,20140402,21,PCA,58.34883192570616
126,20140402,21,PM2.5,92.0
132,20140402,22,PCA,37.56309606735725
132,20140402,22,PM2.5,68.0
138,20140402,23,PCA,41.01232830041131
138,20140402,23,PM2.5,64.0
144,20140403,0,PCA,38.398864948168615
144,20140403,0,PM2.5,64.0
150,20140403,1,PCA,26.734000866748044
150,20140403,1,PM2.5,53.0
156,20140403,2,PCA,27.971491984562952
156,20140403,2,PM2.5,54.0
162,20140403,3,PCA,22.77386622181187
162,20140403,3,PM2.5,54.0
168,20140403,4,PCA,16.440020785698348
168,20140403,4,PM2.5,46.0
174,20140403,5,PCA,29.983158697287944
174,20140403,5,PM2.5,53.0
180,20140403,6,PCA,-0.2245215994776108
180,20140403,6,PM2.5,31.0
186,20140403,7,PCA,-27.768903245261814
186,20140403,7,PM2.5,12.0
192,20140403,8,PCA,-37.4343744086975
192,20140403,8,PM2.5,7.0
198,20140403,9,PCA,-44.95972312777409
198,20140403,9,PM2.5,9.0
204,20140403,10,PCA,-51.13928863580638
204,20140403,10,PM2.5,10.0
210,20140403,11,PCA,-55.925210337689734
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-55.85647408008591
216,20140403,12,PM2.5,14.0
222,20140403,13,PCA,-59.833206745503034
222,20140403,13,PM2.5,10.0
228,20140403,14,PCA,-60.78163487029885
228,20140403,14,PM2.5,10.0
234,20140403,15,PCA,-63.27538563104262
234,20140403,15,PM2.5,8.0
240,20140403,16,PCA,-63.50523322175399
240,20140403,16,PM2.5,9.0
246,20140403,17,PCA,-63.24615101647514
246,20140403,17,PM2.5,9.0
252,20140403,18,PCA,-64.70064384365347
252,20140403,18,PM2.5,9.0
258,20140403,19,PCA,-60.513983789589965
258,20140403,19,PM2.5,12.0
264,20140403,20,PCA,-56.910286794963945
264,20140403,20,PM2.5,11.0
270,20140403,21,PCA,-41.18528702801213
270,20140403,21,PM2.5,22.0
276,20140403,22,PCA,-36.84833187441432
276,20140403,22,PM2.5,20.0
282,20140403,23,PCA,-26.89912614516573
282,20140403,23,PM2.5,36.0
288,20140404,0,PCA,-31.314799380231538
288,20140404,0,PM2.5,39.0
294,20140404,1,PCA,-35.78767038895677
294,20140404,1,PM2.5,37.0
300,20140404,2,PCA,-45.157291236110716
300,20140404,2,PM2.5,28.0
306,20140404,3,PCA,-42.75877845160508
306,20140404,3,PM2.5,31.0
312,20140404,4,PCA,-38.104268340705794
312,20140404,4,PM2.5,31.0
318,20140404,5,PCA,-34.46016174212937
318,20140404,5,PM2.5,38.0
324,20140404,6,PCA,-34.30931859424005
324,20140404,6,PM2.5,34.0
330,20140404,7,PCA,-25.534498191597578
330,20140404,7,PM2.5,37.0
336,20140404,8,PCA,-12.998300558953058
336,20140404,8,PM2.5,48.0
342,20140404,9,PCA,-5.302294561601848
342,20140404,9,PM2.5,54.0
348,20140404,10,PCA,1.1010433657470164
348,20140404,10,PM2.5,62.0
354,20140404,11,PCA,-0.3719661394206547
354,20140404,11,PM2.5,60.0
360,20140404,12,PCA,-8.810554819071715
360,20140404,12,PM2.5,54.0
366,20140404,13,PCA,-36.80280669584897
366,20140404,13,PM2.5,32.0
372,20140404,14,PCA,-49.49950128607922
372,20140404,14,PM2.5,26.0
378,20140404,15,PCA,-56.75866320937234
378,20140404,15,PM2.5,18.0
384,20140404,16,PCA,-56.49883546702104
384,20140404,16,PM2.5,17.0
390,20140404,17,PCA,-55.28941590379643
390,20140404,17,PM2.5,19.0
396,20140404,18,PCA,-59.91098116508084
396,20140404,18,PM2.5,9.0
402,20140404,19,PCA,-53.594688158264276
402,20140404,19,PM2.5,13.0
408,20140404,20,PCA,-45.79541324677436
408,20140404,20,PM2.5,19.0
414,20140404,21,PCA,-44.787573503153965
414,20140404,21,PM2.5,17.0
420,20140404,22,PCA,-31.969860716870876
420,20140404,22,PM2.5,24.0
426,20140404,23,PCA,-25.905352495378654
426,20140404,23,PM2.5,33.0
432,20140405,0,PCA,-31.730819128281784
432,20140405,0,PM2.5,26.0
438,20140405,1,PCA,-29.330134787525004
438,20140405,1,PM2.5,29.0
444,20140405,2,PCA,-28.24084470260376
444,20140405,2,PM2.5,31.0
450,20140405,3,PCA,-30.431459110137375
450,20140405,3,PM2.5,28.0
456,20140405,4,PCA,-26.639368210549332
