,date,hour,type,前门
72,20140402,12,PCA,43.18744262294708
72,20140402,12,PM2.5,87.0
78,20140402,13,PCA,37.695587066625606
78,20140402,13,PM2.5,83.0
84,20140402,14,PCA,40.18408704799621
84,20140402,14,PM2.5,83.0
90,20140402,15,PCA,64.51949205117793
90,20140402,15,PM2.5,115.0
96,20140402,16,PCA,61.06109629367121
96,20140402,16,PM2.5,113.0
102,20140402,17,PCA,77.94406631614761
102,20140402,17,PM2.5,130.0
108,20140402,18,PCA,87.47019047525447
108,20140402,18,PM2.5,138.0
114,20140402,19,PCA,75.21761241439398
114,20140402,19,PM2.5,119.0
120,20140402,20,PCA,66.43870574833086
120,20140402,20,PM2.5,102.0
126,20140402,21,PCA,56.282132357216966
126,20140402,21,PM2.5,85.0
132,20140402,22,PCA,45.30804448296499
132,20140402,22,PM2.5,73.0
138,20140402,23,PCA,31.38172856875457
138,20140402,23,PM2.5,62.0
144,20140403,0,PCA,25.902203211242725
144,20140403,0,PM2.5,56.0
150,20140403,1,PCA,16.033272890280283
150,20140403,1,PM2.5,46.0
156,20140403,2,PCA,14.505673233803575
156,20140403,2,PM2.5,47.0
162,20140403,3,PCA,17.054537436605784
162,20140403,3,PM2.5,54.0
168,20140403,4,PCA,10.47306489857406
168,20140403,4,PM2.5,46.0
174,20140403,5,PCA,1.5254648877247199
174,20140403,5,PM2.5,39.0
180,20140403,6,PCA,-20.25020817157084
180,20140403,6,PM2.5,21.0
186,20140403,7,PCA,-37.69091998838994
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-41.200282171950754
192,20140403,8,PM2.5,6.0
198,20140403,9,PCA,-44.726749245859274
198,20140403,9,PM2.5,10.0
204,20140403,10,PCA,-47.12209108928783
204,20140403,10,PM2.5,16.0
210,20140403,11,PCA,-55.6857742886519
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-54.32840861226223
216,20140403,12,PM2.5,17.0
222,20140403,13,PCA,-54.29207700130115
222,20140403,13,PM2.5,23.0
228,20140403,14,PCA,-60.510311239239364
228,20140403,14,PM2.5,16.0
234,20140403,15,PCA,-63.93452089906525
234,20140403,15,PM2.5,14.0
240,20140403,16,PCA,-64.67750580167328
240,20140403,16,PM2.5,13.0
246,20140403,17,PCA,-60.73789963250044
246,20140403,17,PM2.5,20.0
252,20140403,18,PCA,-60.3666723159299
252,20140403,18,PM2.5,11.0
258,20140403,19,PCA,-53.52995698276064
258,20140403,19,PM2.5,18.0
264,20140403,20,PCA,-52.50352646557374
264,20140403,20,PM2.5,20.0
270,20140403,21,PCA,-45.12264838669491
270,20140403,21,PM2.5,27.0
276,20140403,22,PCA,-45.26539183143036
276,20140403,22,PM2.5,26.0
282,20140403,23,PCA,-37.99138911489192
282,20140403,23,PM2.5,41.0
288,20140404,0,PCA,-41.845342102661895
288,20140404,0,PM2.5,42.0
294,20140404,1,PCA,-50.21316754060857
294,20140404,1,PM2.5,33.0
300,20140404,2,PCA,-53.4520440682373
300,20140404,2,PM2.5,30.0
306,20140404,3,PCA,-54.65521026048157
306,20140404,3,PM2.5,28.0
312,20140404,4,PCA,-55.192307894299404
312,20140404,4,PM2.5,29.0
318,20140404,5,PCA,-47.82417852498201
318,20140404,5,PM2.5,37.0
324,20140404,6,PCA,-39.78328544839886
324,20140404,6,PM2.5,39.0
330,20140404,7,PCA,-34.71963614740294
330,20140404,7,PM2.5,43.0
336,20140404,8,PCA,-36.57895352372861
336,20140404,8,PM2.5,38.0
342,20140404,9,PCA,-30.320672314884945
342,20140404,9,PM2.5,43.0
348,20140404,10,PCA,10.530180889723596
348,20140404,10,PM2.5,96.0
354,20140404,11,PCA,136.40049175368375
354,20140404,11,PM2.5,283.0
372,20140404,14,PCA,-58.10090234386682
372,20140404,14,PM2.5,16.0
378,20140404,15,PCA,-65.67851667597188
378,20140404,15,PM2.5,22.0
384,20140404,16,PCA,-67.23676395077865
