,date,hour,type,北部新区
72,20140402,12,PCA,-12.281311923911664
72,20140402,12,PM2.5,43.0
78,20140402,13,PCA,-12.81313252739327
78,20140402,13,PM2.5,55.0
84,20140402,14,PCA,-12.93666420886831
84,20140402,14,PM2.5,58.0
90,20140402,15,PCA,-20.06104163223997
90,20140402,15,PM2.5,48.0
96,20140402,16,PCA,-12.78415997027267
96,20140402,16,PM2.5,59.0
102,20140402,17,PCA,14.982959012707695
102,20140402,17,PM2.5,97.0
108,20140402,18,PCA,45.176939049195454
108,20140402,18,PM2.5,129.0
114,20140402,19,PCA,56.00382269066621
114,20140402,19,PM2.5,133.0
120,20140402,20,PCA,67.11004425261122
120,20140402,20,PM2.5,141.0
126,20140402,21,PCA,69.47592672651047
126,20140402,21,PM2.5,137.0
132,20140402,22,PCA,55.41672195190318
132,20140402,22,PM2.5,117.0
138,20140402,23,PCA,38.67761863411446
138,20140402,23,PM2.5,91.0
144,20140403,0,PCA,33.608253456414424
144,20140403,0,PM2.5,74.0
150,20140403,1,PCA,28.479724946489274
150,20140403,1,PM2.5,67.0
156,20140403,2,PCA,19.461175950531374
156,20140403,2,PM2.5,57.0
162,20140403,3,PCA,33.44293709825598
162,20140403,3,PM2.5,67.0
168,20140403,4,PCA,-2.905883555263929
168,20140403,4,PM2.5,29.0
174,20140403,5,PCA,-24.5252909837433
174,20140403,5,PM2.5,6.0
180,20140403,6,PCA,-23.70091044600521
180,20140403,6,PM2.5,11.0
186,20140403,7,PCA,-33.01529887554275
186,20140403,7,PM2.5,9.0
192,20140403,8,PCA,-41.222092287195714
192,20140403,8,PM2.5,12.0
198,20140403,9,PCA,-51.66550241960082
198,20140403,9,PM2.5,6.0
204,20140403,10,PCA,-55.6409960385486
204,20140403,10,PM2.5,8.0
210,20140403,11,PCA,-57.403586346098265
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-52.50487275013254
216,20140403,12,PM2.5,18.0
222,20140403,13,PCA,-62.89634893659982
222,20140403,13,PM2.5,4.0
228,20140403,14,PCA,-59.267959045339104
228,20140403,14,PM2.5,10.0
234,20140403,15,PCA,-52.84435177134812
234,20140403,15,PM2.5,19.0
240,20140403,16,PCA,-62.82383833477939
240,20140403,16,PM2.5,7.0
246,20140403,17,PCA,-63.54626601178258
246,20140403,17,PM2.5,8.0
252,20140403,18,PCA,-70.75989874451571
252,20140403,18,PM2.5,3.0
258,20140403,19,PCA,-65.94511028896127
258,20140403,19,PM2.5,7.0
264,20140403,20,PCA,-40.99032484608348
264,20140403,20,PM2.5,31.0
270,20140403,21,PCA,-40.60929560260513
270,20140403,21,PM2.5,24.0
276,20140403,22,PCA,-39.44664816270201
276,20140403,22,PM2.5,33.0
282,20140403,23,PCA,-29.797811628131733
282,20140403,23,PM2.5,40.0
288,20140404,0,PCA,-27.620986152523905
288,20140404,0,PM2.5,36.0
294,20140404,1,PCA,-33.89678162960169
294,20140404,1,PM2.5,27.0
300,20140404,2,PCA,-25.68932275747889
300,20140404,2,PM2.5,42.0
306,20140404,3,PCA,-31.386129906529362
306,20140404,3,PM2.5,35.0
312,20140404,4,PCA,-21.661559476617448
312,20140404,4,PM2.5,44.0
318,20140404,5,PCA,-19.50371644042251
318,20140404,5,PM2.5,44.0
324,20140404,6,PCA,-20.735889844414643
324,20140404,6,PM2.5,40.0
330,20140404,7,PCA,-16.028365917772764
330,20140404,7,PM2.5,44.0
336,20140404,8,PCA,-4.602626419363148
336,20140404,8,PM2.5,59.0
342,20140404,9,PCA,-7.668238309492464
342,20140404,9,PM2.5,58.0
348,20140404,10,PCA,-14.479416030620408
348,20140404,10,PM2.5,50.0
354,20140404,11,PCA,-5.046744770619832
354,20140404,11,PM2.5,63.0
360,20140404,12,PCA,-18.366320865001484
360,20140404,12,PM2.5,51.0
366,20140404,13,PCA,-45.54668881734708
366,20140404,13,PM2.5,30.0
372,20140404,14,PCA,-56.354395847494224
372,20140404,14,PM2.5,17.0
378,20140404,15,PCA,-52.424446413108484
378,20140404,15,PM2.5,21.0
384,20140404,16,PCA,-58.087706532005754
384,20140404,16,PM2.5,12.0
390,20140404,17,PCA,-56.16769657474031
390,20140404,17,PM2.5,13.0
396,20140404,18,PCA,-51.92342185911008
396,20140404,18,PM2.5,13.0
402,20140404,19,PCA,-48.43175686558114
402,20140404,19,PM2.5,15.0
408,20140404,20,PCA,-51.15960728919476
408,20140404,20,PM2.5,12.0
414,20140404,21,PCA,-50.1520788225183
414,20140404,21,PM2.5,11.0
420,20140404,22,PCA,-48.418062371461765
420,20140404,22,PM2.5,10.0
426,20140404,23,PCA,-45.73683424562548
426,20140404,23,PM2.5,13.0
432,20140405,0,PCA,-41.87309217171697
432,20140405,0,PM2.5,13.0
438,20140405,1,PCA,-44.92842968424898
438,20140405,1,PM2.5,11.0
444,20140405,2,PCA,-35.41021162906818
444,20140405,2,PM2.5,16.0
450,20140405,3,PCA,-44.30805446330955
450,20140405,3,PM2.5,13.0
456,20140405,4,PCA,-53.53273375139126
456,20140405,4,PM2.5,8.0
462,20140405,5,PCA,-49.21024069620849
462,20140405,5,PM2.5,10.0
468,20140405,6,PCA,-38.35495120370127
468,20140405,6,PM2.5,24.0
474,20140405,7,PCA,-51.89138750410662
474,20140405,7,PM2.5,12.0
480,20140405,8,PCA,-60.46911077932164
480,20140405,8,PM2.5,5.0
486,20140405,9,PCA,-65.95505141416979
486,20140405,9,PM2.5,5.0
492,20140405,10,PCA,-71.333829969889
492,20140405,10,PM2.5,3.0
498,20140405,11,PCA,-67.36155458983673
498,20140405,11,PM2.5,13.0
504,20140405,12,PCA,-71.73297775897903
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-67.2465711487214
510,20140405,13,PM2.5,16.0
516,20140405,14,PCA,-74.70294978046554
516,20140405,14,PM2.5,6.0
522,20140405,15,PCA,-73.78964718575477
522,20140405,15,PM2.5,9.0
528,20140405,16,PCA,-74.49476098554581
528,20140405,16,PM2.5,11.0
534,20140405,17,PCA,-79.84790563525964
534,20140405,17,PM2.5,5.0
540,20140405,18,PCA,-71.69448650016152
540,20140405,18,PM2.5,16.0
546,20140405,19,PCA,-55.73639660946586
546,20140405,19,PM2.5,31.0
552,20140405,20,PCA,-46.256782687092276
552,20140405,20,PM2.5,36.0
558,20140405,21,PCA,-19.73397486970465
558,20140405,21,PM2.5,54.0
564,20140405,22,PCA,-13.709263450353031
564,20140405,22,PM2.5,60.0
570,20140405,23,PCA,-11.257196992342294
570,20140405,23,PM2.5,59.0
576,20140406,0,PCA,-9.03074085834155
576,20140406,0,PM2.5,56.0
582,20140406,1,PCA,-12.149154199991013
582,20140406,1,PM2.5,52.0
588,20140406,2,PCA,-9.039126315356238
588,20140406,2,PM2.5,55.0
594,20140406,3,PCA,15.931118083772567
594,20140406,3,PM2.5,82.0
600,20140406,4,PCA,3.1666221701307284
600,20140406,4,PM2.5,65.0
606,20140406,5,PCA,-1.3828419538971124
606,20140406,5,PM2.5,55.0
612,20140406,6,PCA,4.089333351073288
612,20140406,6,PM2.5,61.0
618,20140406,7,PCA,0.7741065313618471
618,20140406,7,PM2.5,57.0
624,20140406,8,PCA,20.643630324420982
624,20140406,8,PM2.5,74.0
630,20140406,9,PCA,32.81264560195626
630,20140406,9,PM2.5,90.0
636,20140406,10,PCA,0.6324843324146956
636,20140406,10,PM2.5,52.0
642,20140406,11,PCA,-14.973583872143784
642,20140406,11,PM2.5,38.5
648,20140406,12,PCA,-29.87021573832923
648,20140406,12,PM2.5,25.0
654,20140406,13,PCA,-16.720124858199995
654,20140406,13,PM2.5,40.0
660,20140406,14,PCA,-33.33545036147128
