,date,hour,type,南三环
72,20140402,12,PCA,47.40306335021322
72,20140402,12,PM2.5,92.0
78,20140402,13,PCA,56.992046601760386
78,20140402,13,PM2.5,104.0
84,20140402,14,PCA,66.58102985330683
84,20140402,14,PM2.5,116.0
90,20140402,15,PCA,68.76944301855437
90,20140402,15,PM2.5,121.0
96,20140402,16,PCA,74.73093024197786
96,20140402,16,PM2.5,125.0
114,20140402,19,PCA,88.73047838992524
114,20140402,19,PM2.5,123.0
120,20140402,20,PCA,80.52586734479308
120,20140402,20,PM2.5,110.0
126,20140402,21,PCA,71.63941420223239
126,20140402,21,PM2.5,97.0
132,20140402,22,PCA,53.82184495303713
132,20140402,22,PM2.5,78.0
138,20140402,23,PCA,40.069076556956446
138,20140402,23,PM2.5,66.5
144,20140403,0,PCA,26.316308160875764
144,20140403,0,PM2.5,55.0
162,20140403,3,PCA,16.251258559236014
162,20140403,3,PM2.5,54.0
168,20140403,4,PCA,3.4335534552905607
168,20140403,4,PM2.5,41.0
174,20140403,5,PCA,0.7924111783128854
174,20140403,5,PM2.5,42.0
180,20140403,6,PCA,-10.336127553122145
180,20140403,6,PM2.5,30.0
186,20140403,7,PCA,-19.1349195407037
186,20140403,7,PM2.5,14.0
192,20140403,8,PCA,-16.63425950715376
192,20140403,8,PM2.5,19.0
198,20140403,9,PCA,-26.20746496026667
198,20140403,9,PM2.5,19.0
204,20140403,10,PCA,-48.39593499118051
204,20140403,10,PM2.5,7.0
210,20140403,11,PCA,-50.355744959003914
210,20140403,11,PM2.5,12.0
216,20140403,12,PCA,-59.25370661986175
216,20140403,12,PM2.5,12.0
222,20140403,13,PCA,-56.26287072858106
222,20140403,13,PM2.5,22.0
228,20140403,14,PCA,-58.64891533462967
228,20140403,14,PM2.5,23.0
234,20140403,15,PCA,-61.0349599406783
234,20140403,15,PM2.5,24.0
252,20140403,18,PCA,-69.51740964353289
252,20140403,18,PM2.5,14.0
258,20140403,19,PCA,-57.280743229565736
258,20140403,19,PM2.5,15.0
264,20140403,20,PCA,-45.8155908790983
264,20140403,20,PM2.5,24.5
270,20140403,21,PCA,-37.077806918344955
270,20140403,21,PM2.5,34.0
276,20140403,22,PCA,-37.761103764274885
276,20140403,22,PM2.5,43.0
