,date,hour,type,古城
72,20140402,12,PCA,12.019294807996767
72,20140402,12,PM2.5,63.0
78,20140402,13,PCA,10.840191026158019
78,20140402,13,PM2.5,70.0
84,20140402,14,PCA,-5.792573196051083
84,20140402,14,PM2.5,52.0
90,20140402,15,PCA,10.266330253037152
90,20140402,15,PM2.5,75.0
96,20140402,16,PCA,36.16814752633563
96,20140402,16,PM2.5,110.0
102,20140402,17,PCA,48.664761569356045
102,20140402,17,PM2.5,122.0
108,20140402,18,PCA,80.92585153110943
108,20140402,18,PM2.5,152.0
114,20140402,19,PCA,85.6786181244524
114,20140402,19,PM2.5,148.0
120,20140402,20,PCA,83.86993903836438
120,20140402,20,PM2.5,141.0
126,20140402,21,PCA,53.47409301721341
126,20140402,21,PM2.5,101.0
132,20140402,22,PCA,53.3649014829545
132,20140402,22,PM2.5,87.0
138,20140402,23,PCA,51.274808488628295
138,20140402,23,PM2.5,79.0
144,20140403,0,PCA,38.771559262995915
144,20140403,0,PM2.5,65.0
150,20140403,1,PCA,37.43605178754263
150,20140403,1,PM2.5,65.0
156,20140403,2,PCA,30.52069973237059
156,20140403,2,PM2.5,58.0
162,20140403,3,PCA,35.80720660117745
162,20140403,3,PM2.5,59.0
168,20140403,4,PCA,31.003487367409793
168,20140403,4,PM2.5,61.0
174,20140403,5,PCA,15.047954109397462
174,20140403,5,PM2.5,43.0
180,20140403,6,PCA,-35.43437030112453
180,20140403,6,PM2.5,4.0
186,20140403,7,PCA,-35.44487926433004
186,20140403,7,PM2.5,4.0
192,20140403,8,PCA,-33.35112178760195
192,20140403,8,PM2.5,6.0
198,20140403,9,PCA,-32.986672393826275
198,20140403,9,PM2.5,13.0
204,20140403,10,PCA,-42.330445619419905
204,20140403,10,PM2.5,9.0
210,20140403,11,PCA,-44.61918171708851
210,20140403,11,PM2.5,11.0
216,20140403,12,PCA,-44.40430641105704
216,20140403,12,PM2.5,14.0
222,20140403,13,PCA,-43.80890795978226
222,20140403,13,PM2.5,16.0
228,20140403,14,PCA,-48.73719539139924
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-48.66694742950736
234,20140403,15,PM2.5,12.0
240,20140403,16,PCA,-46.35520874345854
240,20140403,16,PM2.5,18.0
246,20140403,17,PCA,-52.43541068514435
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-58.33190799106432
252,20140403,18,PM2.5,7.0
258,20140403,19,PCA,-53.29660517697063
258,20140403,19,PM2.5,12.0
264,20140403,20,PCA,-27.96129610553361
264,20140403,20,PM2.5,32.0
270,20140403,21,PCA,-11.252652396224397
270,20140403,21,PM2.5,41.0
276,20140403,22,PCA,-13.354200351713702
276,20140403,22,PM2.5,41.0
282,20140403,23,PCA,-23.610998242579846
282,20140403,23,PM2.5,33.0
288,20140404,0,PCA,-15.899200002922944
288,20140404,0,PM2.5,49.0
294,20140404,1,PCA,-22.398726822230223
294,20140404,1,PM2.5,42.0
300,20140404,2,PCA,-17.86552273520435
300,20140404,2,PM2.5,43.0
306,20140404,3,PCA,-21.701712270991102
306,20140404,3,PM2.5,37.0
312,20140404,4,PCA,-13.73059154455974
312,20140404,4,PM2.5,48.0
318,20140404,5,PCA,-15.119736035097858
318,20140404,5,PM2.5,43.0
324,20140404,6,PCA,-8.93276200780381
324,20140404,6,PM2.5,47.0
330,20140404,7,PCA,-4.050531971432699
330,20140404,7,PM2.5,51.0
336,20140404,8,PCA,-2.567272909327862
336,20140404,8,PM2.5,51.0
342,20140404,9,PCA,1.611306385261417
342,20140404,9,PM2.5,54.0
348,20140404,10,PCA,13.097735173435026
348,20140404,10,PM2.5,63.0
354,20140404,11,PCA,18.685607555139665
354,20140404,11,PM2.5,65.0
360,20140404,12,PCA,-0.3302578064747968
360,20140404,12,PM2.5,43.0
366,20140404,13,PCA,4.667247884423218
366,20140404,13,PM2.5,61.0
372,20140404,14,PCA,-36.659223061280066
372,20140404,14,PM2.5,24.0
378,20140404,15,PCA,-38.71531713407176
378,20140404,15,PM2.5,21.0
384,20140404,16,PCA,-37.48285541683402
384,20140404,16,PM2.5,22.0
390,20140404,17,PCA,-33.33273021162278
390,20140404,17,PM2.5,25.0
396,20140404,18,PCA,-34.195226620434816
396,20140404,18,PM2.5,19.0
402,20140404,19,PCA,-33.190377907483594
402,20140404,19,PM2.5,17.0
408,20140404,20,PCA,-33.41839857339455
408,20140404,20,PM2.5,15.0
414,20140404,21,PCA,-33.67596325940228
414,20140404,21,PM2.5,15.0
420,20140404,22,PCA,-38.66366268818393
