,date,hour,type,大兴
72,20140402,12,PCA,29.65749956288615
72,20140402,12,PM2.5,97.0
78,20140402,13,PCA,29.801162807760228
78,20140402,13,PM2.5,102.0
84,20140402,14,PCA,56.24263426972104
84,20140402,14,PM2.5,138.0
90,20140402,15,PCA,45.452096845128054
90,20140402,15,PM2.5,121.0
96,20140402,16,PCA,67.59819390717712
96,20140402,16,PM2.5,150.0
102,20140402,17,PCA,70.21113373574622
102,20140402,17,PM2.5,136.0
108,20140402,18,PCA,72.97812555309892
108,20140402,18,PM2.5,128.0
114,20140402,19,PCA,58.414939995854326
114,20140402,19,PM2.5,106.0
120,20140402,20,PCA,31.854243582289772
120,20140402,20,PM2.5,72.0
126,20140402,21,PCA,27.615297534982698
126,20140402,21,PM2.5,63.0
132,20140402,22,PCA,29.020046527811935
132,20140402,22,PM2.5,61.0
138,20140402,23,PCA,33.38617527147229
138,20140402,23,PM2.5,59.0
144,20140403,0,PCA,29.30069218926842
144,20140403,0,PM2.5,60.0
150,20140403,1,PCA,13.262829105253639
150,20140403,1,PM2.5,47.0
156,20140403,2,PCA,13.403632876760879
156,20140403,2,PM2.5,48.0
162,20140403,3,PCA,17.523810413367624
162,20140403,3,PM2.5,50.0
168,20140403,4,PCA,6.263192770465437
168,20140403,4,PM2.5,39.0
174,20140403,5,PCA,6.564208909772546
174,20140403,5,PM2.5,42.0
180,20140403,6,PCA,10.679544508971198
180,20140403,6,PM2.5,46.0
186,20140403,7,PCA,11.25077760122454
186,20140403,7,PM2.5,47.0
192,20140403,8,PCA,-21.0032711814727
192,20140403,8,PM2.5,20.0
198,20140403,9,PCA,-43.831236434371675
198,20140403,9,PM2.5,5.0
204,20140403,10,PCA,-49.58374823312667
204,20140403,10,PM2.5,13.0
210,20140403,11,PCA,-59.95470730003373
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-64.62282292740565
216,20140403,12,PM2.5,11.0
222,20140403,13,PCA,-63.81322597265508
222,20140403,13,PM2.5,15.0
228,20140403,14,PCA,-58.06188168548603
228,20140403,14,PM2.5,25.0
234,20140403,15,PCA,-74.56409572806304
234,20140403,15,PM2.5,3.0
240,20140403,16,PCA,-66.56008977472186
240,20140403,16,PM2.5,15.0
246,20140403,17,PCA,-66.55719767443325
246,20140403,17,PM2.5,17.0
252,20140403,18,PCA,-74.93387909131286
252,20140403,18,PM2.5,3.0
258,20140403,19,PCA,-59.29553604212814
258,20140403,19,PM2.5,20.0
264,20140403,20,PCA,-55.15459485784226
264,20140403,20,PM2.5,21.0
270,20140403,21,PCA,-51.55637098721565
270,20140403,21,PM2.5,24.0
276,20140403,22,PCA,-52.324870426214765
276,20140403,22,PM2.5,23.0
282,20140403,23,PCA,-42.60630873323271
282,20140403,23,PM2.5,36.0
288,20140404,0,PCA,-48.31153395687129
288,20140404,0,PM2.5,34.0
294,20140404,1,PCA,-54.05319170796543
294,20140404,1,PM2.5,29.0
300,20140404,2,PCA,-56.19575391782116
300,20140404,2,PM2.5,27.0
306,20140404,3,PCA,-52.9552291644249
306,20140404,3,PM2.5,30.0
312,20140404,4,PCA,-52.91058806069018
312,20140404,4,PM2.5,29.0
318,20140404,5,PCA,-49.75283215028528
318,20140404,5,PM2.5,33.0
324,20140404,6,PCA,-49.68780047651657
324,20140404,6,PM2.5,32.0
330,20140404,7,PCA,-43.99258365257485
330,20140404,7,PM2.5,34.0
336,20140404,8,PCA,-35.64811405746546
336,20140404,8,PM2.5,40.0
342,20140404,9,PCA,-26.32117860746839
342,20140404,9,PM2.5,52.0
348,20140404,10,PCA,-15.796095637624111
348,20140404,10,PM2.5,60.0
354,20140404,11,PCA,-0.019230919295894586
354,20140404,11,PM2.5,77.0
360,20140404,12,PCA,-30.940447503459538
360,20140404,12,PM2.5,44.0
366,20140404,13,PCA,-41.56644398547711
366,20140404,13,PM2.5,48.0
372,20140404,14,PCA,-63.83174502488532
372,20140404,14,PM2.5,26.0
378,20140404,15,PCA,-57.454114824607444
378,20140404,15,PM2.5,34.0
384,20140404,16,PCA,-61.67612057812377
384,20140404,16,PM2.5,25.0
390,20140404,17,PCA,-70.14497630276142
390,20140404,17,PM2.5,11.0
396,20140404,18,PCA,-57.28273491448955
396,20140404,18,PM2.5,25.0
402,20140404,19,PCA,-62.42117190113905
402,20140404,19,PM2.5,13.0
408,20140404,20,PCA,-53.94599057159145
408,20140404,20,PM2.5,18.0
414,20140404,21,PCA,-48.06053787490884
414,20140404,21,PM2.5,24.0
420,20140404,22,PCA,-43.297519743787696
420,20140404,22,PM2.5,23.0
426,20140404,23,PCA,-39.675173955575666
426,20140404,23,PM2.5,30.0
432,20140405,0,PCA,-43.02260490150815
432,20140405,0,PM2.5,29.0
438,20140405,1,PCA,-42.653308901888074
438,20140405,1,PM2.5,29.0
444,20140405,2,PCA,-36.584286152135505
444,20140405,2,PM2.5,31.0
450,20140405,3,PCA,-33.598900329133514
450,20140405,3,PM2.5,26.0
456,20140405,4,PCA,-24.778259405786766
456,20140405,4,PM2.5,40.0
462,20140405,5,PCA,-36.66068833998228
462,20140405,5,PM2.5,32.0
468,20140405,6,PCA,-34.26384343838458
