,date,hour,type,天坛
72,20140402,12,PCA,32.105172734029324
72,20140402,12,PM2.5,89.0
78,20140402,13,PCA,25.41397746865939
78,20140402,13,PM2.5,87.0
84,20140402,14,PCA,44.484827955152
84,20140402,14,PM2.5,116.0
90,20140402,15,PCA,41.089243584703816
90,20140402,15,PM2.5,111.0
96,20140402,16,PCA,41.19841540725909
96,20140402,16,PM2.5,109.0
102,20140402,17,PCA,64.89100245069972
102,20140402,17,PM2.5,130.0
108,20140402,18,PCA,71.82090880818289
108,20140402,18,PM2.5,131.0
114,20140402,19,PCA,56.67777909497339
114,20140402,19,PM2.5,109.0
120,20140402,20,PCA,49.24583064419676
120,20140402,20,PM2.5,91.0
126,20140402,21,PCA,41.879684825743624
126,20140402,21,PM2.5,79.0
132,20140402,22,PCA,40.7062586079833
132,20140402,22,PM2.5,72.0
138,20140402,23,PCA,25.6398709280972
138,20140402,23,PM2.5,57.0
144,20140403,0,PCA,24.139511057639776
144,20140403,0,PM2.5,54.0
150,20140403,1,PCA,23.93443417631866
150,20140403,1,PM2.5,55.0
156,20140403,2,PCA,15.25716697102692
156,20140403,2,PM2.5,44.0
162,20140403,3,PCA,17.004853402307692
162,20140403,3,PM2.5,51.0
168,20140403,4,PCA,15.693580957754559
168,20140403,4,PM2.5,48.0
174,20140403,5,PCA,0.4203193241695424
174,20140403,5,PM2.5,32.0
180,20140403,6,PCA,-6.287572125159335
180,20140403,6,PM2.5,25.0
186,20140403,7,PCA,-26.84525534790932
186,20140403,7,PM2.5,7.0
192,20140403,8,PCA,-27.55885691442813
192,20140403,8,PM2.5,12.0
198,20140403,9,PCA,-37.36542283511715
198,20140403,9,PM2.5,10.0
204,20140403,10,PCA,-45.53912006758328
204,20140403,10,PM2.5,8.0
210,20140403,11,PCA,-49.98547889501988
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-49.566062002690984
216,20140403,12,PM2.5,16.0
222,20140403,13,PCA,-53.86242993759271
222,20140403,13,PM2.5,11.0
228,20140403,14,PCA,-48.41659555495742
228,20140403,14,PM2.5,20.0
234,20140403,15,PCA,-51.689119360419674
234,20140403,15,PM2.5,16.0
240,20140403,16,PCA,-62.38949457347239
240,20140403,16,PM2.5,3.0
246,20140403,17,PCA,-58.160395362880216
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-56.819247689161806
252,20140403,18,PM2.5,14.0
258,20140403,19,PCA,-55.37937395931991
258,20140403,19,PM2.5,13.0
264,20140403,20,PCA,-60.57659522860932
264,20140403,20,PM2.5,3.0
270,20140403,21,PCA,-52.91022185641313
270,20140403,21,PM2.5,12.0
276,20140403,22,PCA,-47.417549242009954
276,20140403,22,PM2.5,19.0
282,20140403,23,PCA,-33.703417228382946
282,20140403,23,PM2.5,39.0
288,20140404,0,PCA,-38.00923387789344
288,20140404,0,PM2.5,39.0
294,20140404,1,PCA,-42.54703810337698
294,20140404,1,PM2.5,31.0
300,20140404,2,PCA,-48.7397998323011
300,20140404,2,PM2.5,26.0
306,20140404,3,PCA,-45.854486730592164
306,20140404,3,PM2.5,27.0
312,20140404,4,PCA,-39.04844853325561
312,20140404,4,PM2.5,33.0
318,20140404,5,PCA,-36.417294740730476
318,20140404,5,PM2.5,37.0
324,20140404,6,PCA,-34.40839052576057
324,20140404,6,PM2.5,36.0
330,20140404,7,PCA,-34.378826830799795
330,20140404,7,PM2.5,32.0
336,20140404,8,PCA,-21.183750560985608
336,20140404,8,PM2.5,43.0
342,20140404,9,PCA,-17.124595871999343
342,20140404,9,PM2.5,45.0
348,20140404,10,PCA,-7.283681930820218
348,20140404,10,PM2.5,53.0
354,20140404,11,PCA,1.4080004149732095
354,20140404,11,PM2.5,62.0
360,20140404,12,PCA,-6.9057250714700915
360,20140404,12,PM2.5,52.0
366,20140404,13,PCA,-16.868344726310678
366,20140404,13,PM2.5,51.0
372,20140404,14,PCA,-36.54848157653705
372,20140404,14,PM2.5,35.0
378,20140404,15,PCA,-52.65812569613428
378,20140404,15,PM2.5,19.0
384,20140404,16,PCA,-54.605760689268145
384,20140404,16,PM2.5,15.0
390,20140404,17,PCA,-57.634526316894146
390,20140404,17,PM2.5,7.0
396,20140404,18,PCA,-53.06711626821855
396,20140404,18,PM2.5,11.0
402,20140404,19,PCA,-53.80927397118109
402,20140404,19,PM2.5,8.0
408,20140404,20,PCA,-44.251573550012
408,20140404,20,PM2.5,20.0
414,20140404,21,PCA,-38.272735426857906
414,20140404,21,PM2.5,22.0
420,20140404,22,PCA,-34.42480684091132
420,20140404,22,PM2.5,26.0
426,20140404,23,PCA,-30.293379941244293
426,20140404,23,PM2.5,31.0
432,20140405,0,PCA,-35.24457533196544
432,20140405,0,PM2.5,27.0
438,20140405,1,PCA,-32.412666391729466
438,20140405,1,PM2.5,29.0
444,20140405,2,PCA,-33.96625940388177
444,20140405,2,PM2.5,29.0
450,20140405,3,PCA,-39.57502188138402
450,20140405,3,PM2.5,21.0
456,20140405,4,PCA,-30.86808706535414
456,20140405,4,PM2.5,28.0
462,20140405,5,PCA,-21.72221765981418
462,20140405,5,PM2.5,33.0
468,20140405,6,PCA,-20.635772085211187
468,20140405,6,PM2.5,36.0
474,20140405,7,PCA,-15.356397581780938
474,20140405,7,PM2.5,41.0
480,20140405,8,PCA,-14.759413986089793
480,20140405,8,PM2.5,48.0
486,20140405,9,PCA,-54.616235703046996
486,20140405,9,PM2.5,10.0
492,20140405,10,PCA,-62.44460419955856
492,20140405,10,PM2.5,3.0
498,20140405,11,PCA,-63.68407334093126
498,20140405,11,PM2.5,3.0
504,20140405,12,PCA,-62.366595113946936
504,20140405,12,PM2.5,6.0
510,20140405,13,PCA,-65.01199076904442
510,20140405,13,PM2.5,4.0
516,20140405,14,PCA,-55.82042134652504
516,20140405,14,PM2.5,19.0
522,20140405,15,PCA,-63.34882763681679
522,20140405,15,PM2.5,9.0
528,20140405,16,PCA,-59.78173676325811
528,20140405,16,PM2.5,16.0
534,20140405,17,PCA,-54.83620436503654
534,20140405,17,PM2.5,24.0
540,20140405,18,PCA,-50.94489847195811
540,20140405,18,PM2.5,30.0
546,20140405,19,PCA,-48.286815361186974
546,20140405,19,PM2.5,33.0
552,20140405,20,PCA,-39.95376135910538
552,20140405,20,PM2.5,42.0
558,20140405,21,PCA,-29.672885743247036
558,20140405,21,PM2.5,52.0
564,20140405,22,PCA,-28.94042900840466
564,20140405,22,PM2.5,53.0
570,20140405,23,PCA,-31.917808944507623
570,20140405,23,PM2.5,46.0
576,20140406,0,PCA,-27.203005781362872
576,20140406,0,PM2.5,49.0
582,20140406,1,PCA,-21.18567298233651
582,20140406,1,PM2.5,51.0
588,20140406,2,PCA,-20.650611666365766
588,20140406,2,PM2.5,47.0
594,20140406,3,PCA,-9.525982600529536
594,20140406,3,PM2.5,56.0
600,20140406,4,PCA,-3.9731077283613394
600,20140406,4,PM2.5,64.0
606,20140406,5,PCA,-4.739753433940073
606,20140406,5,PM2.5,63.0
612,20140406,6,PCA,-7.496214548445952
612,20140406,6,PM2.5,62.0
618,20140406,7,PCA,-10.289467381063833
618,20140406,7,PM2.5,60.0
624,20140406,8,PCA,1.3606971108511121
624,20140406,8,PM2.5,70.0
630,20140406,9,PCA,10.193134995707588
630,20140406,9,PM2.5,74.0
636,20140406,10,PCA,11.628441552432468
636,20140406,10,PM2.5,76.0
642,20140406,11,PCA,-0.8187263314312015
642,20140406,11,PM2.5,66.5
648,20140406,12,PCA,-13.26589421529486
648,20140406,12,PM2.5,57.0
654,20140406,13,PCA,-34.92765540300353
654,20140406,13,PM2.5,40.0
660,20140406,14,PCA,-51.010285947892164
660,20140406,14,PM2.5,23.0
666,20140406,15,PCA,-33.1935026346325
666,20140406,15,PM2.5,47.0
672,20140406,16,PCA,-32.61795336173658
672,20140406,16,PM2.5,44.0
678,20140406,17,PCA,-23.51475453479809
678,20140406,17,PM2.5,53.0
684,20140408,10,PCA,195.6056853070658
684,20140408,10,PM2.5,216.0
690,20140408,11,PCA,207.6391287366162
690,20140408,11,PM2.5,230.0
696,20140408,12,PCA,181.6225307077008
696,20140408,12,PM2.5,205.5
702,20140408,13,PCA,153.55537628061163
702,20140408,13,PM2.5,181.0
708,20140408,14,PCA,125.65931313298749
708,20140408,14,PM2.5,157.0
714,20140408,15,PCA,118.61246664671914
714,20140408,15,PM2.5,151.0
720,20140408,16,PCA,143.79113613511652
720,20140408,16,PM2.5,184.0
726,20140408,17,PCA,121.71298328737062
726,20140408,17,PM2.5,149.0
732,20140408,18,PCA,124.88596537869572
732,20140408,18,PM2.5,148.0
738,20140408,19,PCA,131.40709534782474
738,20140408,19,PM2.5,153.0
744,20140408,20,PCA,128.83347241009122
744,20140408,20,PM2.5,144.0
750,20140408,21,PCA,130.83946480593792
750,20140408,21,PM2.5,142.0
756,20140408,22,PCA,124.19831895030181
756,20140408,22,PM2.5,129.0
762,20140408,23,PCA,134.1156558159939
762,20140408,23,PM2.5,139.0
768,20140409,0,PCA,139.46294419784556
768,20140409,0,PM2.5,143.0
774,20140409,1,PCA,137.4870265326912
774,20140409,1,PM2.5,141.0
780,20140409,2,PCA,136.93445942418626
780,20140409,2,PM2.5,144.0
786,20140409,3,PCA,135.13500853051454
786,20140409,3,PM2.5,145.0
792,20140409,4,PCA,117.68398163614934
792,20140409,4,PM2.5,116.0
798,20140409,5,PCA,118.50343461501382
798,20140409,5,PM2.5,116.0
804,20140409,6,PCA,129.82979597236746
804,20140409,6,PM2.5,127.0
810,20140409,7,PCA,147.2942512753955
810,20140409,7,PM2.5,148.0
816,20140409,8,PCA,168.45847780540205
816,20140409,8,PM2.5,168.0
822,20140409,9,PCA,180.11715385026145
822,20140409,9,PM2.5,183.0
828,20140409,10,PCA,168.2156816323369
828,20140409,10,PM2.5,180.0
834,20140409,11,PCA,138.77048412397642
834,20140409,11,PM2.5,154.0
840,20140409,12,PCA,39.05565358536029
840,20140409,12,PM2.5,38.0
846,20140409,13,PCA,27.23735705542417
846,20140409,13,PM2.5,30.0
852,20140409,14,PCA,19.981197762284104
852,20140409,14,PM2.5,27.0
858,20140409,15,PCA,21.78181141110235
858,20140409,15,PM2.5,34.0
864,20140409,16,PCA,16.315363973732605
864,20140409,16,PM2.5,33.0
870,20140409,17,PCA,32.72532595296205
870,20140409,17,PM2.5,60.0
876,20140409,18,PCA,29.78166854255209
876,20140409,18,PM2.5,58.0
882,20140409,19,PCA,30.678760388471737
882,20140409,19,PM2.5,62.0
984,20140410,12,PCA,72.42159982562829
984,20140410,12,PM2.5,51.0
990,20140410,13,PCA,63.04619103559869
990,20140410,13,PM2.5,20.0
996,20140410,14,PCA,96.3194131760426
996,20140410,14,PM2.5,61.0
1002,20140410,15,PCA,94.87580004343546
1002,20140410,15,PM2.5,52.0
1008,20140410,16,PCA,100.86632835731263
1008,20140410,16,PM2.5,52.0
1014,20140410,17,PCA,94.65062408537594
1014,20140410,17,PM2.5,45.0
1020,20140410,18,PCA,97.16077393311117
1020,20140410,18,PM2.5,52.0
1026,20140410,19,PCA,90.92911567584106
1026,20140410,19,PM2.5,56.0
1032,20140410,20,PCA,85.38097621796224
1032,20140410,20,PM2.5,60.0
1038,20140410,21,PCA,88.42525185021661
1038,20140410,21,PM2.5,66.0
1044,20140410,22,PCA,86.0442315666048
1044,20140410,22,PM2.5,68.0
1050,20140410,23,PCA,92.08206070416887
1050,20140410,23,PM2.5,75.0
1056,20140411,0,PCA,94.26915681454939
1056,20140411,0,PM2.5,78.0
1062,20140411,1,PCA,83.63464196291623
1062,20140411,1,PM2.5,66.0
1068,20140411,2,PCA,83.78743833240887
1068,20140411,2,PM2.5,69.0
1074,20140411,3,PCA,79.53026929505687
1074,20140411,3,PM2.5,68.0
1080,20140411,4,PCA,88.27238118635103
1080,20140411,4,PM2.5,82.0
1086,20140411,5,PCA,75.90677070047474
1086,20140411,5,PM2.5,76.0
1092,20140411,6,PCA,77.48881342644046
1092,20140411,6,PM2.5,82.0
1098,20140411,7,PCA,39.77951769445469
1098,20140411,7,PM2.5,51.0
1104,20140411,8,PCA,26.858249909870132
1104,20140411,8,PM2.5,44.0
1110,20140411,9,PCA,14.950963854859058
1110,20140411,9,PM2.5,36.0
1116,20140411,10,PCA,28.18384876705064
1116,20140411,10,PM2.5,51.0
1122,20140411,11,PCA,26.032841401953018
1122,20140411,11,PM2.5,50.0
1128,20140411,12,PCA,6.526765775833486
1128,20140411,12,PM2.5,48.0
1134,20140411,13,PCA,-5.661797078847348
1134,20140411,13,PM2.5,44.0
1140,20140411,14,PCA,-25.190505345836907
1140,20140411,14,PM2.5,31.0
1146,20140411,15,PCA,-21.92069611510198
1146,20140411,15,PM2.5,43.0
1152,20140411,16,PCA,-27.017313808155894
1152,20140411,16,PM2.5,41.0
1158,20140411,17,PCA,-24.010907356976656
1158,20140411,17,PM2.5,48.0
1164,20140411,18,PCA,-26.44979655695111
1164,20140411,18,PM2.5,45.0
1170,20140411,19,PCA,-10.951979885777249
1170,20140411,19,PM2.5,65.0
1176,20140411,20,PCA,-12.775621751155754
1176,20140411,20,PM2.5,58.0
1182,20140411,21,PCA,-13.88652672176509
1182,20140411,21,PM2.5,58.0
1188,20140411,22,PCA,8.320158181780327
1188,20140411,22,PM2.5,73.0
1194,20140411,23,PCA,20.851212409615297
1194,20140411,23,PM2.5,86.0
1200,20140412,0,PCA,10.845460259211036
1200,20140412,0,PM2.5,74.0
1206,20140412,1,PCA,12.202177960379254
1206,20140412,1,PM2.5,78.0
1212,20140412,2,PCA,14.11150489828374
1212,20140412,2,PM2.5,79.0
1218,20140412,3,PCA,16.574063544992306
1218,20140412,3,PM2.5,83.0
1224,20140412,4,PCA,14.699087009570006
1224,20140412,4,PM2.5,82.0
1230,20140412,5,PCA,22.98483478324327
1230,20140412,5,PM2.5,95.0
1236,20140412,6,PCA,13.566077498017368
1236,20140412,6,PM2.5,82.0
1242,20140412,7,PCA,21.578014920345243
1242,20140412,7,PM2.5,90.0
1248,20140412,8,PCA,45.06815872722755
1248,20140412,8,PM2.5,109.0
1254,20140412,9,PCA,65.40974803054397
