,date,hour,type,奥体中心
72,20140402,12,PCA,-1.5520549823644945
72,20140402,12,PM2.5,49.0
78,20140402,13,PCA,6.79417913783251
78,20140402,13,PM2.5,67.0
84,20140402,14,PCA,13.243840630852826
84,20140402,14,PM2.5,78.0
90,20140402,15,PCA,-0.21906455794163227
90,20140402,15,PM2.5,52.5
96,20140402,16,PCA,-19.068620779866745
96,20140402,16,PM2.5,27.0
102,20140402,17,PCA,63.63764460053921
102,20140402,17,PM2.5,132.0
108,20140402,18,PCA,74.72112793570233
108,20140402,18,PM2.5,139.0
114,20140402,19,PCA,73.2293882333139
114,20140402,19,PM2.5,130.0
120,20140402,20,PCA,55.805510469817385
120,20140402,20,PM2.5,103.0
126,20140402,21,PCA,58.722605476923725
126,20140402,21,PM2.5,101.0
132,20140402,22,PCA,42.291378688625365
132,20140402,22,PM2.5,78.0
138,20140402,23,PCA,30.696530788838167
138,20140402,23,PM2.5,64.0
144,20140403,0,PCA,40.39099738820875
144,20140403,0,PM2.5,68.0
150,20140403,1,PCA,33.68110978076271
150,20140403,1,PM2.5,60.0
156,20140403,2,PCA,25.287436373097293
156,20140403,2,PM2.5,52.0
162,20140403,3,PCA,29.01085332522691
162,20140403,3,PM2.5,58.0
168,20140403,4,PCA,27.293393023139117
168,20140403,4,PM2.5,56.0
174,20140403,5,PCA,14.7874204988294
174,20140403,5,PM2.5,43.0
180,20140403,6,PCA,1.9685147100593632
180,20140403,6,PM2.5,33.0
186,20140403,7,PCA,-32.48166178729589
186,20140403,7,PM2.5,11.0
192,20140403,8,PCA,-37.0698943124684
192,20140403,8,PM2.5,10.0
198,20140403,9,PCA,-46.97975395633385
198,20140403,9,PM2.5,6.0
204,20140403,10,PCA,-42.04323753538328
204,20140403,10,PM2.5,18.0
210,20140403,11,PCA,-47.80674780398708
210,20140403,11,PM2.5,12.0
216,20140403,12,PCA,-32.0792242216267
216,20140403,12,PM2.5,35.0
222,20140403,13,PCA,-42.652398824790346
222,20140403,13,PM2.5,18.0
228,20140403,14,PCA,-43.258792247105504
228,20140403,14,PM2.5,19.0
234,20140403,15,PCA,-49.91758626169724
234,20140403,15,PM2.5,10.0
240,20140403,16,PCA,-56.077560460243994
240,20140403,16,PM2.5,3.0
246,20140403,17,PCA,-58.03600420649476
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-45.81894630653252
252,20140403,18,PM2.5,15.0
258,20140403,19,PCA,-47.35431499773274
258,20140403,19,PM2.5,10.0
264,20140403,20,PCA,-38.76377137659581
264,20140403,20,PM2.5,16.0
270,20140403,21,PCA,-39.53498124260989
270,20140403,21,PM2.5,12.0
276,20140403,22,PCA,-32.78588539571955
276,20140403,22,PM2.5,20.0
282,20140403,23,PCA,-20.38121199340697
282,20140403,23,PM2.5,34.0
288,20140404,0,PCA,-12.55496977569211
288,20140404,0,PM2.5,47.0
294,20140404,1,PCA,-20.27307242253789
294,20140404,1,PM2.5,42.0
300,20140404,2,PCA,-33.344898547888576
300,20140404,2,PM2.5,31.0
306,20140404,3,PCA,-29.90681553104321
306,20140404,3,PM2.5,31.0
312,20140404,4,PCA,-26.738981675603476
312,20140404,4,PM2.5,35.0
318,20140404,5,PCA,-16.053866374438474
318,20140404,5,PM2.5,42.0
324,20140404,6,PCA,-17.43618212886824
324,20140404,6,PM2.5,38.0
330,20140404,7,PCA,-12.91138779722845
330,20140404,7,PM2.5,40.0
336,20140404,8,PCA,-0.716006569434637
336,20140404,8,PM2.5,52.0
342,20140404,9,PCA,7.259144596333572
342,20140404,9,PM2.5,62.0
348,20140404,10,PCA,3.367865122471069
348,20140404,10,PM2.5,57.0
354,20140404,11,PCA,-8.153874190818964
354,20140404,11,PM2.5,37.0
360,20140404,12,PCA,-22.428846124797175
360,20140404,12,PM2.5,17.0
366,20140404,13,PCA,-22.37721249343548
366,20140404,13,PM2.5,39.0
372,20140404,14,PCA,-44.2845552512681
372,20140404,14,PM2.5,25.0
378,20140404,15,PCA,-43.9766990716654
378,20140404,15,PM2.5,25.0
384,20140404,16,PCA,-46.67637897016912
384,20140404,16,PM2.5,19.0
390,20140404,17,PCA,-48.19182129526268
390,20140404,17,PM2.5,16.0
396,20140404,18,PCA,-45.68439529332775
396,20140404,18,PM2.5,17.0
402,20140404,19,PCA,-42.50259859493365
402,20140404,19,PM2.5,18.0
408,20140404,20,PCA,-42.79540441390635
408,20140404,20,PM2.5,13.0
414,20140404,21,PCA,-34.83123680529469
414,20140404,21,PM2.5,18.0
420,20140404,22,PCA,-26.197528127710143
420,20140404,22,PM2.5,23.0
