,date,hour,type,官园
72,20140402,12,PCA,19.23742217779135
72,20140402,12,PM2.5,70.0
78,20140402,13,PCA,9.302896159945123
78,20140402,13,PM2.5,64.0
84,20140402,14,PCA,10.789883512616923
84,20140402,14,PM2.5,72.0
90,20140402,15,PCA,37.21051404496674
90,20140402,15,PM2.5,108.0
96,20140402,16,PCA,40.119688069099766
96,20140402,16,PM2.5,111.0
102,20140402,17,PCA,53.580704391946476
102,20140402,17,PM2.5,120.0
108,20140402,18,PCA,73.06511884756554
108,20140402,18,PM2.5,136.0
114,20140402,19,PCA,66.49671556678713
114,20140402,19,PM2.5,122.0
120,20140402,20,PCA,62.054935111753764
120,20140402,20,PM2.5,109.0
126,20140402,21,PCA,53.655039873928494
126,20140402,21,PM2.5,96.0
132,20140402,22,PCA,44.75555150601356
132,20140402,22,PM2.5,80.0
138,20140402,23,PCA,38.03259327245793
138,20140402,23,PM2.5,69.0
144,20140403,0,PCA,25.755838489250838
144,20140403,0,PM2.5,55.0
150,20140403,1,PCA,23.400271749201035
150,20140403,1,PM2.5,54.0
156,20140403,2,PCA,19.906933343834112
156,20140403,2,PM2.5,49.0
162,20140403,3,PCA,25.738224205827816
162,20140403,3,PM2.5,54.0
168,20140403,4,PCA,24.852854605266153
168,20140403,4,PM2.5,51.0
174,20140403,5,PCA,8.356309932818855
174,20140403,5,PM2.5,34.0
180,20140403,6,PCA,-5.821647671205809
180,20140403,6,PM2.5,29.0
186,20140403,7,PCA,-26.597456425047678
186,20140403,7,PM2.5,6.0
192,20140403,8,PCA,-30.87421259918039
192,20140403,8,PM2.5,9.0
198,20140403,9,PCA,-36.02901881562664
198,20140403,9,PM2.5,12.0
204,20140403,10,PCA,-42.58696348057108
204,20140403,10,PM2.5,14.0
210,20140403,11,PCA,-45.92868018770408
210,20140403,11,PM2.5,15.0
216,20140403,12,PCA,-51.082655847337264
216,20140403,12,PM2.5,13.0
222,20140403,13,PCA,-52.97340951313656
222,20140403,13,PM2.5,14.0
228,20140403,14,PCA,-52.782384282368
228,20140403,14,PM2.5,18.0
234,20140403,15,PCA,-64.38887885903065
234,20140403,15,PM2.5,7.0
240,20140403,16,PCA,-59.42180129592753
240,20140403,16,PM2.5,16.0
246,20140403,17,PCA,-68.13384308649368
246,20140403,17,PM2.5,7.0
252,20140403,18,PCA,-63.2052863802922
252,20140403,18,PM2.5,13.0
258,20140403,19,PCA,-59.27371454161342
258,20140403,19,PM2.5,15.0
264,20140403,20,PCA,-57.27859767226883
264,20140403,20,PM2.5,17.0
270,20140403,21,PCA,-56.292365479879514
270,20140403,21,PM2.5,14.0
276,20140403,22,PCA,-48.76450186792713
276,20140403,22,PM2.5,17.0
282,20140403,23,PCA,-33.88958490653294
282,20140403,23,PM2.5,31.0
288,20140404,0,PCA,-27.807136069862818
288,20140404,0,PM2.5,50.0
294,20140404,1,PCA,-40.663143029620805
294,20140404,1,PM2.5,36.0
300,20140404,2,PCA,-47.47223200844396
300,20140404,2,PM2.5,31.0
306,20140404,3,PCA,-42.44458636723486
306,20140404,3,PM2.5,35.0
312,20140404,4,PCA,-40.38401760637276
312,20140404,4,PM2.5,33.0
318,20140404,5,PCA,-30.80848245715153
318,20140404,5,PM2.5,43.0
324,20140404,6,PCA,-30.15837159926991
324,20140404,6,PM2.5,41.0
330,20140404,7,PCA,-26.3752574681989
330,20140404,7,PM2.5,40.0
336,20140404,8,PCA,-25.398559138207453
336,20140404,8,PM2.5,40.0
342,20140404,9,PCA,-10.868999959954131
342,20140404,9,PM2.5,56.0
348,20140404,10,PCA,-3.4335294384596313
348,20140404,10,PM2.5,62.0
354,20140404,11,PCA,-0.9548315905688657
354,20140404,11,PM2.5,65.0
360,20140404,12,PCA,-26.871338208475297
360,20140404,12,PM2.5,36.0
366,20140404,13,PCA,-33.187230017282424
366,20140404,13,PM2.5,32.0
372,20140404,14,PCA,-35.662646771395956
372,20140404,14,PM2.5,36.0
378,20140404,15,PCA,-46.57160405072512
378,20140404,15,PM2.5,35.0
384,20140404,16,PCA,-57.706271921739614
384,20140404,16,PM2.5,17.0
390,20140404,17,PCA,-53.948104543832876
