,date,hour,type,定陵
78,20140402,13,PCA,-8.635158487733888
78,20140402,13,PM2.5,30.0
84,20140402,14,PCA,7.5952622827775205
84,20140402,14,PM2.5,59.0
90,20140402,15,PCA,5.307595975899912
90,20140402,15,PM2.5,58.0
96,20140402,16,PCA,-2.117990736035399
96,20140402,16,PM2.5,49.0
102,20140402,17,PCA,12.540138455751677
102,20140402,17,PM2.5,68.0
108,20140402,18,PCA,50.30122866531639
108,20140402,18,PM2.5,118.0
114,20140402,19,PCA,69.57942365911074
114,20140402,19,PM2.5,141.0
120,20140402,20,PCA,67.0267264753359
120,20140402,20,PM2.5,135.0
126,20140402,21,PCA,65.20194568820062
126,20140402,21,PM2.5,129.0
132,20140402,22,PCA,66.17098219346191
132,20140402,22,PM2.5,128.0
138,20140402,23,PCA,71.70652072108028
138,20140402,23,PM2.5,130.0
144,20140403,0,PCA,79.07787127112886
144,20140403,0,PM2.5,135.0
150,20140403,1,PCA,71.06708104505987
150,20140403,1,PM2.5,119.0
156,20140403,2,PCA,58.7734668660598
156,20140403,2,PM2.5,98.0
162,20140403,3,PCA,-9.233840525906365
162,20140403,3,PM2.5,9.0
168,20140403,4,PCA,-16.174995865553697
168,20140403,4,PM2.5,3.0
174,20140403,5,PCA,-19.079870946008718
174,20140403,5,PM2.5,3.0
180,20140403,6,PCA,-22.705871917000064
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-25.618719745433282
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-25.664851961687436
192,20140403,8,PM2.5,5.0
198,20140403,9,PCA,-25.15315325112501
198,20140403,9,PM2.5,7.0
204,20140403,10,PCA,-25.86781303401316
204,20140403,10,PM2.5,6.0
210,20140403,11,PCA,-27.161646876179642
210,20140403,11,PM2.5,3.0
216,20140403,12,PCA,-29.662927860675477
216,20140403,12,PM2.5,8.0
222,20140403,13,PCA,-31.772630280368627
222,20140403,13,PM2.5,6.0
228,20140403,14,PCA,-28.545322778738278
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-25.971560505066876
234,20140403,15,PM2.5,17.0
240,20140403,16,PCA,-31.33540805234828
240,20140403,16,PM2.5,10.0
246,20140403,17,PCA,-35.48658343224708
246,20140403,17,PM2.5,7.0
252,20140403,18,PCA,-39.77292013730062
252,20140403,18,PM2.5,6.0
258,20140403,19,PCA,-42.13224929053847
258,20140403,19,PM2.5,9.0
264,20140403,20,PCA,-46.9773885365606
264,20140403,20,PM2.5,6.0
270,20140403,21,PCA,-48.93499149966198
270,20140403,21,PM2.5,7.0
276,20140403,22,PCA,-47.71101448490361
276,20140403,22,PM2.5,5.0
282,20140403,23,PCA,-42.92188952273427
282,20140403,23,PM2.5,19.0
288,20140404,0,PCA,-50.69777831788799
288,20140404,0,PM2.5,15.0
294,20140404,1,PCA,-50.843812332928835
294,20140404,1,PM2.5,20.0
300,20140404,2,PCA,-35.31592508956998
300,20140404,2,PM2.5,34.0
306,20140404,3,PCA,-27.905015757970038
306,20140404,3,PM2.5,40.0
312,20140404,4,PCA,-29.538945649281153
312,20140404,4,PM2.5,36.0
318,20140404,5,PCA,-31.932807683121524
318,20140404,5,PM2.5,31.0
324,20140404,6,PCA,-31.164042936001024
324,20140404,6,PM2.5,30.0
330,20140404,7,PCA,-27.26962820234066
330,20140404,7,PM2.5,33.0
336,20140404,8,PCA,-16.205740187286484
336,20140404,8,PM2.5,46.0
342,20140404,9,PCA,-15.023804666927777
342,20140404,9,PM2.5,44.0
348,20140404,10,PCA,-9.599596675488781
348,20140404,10,PM2.5,50.0
354,20140404,11,PCA,-10.046403605678824
354,20140404,11,PM2.5,46.0
360,20140404,12,PCA,-25.63615951473849
360,20140404,12,PM2.5,31.0
366,20140404,13,PCA,-24.97063510947975
366,20140404,13,PM2.5,34.0
372,20140404,14,PCA,-29.545776103647455
372,20140404,14,PM2.5,26.0
378,20140404,15,PCA,-32.12632888342211
378,20140404,15,PM2.5,21.0
384,20140404,16,PCA,-34.747624699816214
384,20140404,16,PM2.5,16.0
390,20140404,17,PCA,-37.240225298703756
390,20140404,17,PM2.5,10.0
396,20140404,18,PCA,-33.74227074830883
396,20140404,18,PM2.5,13.0
402,20140404,19,PCA,-32.286437955029704
402,20140404,19,PM2.5,13.0
408,20140404,20,PCA,-30.844186173957063
408,20140404,20,PM2.5,13.0
414,20140404,21,PCA,-33.404367435421975
414,20140404,21,PM2.5,8.0
420,20140404,22,PCA,-33.33010158060282
420,20140404,22,PM2.5,8.0
426,20140404,23,PCA,-33.2961490500866
426,20140404,23,PM2.5,8.0
432,20140405,0,PCA,-33.27577753177687
432,20140405,0,PM2.5,8.0
438,20140405,1,PCA,-33.322986676044515
438,20140405,1,PM2.5,9.0
444,20140405,2,PCA,-37.426523199359124
444,20140405,2,PM2.5,5.0
450,20140405,3,PCA,-38.27601990894695
450,20140405,3,PM2.5,7.0
456,20140405,4,PCA,-39.630319509132484
456,20140405,4,PM2.5,6.0
462,20140405,5,PCA,-40.889552023872604
462,20140405,5,PM2.5,5.0
468,20140405,6,PCA,-39.13909763074126
468,20140405,6,PM2.5,9.0
474,20140405,7,PCA,-39.77280636656849
474,20140405,7,PM2.5,9.0
480,20140405,8,PCA,-38.70866590882417
480,20140405,8,PM2.5,13.0
486,20140405,9,PCA,-43.254366268575055
486,20140405,9,PM2.5,8.0
492,20140405,10,PCA,-45.859372750442304
492,20140405,10,PM2.5,6.0
498,20140405,11,PCA,-49.14788111272789
498,20140405,11,PM2.5,5.0
504,20140405,12,PCA,-47.92195233159384
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-48.512428793074825
510,20140405,13,PM2.5,9.0
516,20140405,14,PCA,-45.73364592166747
516,20140405,14,PM2.5,14.0
522,20140405,15,PCA,-46.667012628359515
522,20140405,15,PM2.5,14.0
528,20140405,16,PCA,-50.71018870751655
528,20140405,16,PM2.5,9.0
534,20140405,17,PCA,-48.170484278222844
534,20140405,17,PM2.5,15.0
540,20140405,18,PCA,-55.02368743698306
540,20140405,18,PM2.5,8.0
546,20140405,19,PCA,-54.67355796521675
546,20140405,19,PM2.5,13.0
552,20140405,20,PCA,-40.82517836312975
552,20140405,20,PM2.5,26.0
558,20140405,21,PCA,-26.784177365618284
558,20140405,21,PM2.5,41.0
564,20140405,22,PCA,-31.093183639100804
564,20140405,22,PM2.5,35.0
570,20140405,23,PCA,-34.4166461374348
570,20140405,23,PM2.5,30.0
576,20140406,0,PCA,-36.31164806264562
576,20140406,0,PM2.5,25.0
582,20140406,1,PCA,-47.252756527934324
582,20140406,1,PM2.5,15.0
588,20140406,2,PCA,-50.55196338744073
588,20140406,2,PM2.5,8.0
594,20140406,3,PCA,-46.669392957818495
594,20140406,3,PM2.5,12.0
600,20140406,4,PCA,-41.57749945515348
600,20140406,4,PM2.5,21.0
606,20140406,5,PCA,-35.34863052579375
606,20140406,5,PM2.5,28.0
612,20140406,6,PCA,-33.61545818387085
612,20140406,6,PM2.5,27.0
618,20140406,7,PCA,-34.64928803130049
618,20140406,7,PM2.5,26.0
624,20140406,8,PCA,-35.26920512719828
624,20140406,8,PM2.5,24.0
630,20140406,9,PCA,-30.016817300557484
630,20140406,9,PM2.5,28.0
636,20140406,10,PCA,-37.47582191118719
636,20140406,10,PM2.5,24.0
642,20140406,11,PCA,-39.898337039463875
642,20140406,11,PM2.5,20.5
648,20140406,12,PCA,-41.59293577110099
648,20140406,12,PM2.5,17.0
654,20140406,13,PCA,-29.90263985556494
654,20140406,13,PM2.5,31.0
660,20140406,14,PCA,-32.12336216429737
660,20140406,14,PM2.5,28.0
666,20140406,15,PCA,-28.6389711991867
666,20140406,15,PM2.5,34.0
672,20140406,16,PCA,-30.252187314830813
672,20140406,16,PM2.5,32.0
678,20140406,17,PCA,-22.078742400262733
678,20140406,17,PM2.5,41.0
684,20140408,10,PCA,164.3451317336784
684,20140408,10,PM2.5,188.0
690,20140408,11,PCA,175.39683203810395
690,20140408,11,PM2.5,197.0
696,20140408,12,PCA,194.2758748040015
696,20140408,12,PM2.5,217.0
702,20140408,13,PCA,199.77757627187373
702,20140408,13,PM2.5,224.0
708,20140408,14,PCA,221.24458566874628
708,20140408,14,PM2.5,242.0
714,20140408,15,PCA,245.17799193491052
714,20140408,15,PM2.5,260.0
720,20140408,16,PCA,218.45735753950996
720,20140408,16,PM2.5,222.0
726,20140408,17,PCA,199.48325017027705
726,20140408,17,PM2.5,200.0
732,20140408,18,PCA,200.5549644613971
732,20140408,18,PM2.5,197.0
738,20140408,19,PCA,204.9345387943242
738,20140408,19,PM2.5,197.0
744,20140408,20,PCA,194.30386577882763
744,20140408,20,PM2.5,181.0
750,20140408,21,PCA,189.1794137644775
750,20140408,21,PM2.5,173.0
756,20140408,22,PCA,187.67170929306164
756,20140408,22,PM2.5,169.0
762,20140408,23,PCA,194.9025077571076
762,20140408,23,PM2.5,177.0
768,20140409,0,PCA,196.25184101431748
768,20140409,0,PM2.5,177.0
774,20140409,1,PCA,200.17115817052238
774,20140409,1,PM2.5,181.0
780,20140409,2,PCA,204.1006144951904
780,20140409,2,PM2.5,186.0
786,20140409,3,PCA,191.79600330430742
786,20140409,3,PM2.5,165.0
792,20140409,4,PCA,201.04209803198918
792,20140409,4,PM2.5,178.0
798,20140409,5,PCA,201.1098909035027
798,20140409,5,PM2.5,176.0
804,20140409,6,PCA,208.87200706686235
804,20140409,6,PM2.5,186.0
810,20140409,7,PCA,210.69724491406865
810,20140409,7,PM2.5,186.0
816,20140409,8,PCA,216.0275575106724
816,20140409,8,PM2.5,192.0
822,20140409,9,PCA,220.56072668838544
822,20140409,9,PM2.5,197.0
828,20140409,10,PCA,221.62057969388692
