,date,hour,type,密云
72,20140402,12,PCA,23.35295231377501
72,20140402,12,PM2.5,69.0
78,20140402,13,PCA,24.219135902537072
78,20140402,13,PM2.5,69.0
84,20140402,14,PCA,18.5967540574395
84,20140402,14,PM2.5,58.0
90,20140402,15,PCA,12.841361518173914
90,20140402,15,PM2.5,48.0
96,20140402,16,PCA,2.672006577018443
96,20140402,16,PM2.5,32.0
102,20140402,17,PCA,20.462154851580284
102,20140402,17,PM2.5,55.0
108,20140402,18,PCA,104.06841299129822
108,20140402,18,PM2.5,168.0
114,20140402,19,PCA,85.71635513083979
114,20140402,19,PM2.5,135.0
120,20140402,20,PCA,64.66950702052465
120,20140402,20,PM2.5,102.0
126,20140402,21,PCA,39.96399569309946
126,20140402,21,PM2.5,69.0
132,20140402,22,PCA,52.15500918195758
132,20140402,22,PM2.5,85.0
138,20140402,23,PCA,-7.858114342797564
138,20140402,23,PM2.5,3.0
144,20140403,0,PCA,-12.120328069323314
144,20140403,0,PM2.5,4.0
150,20140403,1,PCA,-12.102565103104338
150,20140403,1,PM2.5,7.0
156,20140403,2,PCA,-3.1718416072043474
156,20140403,2,PM2.5,27.0
162,20140403,3,PCA,-27.674201496982086
162,20140403,3,PM2.5,3.0
168,20140403,4,PCA,-30.617928815475892
168,20140403,4,PM2.5,3.0
174,20140403,5,PCA,-33.53226183055956
174,20140403,5,PM2.5,3.0
180,20140403,6,PCA,-36.27435122448871
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-38.2793489452253
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-39.99560868784073
192,20140403,8,PM2.5,3.0
198,20140403,9,PCA,-41.434381107160576
198,20140403,9,PM2.5,3.0
204,20140403,10,PCA,-44.03771166664193
204,20140403,10,PM2.5,3.0
210,20140403,11,PCA,-41.63591032882042
210,20140403,11,PM2.5,3.0
216,20140403,12,PCA,-37.27910795789997
216,20140403,12,PM2.5,3.0
222,20140403,13,PCA,-36.551574500679415
222,20140403,13,PM2.5,3.0
228,20140403,14,PCA,-36.54317612827652
228,20140403,14,PM2.5,3.0
234,20140403,15,PCA,-36.538976942075095
234,20140403,15,PM2.5,3.0
240,20140403,16,PCA,-36.530578569672194
240,20140403,16,PM2.5,3.0
246,20140403,17,PCA,-37.98984467031474
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-42.04835084714204
252,20140403,18,PM2.5,3.0
258,20140403,19,PCA,-43.96701481111154
258,20140403,19,PM2.5,3.0
264,20140403,20,PCA,-45.4900350015652
264,20140403,20,PM2.5,3.0
270,20140403,21,PCA,-42.220690306787276
270,20140403,21,PM2.5,6.0
276,20140403,22,PCA,-34.21403538359293
276,20140403,22,PM2.5,16.0
282,20140403,23,PCA,-27.418574194144366
282,20140403,23,PM2.5,23.0
288,20140404,0,PCA,-33.92293414289921
288,20140404,0,PM2.5,17.0
294,20140404,1,PCA,-9.5855599569212
294,20140404,1,PM2.5,51.0
300,20140404,2,PCA,-21.63649492248768
300,20140404,2,PM2.5,35.0
306,20140404,3,PCA,-16.328257956768546
306,20140404,3,PM2.5,42.0
312,20140404,4,PCA,-20.24908552094462
312,20140404,4,PM2.5,35.0
318,20140404,5,PCA,-10.99813964304329
318,20140404,5,PM2.5,44.0
324,20140404,6,PCA,-6.98395222303115
324,20140404,6,PM2.5,45.0
330,20140404,7,PCA,-4.832014701253526
330,20140404,7,PM2.5,45.0
336,20140404,8,PCA,0.07961756701513087
336,20140404,8,PM2.5,53.0
342,20140404,9,PCA,-0.5386447065624606
342,20140404,9,PM2.5,52.0
348,20140404,10,PCA,-3.675473389921284
348,20140404,10,PM2.5,47.0
354,20140404,11,PCA,-6.119123104981983
354,20140404,11,PM2.5,46.0
360,20140404,12,PCA,-13.950613825325863
360,20140404,12,PM2.5,41.0
366,20140404,13,PCA,-26.31286333770653
366,20140404,13,PM2.5,24.5
372,20140404,14,PCA,-39.044608149395266
372,20140404,14,PM2.5,8.0
378,20140404,15,PCA,-43.55576585236863
378,20140404,15,PM2.5,3.0
384,20140404,16,PCA,-31.8775992302475
384,20140404,16,PM2.5,19.0
390,20140404,17,PCA,-29.559064086636475
390,20140404,17,PM2.5,21.0
396,20140404,18,PCA,-20.42492404359947
396,20140404,18,PM2.5,31.0
402,20140404,19,PCA,-35.305721146567954
402,20140404,19,PM2.5,7.0
408,20140404,20,PCA,-36.36173961800545
408,20140404,20,PM2.5,5.0
414,20140404,21,PCA,-36.605805156389
414,20140404,21,PM2.5,4.0
420,20140404,22,PCA,-28.513640477533144
420,20140404,22,PM2.5,17.0
426,20140404,23,PCA,-32.01830236694642
426,20140404,23,PM2.5,12.0
432,20140405,0,PCA,-38.04001962459818
432,20140405,0,PM2.5,5.0
438,20140405,1,PCA,-29.709622466889577
438,20140405,1,PM2.5,21.0
444,20140405,2,PCA,-41.72757489543381
444,20140405,2,PM2.5,5.0
450,20140405,3,PCA,-35.58299445419731
450,20140405,3,PM2.5,16.0
456,20140405,4,PCA,-44.48725555088239
456,20140405,4,PM2.5,3.0
462,20140405,5,PCA,-31.436201424787846
462,20140405,5,PM2.5,25.0
468,20140405,6,PCA,-44.67062169759733
468,20140405,6,PM2.5,3.0
474,20140405,7,PCA,-43.74905417150136
474,20140405,7,PM2.5,5.0
480,20140405,8,PCA,-47.61709259560898
480,20140405,8,PM2.5,3.0
486,20140405,9,PCA,-49.10575299966168
486,20140405,9,PM2.5,3.0
492,20140405,10,PCA,-48.706240584929375
492,20140405,10,PM2.5,4.0
498,20140405,11,PCA,-50.68336261073416
498,20140405,11,PM2.5,3.0
504,20140405,12,PCA,-50.65303030583509
504,20140405,12,PM2.5,4.0
510,20140405,13,PCA,-47.09171593261543
510,20140405,13,PM2.5,11.0
516,20140405,14,PCA,-53.39109221826233
516,20140405,14,PM2.5,3.0
522,20140405,15,PCA,-52.383980154634344
522,20140405,15,PM2.5,7.0
528,20140405,16,PCA,-53.975125325800114
528,20140405,16,PM2.5,6.0
534,20140405,17,PCA,-56.79373807284424
534,20140405,17,PM2.5,5.0
540,20140405,18,PCA,-61.44612127826424
540,20140405,18,PM2.5,3.0
546,20140405,19,PCA,-56.60065206348937
546,20140405,19,PM2.5,11.0
552,20140405,20,PCA,-43.14016727731362
552,20140405,20,PM2.5,28.0
558,20140405,21,PCA,-33.95369673061898
558,20140405,21,PM2.5,34.0
564,20140405,22,PCA,-11.977512403790268
564,20140405,22,PM2.5,52.0
570,20140405,23,PCA,-19.0922741464828
570,20140405,23,PM2.5,41.0
576,20140406,0,PCA,-19.727061185405407
576,20140406,0,PM2.5,37.0
582,20140406,1,PCA,-21.167126235469038
582,20140406,1,PM2.5,37.0
588,20140406,2,PCA,-23.181386409063126
588,20140406,2,PM2.5,37.0
594,20140406,3,PCA,-34.01773832690617
594,20140406,3,PM2.5,23.0
600,20140406,4,PCA,-31.698408666581493
600,20140406,4,PM2.5,27.0
606,20140406,5,PCA,-37.85961414792423
606,20140406,5,PM2.5,17.0
612,20140406,6,PCA,-37.33950809936478
612,20140406,6,PM2.5,20.0
618,20140406,7,PCA,-36.80955686528273
618,20140406,7,PM2.5,21.0
624,20140406,8,PCA,-34.515422322166735
624,20140406,8,PM2.5,25.0
630,20140406,9,PCA,-40.51635892894517
630,20140406,9,PM2.5,16.0
636,20140406,10,PCA,-33.68220941100069
636,20140406,10,PM2.5,26.0
642,20140406,11,PCA,-38.1914876473129
642,20140406,11,PM2.5,20.5
648,20140406,12,PCA,-42.700765883625095
648,20140406,12,PM2.5,15.0
654,20140406,13,PCA,-34.57517285791097
654,20140406,13,PM2.5,24.0
660,20140406,14,PCA,-28.958529460481888
660,20140406,14,PM2.5,31.0
666,20140406,15,PCA,-34.857460627386075
666,20140406,15,PM2.5,21.0
672,20140406,16,PCA,-29.99590340405995
672,20140406,16,PM2.5,29.0
678,20140406,17,PCA,-28.60752121915747
678,20140406,17,PM2.5,29.0
684,20140408,10,PCA,126.01790796996998
684,20140408,10,PM2.5,143.0
690,20140408,11,PCA,137.16440169424195
690,20140408,11,PM2.5,154.0
696,20140408,12,PCA,149.61145345809518
696,20140408,12,PM2.5,166.0
702,20140408,13,PCA,150.25840029383906
702,20140408,13,PM2.5,165.0
708,20140408,14,PCA,141.91806423779283
708,20140408,14,PM2.5,152.0
714,20140408,15,PCA,149.29217658256292
714,20140408,15,PM2.5,158.0
720,20140408,16,PCA,145.27625241254765
720,20140408,16,PM2.5,150.0
726,20140408,17,PCA,154.2335693801446
726,20140408,17,PM2.5,159.0
732,20140408,18,PCA,157.53658055246973
732,20140408,18,PM2.5,159.5
738,20140408,19,PCA,160.10785908137288
738,20140408,19,PM2.5,160.0
744,20140408,20,PCA,145.54773230901165
744,20140408,20,PM2.5,140.0
750,20140408,21,PCA,148.57021774850756
750,20140408,21,PM2.5,144.0
756,20140408,22,PCA,143.7470412311381
756,20140408,22,PM2.5,138.0
762,20140408,23,PCA,137.3982792104429
762,20140408,23,PM2.5,130.0
768,20140409,0,PCA,131.90651318687318
768,20140409,0,PM2.5,124.0
774,20140409,1,PCA,136.76780636309442
774,20140409,1,PM2.5,132.0
780,20140409,2,PCA,130.75774866255804
780,20140409,2,PM2.5,124.0
786,20140409,3,PCA,142.95473970071163
