,date,hour,type,密云水库
72,20140402,12,PCA,17.141800252611667
72,20140402,12,PM2.5,44.0
78,20140402,13,PCA,21.508662892952962
78,20140402,13,PM2.5,51.0
84,20140402,14,PCA,8.01722743183279
84,20140402,14,PM2.5,31.0
90,20140402,15,PCA,2.416343683371691
90,20140402,15,PM2.5,23.0
96,20140402,16,PCA,17.15959306242374
96,20140402,16,PM2.5,45.0
102,20140402,17,PCA,12.487210188568636
102,20140402,17,PM2.5,40.0
108,20140402,18,PCA,37.623008858438425
108,20140402,18,PM2.5,76.0
114,20140402,19,PCA,84.77434016670438
114,20140402,19,PM2.5,148.0
120,20140402,20,PCA,69.79664120881476
120,20140402,20,PM2.5,122.0
126,20140402,21,PCA,52.553814181031555
126,20140402,21,PM2.5,96.0
132,20140402,22,PCA,44.39326165608522
132,20140402,22,PM2.5,85.0
138,20140402,23,PCA,46.91266580683971
138,20140402,23,PM2.5,92.0
144,20140403,0,PCA,39.317384342427076
144,20140403,0,PM2.5,82.0
150,20140403,1,PCA,34.623550599417
150,20140403,1,PM2.5,74.0
156,20140403,2,PCA,-3.4706939924632763
156,20140403,2,PM2.5,14.0
162,20140403,3,PCA,-5.7504796290621485
162,20140403,3,PM2.5,12.0
168,20140403,4,PCA,-11.983219658870127
168,20140403,4,PM2.5,5.0
174,20140403,5,PCA,-15.180344285556275
174,20140403,5,PM2.5,3.0
180,20140403,6,PCA,-18.38370196750905
180,20140403,6,PM2.5,4.0
186,20140403,7,PCA,-22.519056206254437
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-25.863819566358007
192,20140403,8,PM2.5,3.0
198,20140403,9,PCA,-21.500518628843434
198,20140403,9,PM2.5,12.0
204,20140403,10,PCA,-28.70554987577571
204,20140403,10,PM2.5,4.0
210,20140403,11,PCA,-23.601863815001966
210,20140403,11,PM2.5,11.0
216,20140403,12,PCA,-28.0848927321369
216,20140403,12,PM2.5,3.0
222,20140403,13,PCA,-27.31519247546705
222,20140403,13,PM2.5,5.0
228,20140403,14,PCA,-21.06779487895374
228,20140403,14,PM2.5,14.0
234,20140403,15,PCA,-28.4659241430317
234,20140403,15,PM2.5,3.0
240,20140403,16,PCA,-28.4659241430317
240,20140403,16,PM2.5,3.0
246,20140403,17,PCA,-29.241857454968184
246,20140403,17,PM2.5,4.0
252,20140403,18,PCA,-33.37721169371357
252,20140403,18,PM2.5,3.0
258,20140403,19,PCA,-37.53345655443095
258,20140403,19,PM2.5,3.0
264,20140403,20,PCA,-40.40879197459277
264,20140403,20,PM2.5,4.0
270,20140403,21,PCA,-39.98378786358198
270,20140403,21,PM2.5,10.0
276,20140403,22,PCA,-42.3818971001876
276,20140403,22,PM2.5,14.0
282,20140403,23,PCA,-48.90289446500536
282,20140403,23,PM2.5,11.0
288,20140404,0,PCA,-55.822336414765154
288,20140404,0,PM2.5,10.0
294,20140404,1,PCA,-41.96802200697661
294,20140404,1,PM2.5,30.0
300,20140404,2,PCA,-35.55453094176385
300,20140404,2,PM2.5,32.0
306,20140404,3,PCA,-29.896082566515616
306,20140404,3,PM2.5,34.0
312,20140404,4,PCA,-25.54816025162362
312,20140404,4,PM2.5,37.0
318,20140404,5,PCA,-20.708914433653057
318,20140404,5,PM2.5,41.0
324,20140404,6,PCA,-22.733792249159002
324,20140404,6,PM2.5,36.0
330,20140404,7,PCA,-22.416514199176145
330,20140404,7,PM2.5,35.0
336,20140404,8,PCA,-19.89091599252499
336,20140404,8,PM2.5,35.0
342,20140404,9,PCA,-16.38543897115305
342,20140404,9,PM2.5,34.0
348,20140404,10,PCA,-14.762343928643062
348,20140404,10,PM2.5,32.0
354,20140404,11,PCA,-11.319140903159228
354,20140404,11,PM2.5,35.0
360,20140404,12,PCA,-11.931254078171362
360,20140404,12,PM2.5,32.0
366,20140404,13,PCA,-15.782133863942772
366,20140404,13,PM2.5,21.0
372,20140404,14,PCA,-18.170309082583135
372,20140404,14,PM2.5,12.0
378,20140404,15,PCA,-17.144155619155317
378,20140404,15,PM2.5,15.0
384,20140404,16,PCA,-18.20368736395182
384,20140404,16,PM2.5,11.0
390,20140404,17,PCA,-15.923901727352945
390,20140404,17,PM2.5,13.0
396,20140404,18,PCA,-13.694321846136718
396,20140404,18,PM2.5,12.0
402,20140404,19,PCA,-14.054462635059544
402,20140404,19,PM2.5,11.0
408,20140404,20,PCA,-14.450151612659676
408,20140404,20,PM2.5,9.0
414,20140404,21,PCA,-14.146449634386128
414,20140404,21,PM2.5,10.0
420,20140404,22,PCA,-17.019768737385206
420,20140404,22,PM2.5,5.0
426,20140404,23,PCA,-16.41236478083811
426,20140404,23,PM2.5,7.0
432,20140405,0,PCA,-17.831250237998994
432,20140405,0,PM2.5,5.0
438,20140405,1,PCA,-17.9077925940618
438,20140405,1,PM2.5,9.0
444,20140405,2,PCA,-20.20846885263265
444,20140405,2,PM2.5,8.0
450,20140405,3,PCA,-20.963511542597164
450,20140405,3,PM2.5,8.0
456,20140405,4,PCA,-21.090259654042608
456,20140405,4,PM2.5,9.0
462,20140405,5,PCA,-24.181526791255273
462,20140405,5,PM2.5,7.0
468,20140405,6,PCA,-25.56486405973885
468,20140405,6,PM2.5,6.0
474,20140405,7,PCA,-26.64449934994888
474,20140405,7,PM2.5,6.0
480,20140405,8,PCA,-27.52629015135884
480,20140405,8,PM2.5,7.0
486,20140405,9,PCA,-27.632147640832315
486,20140405,9,PM2.5,7.0
492,20140405,10,PCA,-29.283638698912128
492,20140405,10,PM2.5,6.0
498,20140405,11,PCA,-30.18008706702743
498,20140405,11,PM2.5,5.0
504,20140405,12,PCA,-27.595812375596562
504,20140405,12,PM2.5,11.0
510,20140405,13,PCA,-32.586620815071754
510,20140405,13,PM2.5,4.0
516,20140405,14,PCA,-32.728026493222536
516,20140405,14,PM2.5,3.0
522,20140405,15,PCA,-33.320772883064286
522,20140405,15,PM2.5,3.0
528,20140405,16,PCA,-32.444428060362526
528,20140405,16,PM2.5,8.0
534,20140405,17,PCA,-37.52643642260585
534,20140405,17,PM2.5,3.0
540,20140405,18,PCA,-39.99485496000766
540,20140405,18,PM2.5,8.0
546,20140405,19,PCA,-41.24169383072907
546,20140405,19,PM2.5,10.0
552,20140405,20,PCA,-46.872790281578254
552,20140405,20,PM2.5,5.0
558,20140405,21,PCA,-39.631555810692625
558,20140405,21,PM2.5,19.0
564,20140405,22,PCA,-37.64327734298723
564,20140405,22,PM2.5,24.0
570,20140405,23,PCA,-33.60865370253963
570,20140405,23,PM2.5,28.0
576,20140406,0,PCA,-44.841600806070055
576,20140406,0,PM2.5,13.0
582,20140406,1,PCA,-45.234398820444326
582,20140406,1,PM2.5,15.0
588,20140406,2,PCA,-43.193451840031
588,20140406,2,PM2.5,21.0
594,20140406,3,PCA,-48.672626798717694
594,20140406,3,PM2.5,16.0
600,20140406,4,PCA,-50.66126413708095
600,20140406,4,PM2.5,14.0
606,20140406,5,PCA,-53.197786713323495
606,20140406,5,PM2.5,12.0
612,20140406,6,PCA,-52.55105515302677
612,20140406,6,PM2.5,13.0
618,20140406,7,PCA,-47.71684865672725
618,20140406,7,PM2.5,21.0
624,20140406,8,PCA,-51.30342920574692
624,20140406,8,PM2.5,14.0
630,20140406,9,PCA,-46.072995033527704
630,20140406,9,PM2.5,20.0
636,20140406,10,PCA,-34.884427287150444
636,20140406,10,PM2.5,31.0
654,20140406,13,PCA,-36.5993628505278
654,20140406,13,PM2.5,18.0
660,20140406,14,PCA,-28.667608375369678
660,20140406,14,PM2.5,26.0
666,20140406,15,PCA,-28.573339230134902
666,20140406,15,PM2.5,24.0
672,20140406,16,PCA,-23.58636028253157
672,20140406,16,PM2.5,26.0
678,20140406,17,PCA,-18.59938133492823
678,20140406,17,PM2.5,28.0
684,20140408,10,PCA,110.75412104100464
684,20140408,10,PM2.5,129.0
690,20140408,11,PCA,131.76156230891013
690,20140408,11,PM2.5,149.0
696,20140408,12,PCA,153.6952961618799
696,20140408,12,PM2.5,169.0
702,20140408,13,PCA,125.51644853362768
702,20140408,13,PM2.5,114.0
708,20140408,14,PCA,150.1794076256374
708,20140408,14,PM2.5,144.0
714,20140408,15,PCA,152.23806946114033
714,20140408,15,PM2.5,145.0
720,20140408,16,PCA,162.81969714163952
720,20140408,16,PM2.5,154.0
726,20140408,17,PCA,163.74303274283682
726,20140408,17,PM2.5,151.0
732,20140408,18,PCA,171.23895542402832
732,20140408,18,PM2.5,157.0
738,20140408,19,PCA,184.04876335449921
738,20140408,19,PM2.5,172.0
744,20140408,20,PCA,176.0118236978905
744,20140408,20,PM2.5,161.0
750,20140408,21,PCA,161.48854338570865
750,20140408,21,PM2.5,143.0
756,20140408,22,PCA,158.79945514533918
756,20140408,22,PM2.5,142.0
762,20140408,23,PCA,165.8849868104475
762,20140408,23,PM2.5,153.0
768,20140409,0,PCA,162.88947605209398
768,20140409,0,PM2.5,148.0
774,20140409,1,PCA,143.85296216674934
774,20140409,1,PM2.5,123.0
780,20140409,2,PCA,160.64828202850043
780,20140409,2,PM2.5,151.0
786,20140409,3,PCA,160.73400720510855
786,20140409,3,PM2.5,153.0
792,20140409,4,PCA,160.14326991384118
792,20140409,4,PM2.5,153.0
798,20140409,5,PCA,157.44226147984637
798,20140409,5,PM2.5,148.0
804,20140409,6,PCA,154.722039850827
804,20140409,6,PM2.5,146.0
810,20140409,7,PCA,155.63018880178058
810,20140409,7,PM2.5,146.0
816,20140409,8,PCA,156.354458542174
816,20140409,8,PM2.5,145.0
822,20140409,9,PCA,159.01768111336105
822,20140409,9,PM2.5,143.0
828,20140409,10,PCA,167.148926551257
828,20140409,10,PM2.5,148.0
834,20140409,11,PCA,177.9324156505559
834,20140409,11,PM2.5,157.0
840,20140409,12,PCA,177.80024540172533
840,20140409,12,PM2.5,150.0
846,20140409,13,PCA,151.9648085267866
846,20140409,13,PM2.5,110.0
852,20140409,14,PCA,99.37883882645838
852,20140409,14,PM2.5,49.0
858,20140409,15,PCA,91.93719763270197
858,20140409,15,PM2.5,50.0
864,20140409,16,PCA,97.30359150436374
864,20140409,16,PM2.5,63.0
870,20140409,17,PCA,95.37560971475361
870,20140409,17,PM2.5,64.0
876,20140409,18,PCA,101.16656847585215
876,20140409,18,PM2.5,73.0
882,20140409,19,PCA,86.40925054472964
882,20140409,19,PM2.5,55.0
888,20140409,20,PCA,78.98942787779532
888,20140409,20,PM2.5,53.0
894,20140409,21,PCA,69.56327851427487
894,20140409,21,PM2.5,48.0
900,20140409,22,PCA,64.75162418480917
900,20140409,22,PM2.5,48.0
906,20140409,23,PCA,68.48859360218037
906,20140409,23,PM2.5,62.0
912,20140410,0,PCA,61.08676180698286
912,20140410,0,PM2.5,58.0
918,20140410,1,PCA,60.74484028759318
918,20140410,1,PM2.5,57.0
924,20140410,2,PCA,62.45669229822888
924,20140410,2,PM2.5,56.0
930,20140410,3,PCA,68.44335392923915
930,20140410,3,PM2.5,62.0
936,20140410,4,PCA,68.70512107342292
936,20140410,4,PM2.5,59.0
942,20140410,5,PCA,73.39144045806613
942,20140410,5,PM2.5,62.0
948,20140410,6,PCA,70.06115230707019
948,20140410,6,PM2.5,56.0
954,20140410,7,PCA,73.40934532871914
954,20140410,7,PM2.5,56.0
960,20140410,8,PCA,82.83466314390344
960,20140410,8,PM2.5,67.0
966,20140410,9,PCA,77.97992489628979
966,20140410,9,PM2.5,57.0
972,20140410,10,PCA,88.89814174673127
972,20140410,10,PM2.5,69.0
978,20140410,11,PCA,111.55467011744402
978,20140410,11,PM2.5,97.0
984,20140410,12,PCA,118.06038364773222
984,20140410,12,PM2.5,95.0
990,20140410,13,PCA,118.46386677058995
990,20140410,13,PM2.5,87.0
996,20140410,14,PCA,125.86414282469214
996,20140410,14,PM2.5,87.0
1002,20140410,15,PCA,114.83020434833372
1002,20140410,15,PM2.5,68.0
1008,20140410,16,PCA,110.91371726164279
1008,20140410,16,PM2.5,65.0
1014,20140410,17,PCA,100.82267240338176
1014,20140410,17,PM2.5,56.0
1020,20140410,18,PCA,88.89139603629087
1020,20140410,18,PM2.5,41.0
1026,20140410,19,PCA,92.41158433247011
1026,20140410,19,PM2.5,47.0
1032,20140410,20,PCA,95.93177262864936
1032,20140410,20,PM2.5,53.0
1038,20140410,21,PCA,99.08355430856373
1038,20140410,21,PM2.5,59.0
1044,20140410,22,PCA,96.95070789832849
1044,20140410,22,PM2.5,59.0
1050,20140410,23,PCA,93.35361328147775
1050,20140410,23,PM2.5,60.0
1056,20140411,0,PCA,94.69561574617987
1056,20140411,0,PM2.5,67.0
1062,20140411,1,PCA,89.62762044855579
1062,20140411,1,PM2.5,63.0
1068,20140411,2,PCA,79.85449888301282
1068,20140411,2,PM2.5,53.0
1074,20140411,3,PCA,74.47524120854963
1074,20140411,3,PM2.5,49.0
1080,20140411,4,PCA,73.28999602334964
1080,20140411,4,PM2.5,54.0
1086,20140411,5,PCA,71.70000464645356
1086,20140411,5,PM2.5,57.0
1092,20140411,6,PCA,71.15396832980784
1092,20140411,6,PM2.5,61.0
1098,20140411,7,PCA,66.37410632825492
1098,20140411,7,PM2.5,51.0
1104,20140411,8,PCA,54.226291956731544
1104,20140411,8,PM2.5,35.0
1110,20140411,9,PCA,52.42534390999513
1110,20140411,9,PM2.5,39.0
1116,20140411,10,PCA,44.62791792529053
1116,20140411,10,PM2.5,34.0
1122,20140411,11,PCA,35.41730084037214
1122,20140411,11,PM2.5,28.0
1128,20140411,12,PCA,24.55770324107852
1128,20140411,12,PM2.5,20.0
1134,20140411,13,PCA,20.91338862016407
1134,20140411,13,PM2.5,23.0
1140,20140411,14,PCA,15.145396079284621
1140,20140411,14,PM2.5,18.0
1146,20140411,15,PCA,24.39653893002678
1146,20140411,15,PM2.5,38.0
1152,20140411,16,PCA,22.48328072776321
1152,20140411,16,PM2.5,40.0
1158,20140411,17,PCA,16.65519288531361
1158,20140411,17,PM2.5,36.0
1164,20140411,18,PCA,14.78895662519017
1164,20140411,18,PM2.5,39.0
1170,20140411,19,PCA,18.422653904442985
1170,20140411,19,PM2.5,48.0
1572,20140414,14,PCA,199.62489013875836
1572,20140414,14,PM2.5,139.0
1578,20140414,15,PCA,244.23672084593255
1578,20140414,15,PM2.5,204.0
1584,20140414,16,PCA,256.36211919026147
1584,20140414,16,PM2.5,222.0
1590,20140414,17,PCA,243.54024552237965
1590,20140414,17,PM2.5,195.0
1596,20140414,18,PCA,247.57695324681183
1596,20140414,18,PM2.5,199.0
1602,20140414,19,PCA,257.64422928172917
1602,20140414,19,PM2.5,216.0
1608,20140414,20,PCA,265.3996869762398
1608,20140414,20,PM2.5,230.0
1614,20140414,21,PCA,283.65402552961217
1614,20140414,21,PM2.5,258.0
1620,20140414,22,PCA,279.311047748298
1620,20140414,22,PM2.5,250.0
1626,20140414,23,PCA,286.12390568025944
1626,20140414,23,PM2.5,260.0
1632,20140415,0,PCA,279.2535774576962
1632,20140415,0,PM2.5,254.0
1638,20140415,1,PCA,275.73038086574076
1638,20140415,1,PM2.5,247.0
1644,20140415,2,PCA,280.580607956813
1644,20140415,2,PM2.5,253.0
1650,20140415,3,PCA,279.1462118357472
1650,20140415,3,PM2.5,247.0
1656,20140415,4,PCA,276.09537140014845
1656,20140415,4,PM2.5,242.0
1818,20140416,7,PCA,-7.911722644252575
1818,20140416,7,PM2.5,35.0
1824,20140416,8,PCA,-9.34567232515594
1824,20140416,8,PM2.5,33.0
1830,20140416,9,PCA,-8.09594249120864
1830,20140416,9,PM2.5,35.0
1836,20140416,10,PCA,-5.253814010491281
1836,20140416,10,PM2.5,37.0
1842,20140416,11,PCA,-7.828898662788442
1842,20140416,11,PM2.5,31.0
1848,20140416,12,PCA,-14.80421527202766
1848,20140416,12,PM2.5,18.0
1854,20140416,13,PCA,-3.119414996002578
1854,20140416,13,PM2.5,35.0
1860,20140416,14,PCA,-9.176946174992024
1860,20140416,14,PM2.5,26.0
1866,20140416,15,PCA,-8.665422592226264
1866,20140416,15,PM2.5,31.0
1872,20140416,16,PCA,-15.358466543483459
1872,20140416,16,PM2.5,24.0
1878,20140416,17,PCA,-10.519351020614687
1878,20140416,17,PM2.5,37.0
1884,20140416,18,PCA,-13.198255296359108
1884,20140416,18,PM2.5,33.0
1890,20140416,19,PCA,-14.301804213049374
1890,20140416,19,PM2.5,32.0
1896,20140416,20,PCA,-4.485440618088823
1896,20140416,20,PM2.5,43.0
1902,20140416,21,PCA,-3.4182269666343092
1902,20140416,21,PM2.5,40.0
1908,20140416,22,PCA,-5.463303115646834
1908,20140416,22,PM2.5,38.0
1914,20140416,23,PCA,-1.1890609610436351
1914,20140416,23,PM2.5,47.0
1920,20140417,0,PCA,-9.235588349054181
1920,20140417,0,PM2.5,39.0
1926,20140417,1,PCA,-14.95205832444201
1926,20140417,1,PM2.5,35.0
1932,20140417,2,PCA,-7.507218987168024
1932,20140417,2,PM2.5,50.0
1938,20140417,3,PCA,-17.22901901845622
1938,20140417,3,PM2.5,38.0
1944,20140417,4,PCA,-18.73343880889001
1944,20140417,4,PM2.5,37.0
1950,20140417,5,PCA,-21.692358265803193
1950,20140417,5,PM2.5,34.0
1956,20140417,6,PCA,-12.056158588429097
1956,20140417,6,PM2.5,48.0
1962,20140417,7,PCA,-19.536458544875757
1962,20140417,7,PM2.5,39.0
1968,20140417,8,PCA,-21.079135129615022
1968,20140417,8,PM2.5,41.0
1974,20140417,9,PCA,-19.22230677323171
1974,20140417,9,PM2.5,40.0
1980,20140417,10,PCA,-1.8958554107354892
1980,20140417,10,PM2.5,61.0
1986,20140417,11,PCA,13.349884044566261
1986,20140417,11,PM2.5,72.0
1992,20140417,12,PCA,18.849635226344827
1992,20140417,12,PM2.5,70.0
1998,20140417,13,PCA,13.665735988312369
1998,20140417,13,PM2.5,54.0
2004,20140417,14,PCA,36.19721912737745
2004,20140417,14,PM2.5,77.0
2010,20140417,15,PCA,28.6082067042717
2010,20140417,15,PM2.5,60.0
2016,20140417,16,PCA,42.951217868221
2016,20140417,16,PM2.5,75.0
2022,20140417,17,PCA,43.370638114703695
2022,20140417,17,PM2.5,70.0
2028,20140417,18,PCA,50.7548021005417
2028,20140417,18,PM2.5,81.0
2034,20140417,19,PCA,56.687307066810895
2034,20140417,19,PM2.5,84.0
2040,20140417,20,PCA,58.81691465883593
2040,20140417,20,PM2.5,87.0
2046,20140417,21,PCA,66.91635640785728
2046,20140417,21,PM2.5,94.0
2052,20140417,22,PCA,79.74946110113049
2052,20140417,22,PM2.5,105.0
2058,20140417,23,PCA,72.63160388219767
2058,20140417,23,PM2.5,95.0
2064,20140418,0,PCA,88.14121611453122
2064,20140418,0,PM2.5,111.0
2070,20140418,1,PCA,106.61001428253545
2070,20140418,1,PM2.5,133.0
2076,20140418,2,PCA,99.2237836632194
2076,20140418,2,PM2.5,118.0
2082,20140418,3,PCA,111.65270967458439
2082,20140418,3,PM2.5,127.0
2088,20140418,4,PCA,122.45685360171072
2088,20140418,4,PM2.5,135.0
2094,20140418,5,PCA,122.27030303871183
2094,20140418,5,PM2.5,135.0
2100,20140418,6,PCA,138.32968511492663
2100,20140418,6,PM2.5,149.0
2106,20140418,7,PCA,133.1141717642058
2106,20140418,7,PM2.5,137.0
2112,20140418,8,PCA,152.1147848903948
2112,20140418,8,PM2.5,155.0
2118,20140418,9,PCA,176.62476661562488
2118,20140418,9,PM2.5,173.0
2124,20140418,10,PCA,181.2908360832971
2124,20140418,10,PM2.5,168.0
2130,20140418,11,PCA,186.9617123374816
2130,20140418,11,PM2.5,162.0
2136,20140418,12,PCA,139.96347158587872
2136,20140418,12,PM2.5,101.0
2286,20140419,13,PCA,26.72548579208812
2286,20140419,13,PM2.5,64.0
2292,20140419,14,PCA,15.513524098622725
2292,20140419,14,PM2.5,49.0
2298,20140419,15,PCA,12.477693183070782
2298,20140419,15,PM2.5,51.0
2304,20140419,16,PCA,10.275522610521405
2304,20140419,16,PM2.5,52.0
2310,20140419,17,PCA,18.1335293363286
2310,20140419,17,PM2.5,64.0
2316,20140419,18,PCA,8.312654584826603
2316,20140419,18,PM2.5,49.0
2322,20140419,19,PCA,4.146298998713772
2322,20140419,19,PM2.5,45.0
2328,20140419,20,PCA,4.047652484400566
2328,20140419,20,PM2.5,48.0
2334,20140419,21,PCA,0.3748008418648669
2334,20140419,21,PM2.5,49.0
2340,20140419,22,PCA,14.255824266600932
2340,20140419,22,PM2.5,72.0
2346,20140419,23,PCA,38.35725291015764
2346,20140419,23,PM2.5,95.0
2352,20140420,0,PCA,12.083360675192818
2352,20140420,0,PM2.5,55.0
2358,20140420,1,PCA,22.454185098237794
2358,20140420,1,PM2.5,67.0
2364,20140420,2,PCA,32.48513308650772
2364,20140420,2,PM2.5,74.0
2370,20140420,3,PCA,27.704184117550973
2370,20140420,3,PM2.5,73.0
2376,20140420,4,PCA,6.876459709932561
2376,20140420,4,PM2.5,45.0
2382,20140420,5,PCA,20.50546453062095
2382,20140420,5,PM2.5,68.0
2388,20140420,6,PCA,17.807621675606747
2388,20140420,6,PM2.5,67.0
2394,20140420,7,PCA,26.08404605890806
2394,20140420,7,PM2.5,78.0
2400,20140420,8,PCA,28.896650811101193
2400,20140420,8,PM2.5,75.0
2406,20140420,9,PCA,18.837616930024925
2406,20140420,9,PM2.5,55.0
2412,20140420,10,PCA,1.3106169554849725
2412,20140420,10,PM2.5,37.5
2418,20140420,11,PCA,-21.374999758002314
