,date,hour,type,平谷
72,20140402,12,PCA,101.98125836819267
72,20140402,12,PM2.5,174.0
78,20140402,13,PCA,100.85695549354327
78,20140402,13,PM2.5,169.0
84,20140402,14,PCA,33.021364525967584
84,20140402,14,PM2.5,74.0
90,20140402,15,PCA,12.193987800015877
90,20140402,15,PM2.5,47.0
96,20140402,16,PCA,11.800695591688662
96,20140402,16,PM2.5,50.0
102,20140402,17,PCA,74.83374906644475
102,20140402,17,PM2.5,130.0
108,20140402,18,PCA,73.53892333041661
108,20140402,18,PM2.5,124.0
114,20140402,19,PCA,56.590050819006485
114,20140402,19,PM2.5,98.0
120,20140402,20,PCA,49.34522076927465
120,20140402,20,PM2.5,85.0
126,20140402,21,PCA,39.25255256316944
126,20140402,21,PM2.5,72.0
132,20140402,22,PCA,38.1662558405503
132,20140402,22,PM2.5,71.0
138,20140402,23,PCA,39.24530725940265
138,20140402,23,PM2.5,70.0
144,20140403,0,PCA,34.245169619118485
144,20140403,0,PM2.5,60.0
150,20140403,1,PCA,38.86351010310602
150,20140403,1,PM2.5,65.0
156,20140403,2,PCA,31.59012592583339
156,20140403,2,PM2.5,57.0
162,20140403,3,PCA,40.67702667281457
162,20140403,3,PM2.5,68.0
168,20140403,4,PCA,16.41740854677027
168,20140403,4,PM2.5,38.0
174,20140403,5,PCA,-12.591736496245913
174,20140403,5,PM2.5,6.0
180,20140403,6,PCA,-22.394294856136796
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-23.821622475234218
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-24.92130399134345
192,20140403,8,PM2.5,5.0
198,20140403,9,PCA,-31.20758648398737
198,20140403,9,PM2.5,7.0
204,20140403,10,PCA,-39.85867875270705
204,20140403,10,PM2.5,4.0
210,20140403,11,PCA,-38.21725620666544
210,20140403,11,PM2.5,15.0
228,20140403,14,PCA,-42.06575756074522
228,20140403,14,PM2.5,5.0
234,20140403,15,PCA,-35.84279381945615
234,20140403,15,PM2.5,12.0
240,20140403,16,PCA,-39.29583790767743
240,20140403,16,PM2.5,8.0
246,20140403,17,PCA,-46.913776650771524
246,20140403,17,PM2.5,3.0
252,20140403,18,PCA,-46.43971283282747
252,20140403,18,PM2.5,6.0
258,20140403,19,PCA,-47.271111092755994
258,20140403,19,PM2.5,5.0
264,20140403,20,PCA,-40.87023362140573
264,20140403,20,PM2.5,8.0
270,20140403,21,PCA,-31.84657956085744
270,20140403,21,PM2.5,21.0
276,20140403,22,PCA,-24.355579782865505
276,20140403,22,PM2.5,32.0
282,20140403,23,PCA,-23.723569844014598
282,20140403,23,PM2.5,31.0
288,20140404,0,PCA,-18.511164368109
288,20140404,0,PM2.5,34.0
294,20140404,1,PCA,-14.697486820080224
294,20140404,1,PM2.5,36.5
300,20140404,2,PCA,-9.440243844403797
300,20140404,2,PM2.5,39.0
306,20140404,3,PCA,-23.873409660467193
306,20140404,3,PM2.5,30.0
312,20140404,4,PCA,-18.92681640920104
312,20140404,4,PM2.5,29.0
318,20140404,5,PCA,-15.866413963163223
318,20140404,5,PM2.5,32.0
324,20140404,6,PCA,-14.597405992287118
324,20140404,6,PM2.5,31.0
330,20140404,7,PCA,-15.987481908049906
330,20140404,7,PM2.5,33.0
336,20140404,8,PCA,-5.2885672215517445
336,20140404,8,PM2.5,44.0
342,20140404,9,PCA,4.6536563611956066
342,20140404,9,PM2.5,55.0
348,20140404,10,PCA,-6.746456590686171
348,20140404,10,PM2.5,43.0
354,20140404,11,PCA,-7.93516920445991
354,20140404,11,PM2.5,43.0
360,20140404,12,PCA,-11.051093900538248
360,20140404,12,PM2.5,42.0
366,20140404,13,PCA,-17.00952944500243
366,20140404,13,PM2.5,43.0
372,20140404,14,PCA,-29.065309172071668
372,20140404,14,PM2.5,33.0
378,20140404,15,PCA,-33.53756385706579
378,20140404,15,PM2.5,29.0
384,20140404,16,PCA,-41.953074797356585
384,20140404,16,PM2.5,16.0
390,20140404,17,PCA,-34.049971432214704
390,20140404,17,PM2.5,22.0
396,20140404,18,PCA,-29.290491041446238
396,20140404,18,PM2.5,24.0
402,20140404,19,PCA,-30.014425547020224
402,20140404,19,PM2.5,19.0
408,20140404,20,PCA,-31.787330011388708
408,20140404,20,PM2.5,14.0
414,20140404,21,PCA,-29.826626475957053
414,20140404,21,PM2.5,14.0
420,20140404,22,PCA,-13.786797817667537
420,20140404,22,PM2.5,32.0
426,20140404,23,PCA,-9.325961991066249
426,20140404,23,PM2.5,38.0
432,20140405,0,PCA,-11.082775863547615
432,20140405,0,PM2.5,35.0
438,20140405,1,PCA,-9.680003111823568
438,20140405,1,PM2.5,36.0
444,20140405,2,PCA,-10.993762160380044
444,20140405,2,PM2.5,32.0
450,20140405,3,PCA,-9.39256100457524
450,20140405,3,PM2.5,34.0
456,20140405,4,PCA,-7.009510093466918
456,20140405,4,PM2.5,36.0
462,20140405,5,PCA,-22.838400501515068
462,20140405,5,PM2.5,21.0
468,20140405,6,PCA,-33.55833840633171
468,20140405,6,PM2.5,8.0
474,20140405,7,PCA,-32.27395317530599
474,20140405,7,PM2.5,11.0
480,20140405,8,PCA,-35.10802396506064
480,20140405,8,PM2.5,10.0
486,20140405,9,PCA,-38.14734543553576
486,20140405,9,PM2.5,9.0
492,20140405,10,PCA,-39.24601111561837
492,20140405,10,PM2.5,10.0
498,20140405,11,PCA,-41.41798068853802
498,20140405,11,PM2.5,8.0
504,20140405,12,PCA,-43.14340002250937
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-40.63431105744677
510,20140405,13,PM2.5,13.0
516,20140405,14,PCA,-45.48117122349914
516,20140405,14,PM2.5,7.0
522,20140405,15,PCA,-47.53708851816524
522,20140405,15,PM2.5,6.0
528,20140405,16,PCA,-46.26048364256164
528,20140405,16,PM2.5,11.0
534,20140405,17,PCA,-51.7772253808711
534,20140405,17,PM2.5,8.0
540,20140405,18,PCA,-51.436135569795006
540,20140405,18,PM2.5,11.0
546,20140405,19,PCA,-51.00882615601363
546,20140405,19,PM2.5,12.0
552,20140405,20,PCA,-36.79838641963132
552,20140405,20,PM2.5,27.0
558,20140405,21,PCA,-21.090820720691138
558,20140405,21,PM2.5,48.0
564,20140405,22,PCA,-8.167904248935688
564,20140405,22,PM2.5,67.0
570,20140405,23,PCA,3.1499462533928826
570,20140405,23,PM2.5,77.0
576,20140406,0,PCA,11.83273918275994
576,20140406,0,PM2.5,86.0
582,20140406,1,PCA,2.415344603799819
582,20140406,1,PM2.5,75.0
588,20140406,2,PCA,-19.25382756585177
588,20140406,2,PM2.5,46.0
594,20140406,3,PCA,-24.926819478315316
594,20140406,3,PM2.5,41.0
600,20140406,4,PCA,-26.87718679443916
600,20140406,4,PM2.5,43.0
606,20140406,5,PCA,-20.92121351560632
606,20140406,5,PM2.5,49.0
612,20140406,6,PCA,-17.119850468554045
612,20140406,6,PM2.5,51.0
618,20140406,7,PCA,-10.195336457779618
618,20140406,7,PM2.5,58.0
624,20140406,8,PCA,-3.2876905470911626
624,20140406,8,PM2.5,65.0
630,20140406,9,PCA,16.798338873612376
630,20140406,9,PM2.5,89.0
636,20140406,10,PCA,2.3721851251533406
636,20140406,10,PM2.5,71.0
642,20140406,11,PCA,-6.040899663098554
