,date,hour,type,延庆
72,20140402,12,PCA,8.803384789867529
72,20140402,12,PM2.5,56.0
78,20140402,13,PCA,-7.838827942658155
78,20140402,13,PM2.5,35.0
84,20140402,14,PCA,-8.791290262604694
84,20140402,14,PM2.5,34.0
90,20140402,15,PCA,-15.364941642113468
90,20140402,15,PM2.5,25.0
96,20140402,16,PCA,-11.823452923150208
96,20140402,16,PM2.5,29.0
102,20140402,17,PCA,2.3462897497618176
102,20140402,17,PM2.5,48.0
108,20140402,18,PCA,18.337445931386668
108,20140402,18,PM2.5,68.0
114,20140402,19,PCA,51.98785889850893
114,20140402,19,PM2.5,113.0
120,20140402,20,PCA,61.13593817302347
120,20140402,20,PM2.5,123.0
126,20140402,21,PCA,70.28401744753799
126,20140402,21,PM2.5,133.0
132,20140402,22,PCA,76.82781286550585
132,20140402,22,PM2.5,138.0
138,20140402,23,PCA,78.40501291350671
138,20140402,23,PM2.5,138.0
144,20140403,0,PCA,61.3153555116513
144,20140403,0,PM2.5,114.0
150,20140403,1,PCA,-15.567967335696853
150,20140403,1,PM2.5,11.0
156,20140403,2,PCA,-20.999343095063455
156,20140403,2,PM2.5,7.0
162,20140403,3,PCA,-26.742125323624165
162,20140403,3,PM2.5,3.0
168,20140403,4,PCA,-29.642453758155867
168,20140403,4,PM2.5,3.0
174,20140403,5,PCA,-29.716484843368765
174,20140403,5,PM2.5,7.0
180,20140403,6,PCA,-34.34787962251215
180,20140403,6,PM2.5,4.0
186,20140403,7,PCA,-36.580815219823755
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-28.836733255696444
192,20140403,8,PM2.5,18.0
198,20140403,9,PCA,-41.14492362454252
198,20140403,9,PM2.5,7.0
204,20140403,10,PCA,-44.57845118059277
204,20140403,10,PM2.5,7.0
210,20140403,11,PCA,-44.93616260621039
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-50.55676080514356
216,20140403,12,PM2.5,3.0
222,20140403,13,PCA,-46.11541148966582
222,20140403,13,PM2.5,10.0
