,date,hour,type,怀柔
72,20140402,12,PCA,14.56424311279669
72,20140402,12,PM2.5,47.0
78,20140402,13,PCA,20.54968877062564
78,20140402,13,PM2.5,60.0
84,20140402,14,PCA,15.971371603508633
84,20140402,14,PM2.5,55.0
90,20140402,15,PCA,8.226696828724643
90,20140402,15,PM2.5,46.0
96,20140402,16,PCA,7.1715204252141795
96,20140402,16,PM2.5,44.0
102,20140402,17,PCA,31.05021556535644
102,20140402,17,PM2.5,77.0
108,20140402,18,PCA,74.10629918444604
108,20140402,18,PM2.5,134.0
114,20140402,19,PCA,67.36831738478251
114,20140402,19,PM2.5,122.0
120,20140402,20,PCA,66.22364283113218
120,20140402,20,PM2.5,117.5
126,20140402,21,PCA,64.34361698084692
126,20140402,21,PM2.5,113.0
132,20140402,22,PCA,61.620559262280594
132,20140402,22,PM2.5,107.0
138,20140402,23,PCA,50.58800397427704
138,20140402,23,PM2.5,93.0
144,20140403,0,PCA,50.113963696641655
144,20140403,0,PM2.5,90.0
150,20140403,1,PCA,53.25383209911836
150,20140403,1,PM2.5,92.0
156,20140403,2,PCA,53.663095191815714
156,20140403,2,PM2.5,89.0
162,20140403,3,PCA,21.648940139294396
162,20140403,3,PM2.5,51.0
168,20140403,4,PCA,-13.828078773952761
168,20140403,4,PM2.5,8.0
174,20140403,5,PCA,-19.801717100582817
174,20140403,5,PM2.5,3.0
180,20140403,6,PCA,-20.31400502842067
180,20140403,6,PM2.5,6.0
186,20140403,7,PCA,-19.432781970055636
186,20140403,7,PM2.5,10.0
192,20140403,8,PCA,-25.315094124058422
192,20140403,8,PM2.5,7.0
198,20140403,9,PCA,-30.79960322757789
198,20140403,9,PM2.5,5.0
204,20140403,10,PCA,-33.91044793529765
204,20140403,10,PM2.5,5.0
210,20140403,11,PCA,-30.200066497739662
210,20140403,11,PM2.5,13.0
216,20140403,12,PCA,-33.592340326258075
216,20140403,12,PM2.5,9.0
222,20140403,13,PCA,-29.26110102606061
222,20140403,13,PM2.5,15.0
228,20140403,14,PCA,-31.070514618316423
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-31.01380983822586
234,20140403,15,PM2.5,12.0
240,20140403,16,PCA,-29.715529977614494
240,20140403,16,PM2.5,16.0
246,20140403,17,PCA,-31.67743773167412
246,20140403,17,PM2.5,16.0
252,20140403,18,PCA,-44.39692076982505
252,20140403,18,PM2.5,3.0
258,20140403,19,PCA,-40.5032439408253
258,20140403,19,PM2.5,11.0
264,20140403,20,PCA,-35.928933821956065
264,20140403,20,PM2.5,21.0
270,20140403,21,PCA,-39.77963336494211
270,20140403,21,PM2.5,16.0
276,20140403,22,PCA,-45.64985159816318
276,20140403,22,PM2.5,14.0
282,20140403,23,PCA,-44.29077247355253
282,20140403,23,PM2.5,21.0
288,20140404,0,PCA,-25.16216064509046
288,20140404,0,PM2.5,39.0
318,20140404,5,PCA,-21.741726354136723
318,20140404,5,PM2.5,39.0
324,20140404,6,PCA,-21.681512744875057
324,20140404,6,PM2.5,37.0
330,20140404,7,PCA,-14.874893044222615
330,20140404,7,PM2.5,46.0
336,20140404,8,PCA,-7.83878195808515
336,20140404,8,PM2.5,53.0
342,20140404,9,PCA,-8.152308278585101
342,20140404,9,PM2.5,51.5
348,20140404,10,PCA,-8.465834599085051
348,20140404,10,PM2.5,50.0
354,20140404,11,PCA,-9.036543941680979
354,20140404,11,PM2.5,48.0
360,20140404,12,PCA,-7.49495052235614
360,20140404,12,PM2.5,48.0
366,20140404,13,PCA,-2.960157084159581
366,20140404,13,PM2.5,53.0
372,20140404,14,PCA,-3.6210298465484465
372,20140404,14,PM2.5,53.0
378,20140404,15,PCA,-17.526839966473563
378,20140404,15,PM2.5,35.0
384,20140404,16,PCA,-24.535218486873312
384,20140404,16,PM2.5,23.0
390,20140404,17,PCA,-21.04773237473835
390,20140404,17,PM2.5,25.0
396,20140404,18,PCA,-18.087650534532308
396,20140404,18,PM2.5,25.0
402,20140404,19,PCA,-18.234657650480834
402,20140404,19,PM2.5,22.0
408,20140404,20,PCA,-20.26703689053874
408,20140404,20,PM2.5,17.0
414,20140404,21,PCA,-20.887824430799135
414,20140404,21,PM2.5,15.0
420,20140404,22,PCA,-21.02031969936919
420,20140404,22,PM2.5,13.0
426,20140404,23,PCA,-23.07320460837848
426,20140404,23,PM2.5,10.0
432,20140405,0,PCA,-25.448529976089226
432,20140405,0,PM2.5,7.0
438,20140405,1,PCA,-30.27171957854723
438,20140405,1,PM2.5,5.0
444,20140405,2,PCA,-30.518271827774207
444,20140405,2,PM2.5,8.0
450,20140405,3,PCA,-30.44238361829974
450,20140405,3,PM2.5,11.0
456,20140405,4,PCA,-34.73877344554141
456,20140405,4,PM2.5,7.0
462,20140405,5,PCA,-34.325355831890306
462,20140405,5,PM2.5,10.0
468,20140405,6,PCA,-36.22998170776267
468,20140405,6,PM2.5,9.0
474,20140405,7,PCA,-39.28462841110948
474,20140405,7,PM2.5,6.0
480,20140405,8,PCA,-39.19239933897141
480,20140405,8,PM2.5,8.0
486,20140405,9,PCA,-38.551176452138726
486,20140405,9,PM2.5,12.0
492,20140405,10,PCA,-39.909144304319156
492,20140405,10,PM2.5,12.0
498,20140405,11,PCA,-45.56167296845616
498,20140405,11,PM2.5,6.0
504,20140405,12,PCA,-45.93905951434217
504,20140405,12,PM2.5,8.0
510,20140405,13,PCA,-45.11273106275757
510,20140405,13,PM2.5,11.0
516,20140405,14,PCA,-48.48690533570642
516,20140405,14,PM2.5,8.0
522,20140405,15,PCA,-48.14937593152977
522,20140405,15,PM2.5,8.0
528,20140405,16,PCA,-47.756463986830056
528,20140405,16,PM2.5,13.0
534,20140405,17,PCA,-49.11568375619887
534,20140405,17,PM2.5,14.0
540,20140405,18,PCA,-57.52383722303205
540,20140405,18,PM2.5,7.0
546,20140405,19,PCA,-51.86103184018347
546,20140405,19,PM2.5,19.0
552,20140405,20,PCA,-44.99120244697169
552,20140405,20,PM2.5,29.0
558,20140405,21,PCA,-35.362361224675865
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-41.9942192779189
564,20140405,22,PM2.5,36.0
570,20140405,23,PCA,-45.69515983047104
570,20140405,23,PM2.5,33.0
576,20140406,0,PCA,-54.69842536753109
576,20140406,0,PM2.5,21.0
582,20140406,1,PCA,-53.34161171154407
582,20140406,1,PM2.5,23.0
588,20140406,2,PCA,-55.31677939579378
588,20140406,2,PM2.5,21.0
594,20140406,3,PCA,-56.20397743375675
594,20140406,3,PM2.5,19.0
600,20140406,4,PCA,-44.92161236403777
600,20140406,4,PM2.5,30.0
606,20140406,5,PCA,-39.29476772657518
606,20140406,5,PM2.5,33.0
612,20140406,6,PCA,-39.67617843399082
612,20140406,6,PM2.5,28.0
618,20140406,7,PCA,-40.667702721447604
618,20140406,7,PM2.5,26.0
624,20140406,8,PCA,-41.11615669340356
624,20140406,8,PM2.5,25.0
630,20140406,9,PCA,-34.38318169932512
630,20140406,9,PM2.5,34.0
636,20140406,10,PCA,-30.82057991780235
636,20140406,10,PM2.5,38.0
642,20140406,11,PCA,-29.12190225241677
642,20140406,11,PM2.5,39.0
648,20140406,12,PCA,-27.423224587031193
648,20140406,12,PM2.5,40.0
654,20140406,13,PCA,-31.05715955899297
654,20140406,13,PM2.5,35.0
660,20140406,14,PCA,-37.700543857086615
660,20140406,14,PM2.5,24.0
666,20140406,15,PCA,-31.20501570299882
666,20140406,15,PM2.5,32.0
672,20140406,16,PCA,-28.055901857506242
672,20140406,16,PM2.5,37.0
678,20140406,17,PCA,-24.040881114018216
678,20140406,17,PM2.5,40.0
684,20140408,10,PCA,140.4258044565608
684,20140408,10,PM2.5,159.0
690,20140408,11,PCA,155.70042204121032
690,20140408,11,PM2.5,176.0
696,20140408,12,PCA,137.69509827197479
696,20140408,12,PM2.5,145.5
702,20140408,13,PCA,119.0542049764427
702,20140408,13,PM2.5,115.0
708,20140408,14,PCA,172.8913535528794
708,20140408,14,PM2.5,188.0
714,20140408,15,PCA,179.11895088211182
714,20140408,15,PM2.5,187.0
720,20140408,16,PCA,177.64956037354497
720,20140408,16,PM2.5,182.0
726,20140408,17,PCA,145.035653189506
726,20140408,17,PM2.5,133.0
732,20140408,18,PCA,165.00085949276377
732,20140408,18,PM2.5,159.0
738,20140408,19,PCA,178.8493034225889
738,20140408,19,PM2.5,173.0
744,20140408,20,PCA,182.28867814833882
744,20140408,20,PM2.5,175.0
750,20140408,21,PCA,203.4276169602914
750,20140408,21,PM2.5,192.0
756,20140408,22,PCA,204.3834319921243
756,20140408,22,PM2.5,193.0
762,20140408,23,PCA,209.75526639159935
762,20140408,23,PM2.5,198.0
768,20140409,0,PCA,199.48213606987355
768,20140409,0,PM2.5,189.0
774,20140409,1,PCA,198.10960600762505
774,20140409,1,PM2.5,193.0
780,20140409,2,PCA,199.0996091024043
780,20140409,2,PM2.5,192.0
786,20140409,3,PCA,195.0127345963055
786,20140409,3,PM2.5,186.0
792,20140409,4,PCA,186.0501493559209
792,20140409,4,PM2.5,176.0
798,20140409,5,PCA,177.49666546327703
798,20140409,5,PM2.5,163.0
804,20140409,6,PCA,166.23329429199742
804,20140409,6,PM2.5,147.0
810,20140409,7,PCA,172.63975630918893
810,20140409,7,PM2.5,155.0
816,20140409,8,PCA,173.57031089822297
816,20140409,8,PM2.5,154.0
822,20140409,9,PCA,179.80395796633078
822,20140409,9,PM2.5,163.0
828,20140409,10,PCA,178.0451744498952
828,20140409,10,PM2.5,161.0
834,20140409,11,PCA,186.31678175036896
834,20140409,11,PM2.5,170.0
840,20140409,12,PCA,138.49167338645245
840,20140409,12,PM2.5,108.0
846,20140409,13,PCA,92.637982866266
846,20140409,13,PM2.5,45.0
852,20140409,14,PCA,115.39380475229014
852,20140409,14,PM2.5,82.0
858,20140409,15,PCA,97.36087695416155
858,20140409,15,PM2.5,64.0
864,20140409,16,PCA,86.54353479948115
864,20140409,16,PM2.5,53.0
870,20140409,17,PCA,101.06577134586425
870,20140409,17,PM2.5,78.0
876,20140409,18,PCA,99.51617848966639
876,20140409,18,PM2.5,80.0
882,20140409,19,PCA,92.62189728182511
882,20140409,19,PM2.5,74.0
888,20140409,20,PCA,83.81883481163308
888,20140409,20,PM2.5,67.0
894,20140409,21,PCA,72.71949499469827
894,20140409,21,PM2.5,59.0
900,20140409,22,PCA,66.04889107217608
900,20140409,22,PM2.5,59.0
906,20140409,23,PCA,69.49693327967668
906,20140409,23,PM2.5,72.0
912,20140410,0,PCA,65.7410772951299
912,20140410,0,PM2.5,73.0
918,20140410,1,PCA,70.5739150377987
918,20140410,1,PM2.5,85.0
924,20140410,2,PCA,79.21284232966933
924,20140410,2,PM2.5,97.0
930,20140410,3,PCA,95.387459545315
930,20140410,3,PM2.5,112.0
936,20140410,4,PCA,101.76025056061177
936,20140410,4,PM2.5,118.0
942,20140410,5,PCA,104.37981122852176
942,20140410,5,PM2.5,116.0
948,20140410,6,PCA,106.51188480325717
948,20140410,6,PM2.5,113.0
954,20140410,7,PCA,114.70098938846749
954,20140410,7,PM2.5,116.0
960,20140410,8,PCA,121.69176418132503
960,20140410,8,PM2.5,121.0
966,20140410,9,PCA,125.7908732529637
966,20140410,9,PM2.5,120.0
972,20140410,10,PCA,122.62871069896434
972,20140410,10,PM2.5,110.0
978,20140410,11,PCA,118.95175963696815
978,20140410,11,PM2.5,101.0
984,20140410,12,PCA,132.10107320250597
984,20140410,12,PM2.5,99.0
990,20140410,13,PCA,146.7886773400677
990,20140410,13,PM2.5,103.0
996,20140410,14,PCA,141.1515337636243
996,20140410,14,PM2.5,83.0
1002,20140410,15,PCA,138.5118181731337
1002,20140410,15,PM2.5,73.0
1008,20140410,16,PCA,134.81592031881365
1008,20140410,16,PM2.5,67.0
1014,20140410,17,PCA,107.97538291686617
1014,20140410,17,PM2.5,45.0
1020,20140410,18,PCA,103.31520083198359
1020,20140410,18,PM2.5,52.0
1026,20140410,19,PCA,107.114373201237
1026,20140410,19,PM2.5,60.0
1032,20140410,20,PCA,115.32565335030004
1032,20140410,20,PM2.5,68.0
1038,20140410,21,PCA,118.29573407708763
1038,20140410,21,PM2.5,64.0
1044,20140410,22,PCA,121.18199249463957
1044,20140410,22,PM2.5,71.0
1050,20140410,23,PCA,113.92548506501457
1050,20140410,23,PM2.5,66.0
1056,20140411,0,PCA,108.5286311726227
1056,20140411,0,PM2.5,65.0
1062,20140411,1,PCA,100.47610580001113
1062,20140411,1,PM2.5,65.0
1068,20140411,2,PCA,110.30656899348939
1068,20140411,2,PM2.5,79.0
1074,20140411,3,PCA,108.82660754812144
1074,20140411,3,PM2.5,80.0
1080,20140411,4,PCA,102.8491534328812
1080,20140411,4,PM2.5,75.0
1086,20140411,5,PCA,98.92840001526042
1086,20140411,5,PM2.5,73.0
1092,20140411,6,PCA,84.6472690017944
1092,20140411,6,PM2.5,61.0
1098,20140411,7,PCA,73.45148820031818
1098,20140411,7,PM2.5,54.0
1104,20140411,8,PCA,64.61325901239715
1104,20140411,8,PM2.5,50.0
1110,20140411,9,PCA,58.96139488201776
1110,20140411,9,PM2.5,51.0
1116,20140411,10,PCA,49.503113009973056
1116,20140411,10,PM2.5,48.0
1122,20140411,11,PCA,33.562586130294164
1122,20140411,11,PM2.5,37.0
1128,20140411,12,PCA,22.889616897761442
1128,20140411,12,PM2.5,32.0
1134,20140411,13,PCA,22.977363918838503
1134,20140411,13,PM2.5,40.0
1140,20140411,14,PCA,12.643803720646924
1140,20140411,14,PM2.5,36.0
1146,20140411,15,PCA,13.033555853853144
1146,20140411,15,PM2.5,42.0
1152,20140411,16,PCA,3.323534818217513
1152,20140411,16,PM2.5,31.0
1158,20140411,17,PCA,14.84965845662942
1158,20140411,17,PM2.5,51.0
1164,20140411,18,PCA,14.937871923878756
1164,20140411,18,PM2.5,52.0
1170,20140411,19,PCA,13.24258390596581
1170,20140411,19,PM2.5,53.0
1176,20140411,20,PCA,17.503370431670337
1176,20140411,20,PM2.5,60.0
1182,20140411,21,PCA,25.99035127797879
1182,20140411,21,PM2.5,73.0
1188,20140411,22,PCA,20.06353866204557
1188,20140411,22,PM2.5,68.0
1194,20140411,23,PCA,13.732885109783915
1194,20140411,23,PM2.5,67.0
1200,20140412,0,PCA,9.777133017808266
1200,20140412,0,PM2.5,65.0
1206,20140412,1,PCA,4.687323679203571
1206,20140412,1,PM2.5,62.0
1212,20140412,2,PCA,-3.24479245133502
1212,20140412,2,PM2.5,53.0
1218,20140412,3,PCA,-1.3431497869411604
1218,20140412,3,PM2.5,58.0
1224,20140412,4,PCA,0.4452513606456439
1224,20140412,4,PM2.5,60.0
1230,20140412,5,PCA,-1.0031868707668303
1230,20140412,5,PM2.5,60.0
1236,20140412,6,PCA,0.6145416804265554
1236,20140412,6,PM2.5,62.0
1242,20140412,7,PCA,4.126235810901334
1242,20140412,7,PM2.5,65.0
1248,20140412,8,PCA,8.916753110197789
1248,20140412,8,PM2.5,69.0
1254,20140412,9,PCA,12.679172813053976
1254,20140412,9,PM2.5,73.0
1260,20140412,10,PCA,17.176943812545105
1260,20140412,10,PM2.5,77.0
1266,20140412,11,PCA,29.180034159599952
1266,20140412,11,PM2.5,90.0
1272,20140412,12,PCA,30.128834848775
1272,20140412,12,PM2.5,90.0
1278,20140412,13,PCA,40.834228598906755
1278,20140412,13,PM2.5,101.0
1284,20140412,14,PCA,58.79569677497852
1284,20140412,14,PM2.5,117.0
1290,20140412,15,PCA,71.40041007488486
1290,20140412,15,PM2.5,128.0
1296,20140412,16,PCA,54.02510386418441
1296,20140412,16,PM2.5,105.0
1302,20140412,17,PCA,45.49727972334723
1302,20140412,17,PM2.5,93.0
1308,20140412,18,PCA,47.30809443419055
1308,20140412,18,PM2.5,93.0
1314,20140412,19,PCA,56.857102164502265
1314,20140412,19,PM2.5,101.0
1320,20140412,20,PCA,67.30904959879483
1320,20140412,20,PM2.5,115.0
1326,20140412,21,PCA,69.41443328653683
1326,20140412,21,PM2.5,115.0
1332,20140412,22,PCA,74.33097351889717
1332,20140412,22,PM2.5,119.0
1338,20140412,23,PCA,77.4764069807245
1338,20140412,23,PM2.5,123.0
1344,20140413,0,PCA,76.58332399304234
1344,20140413,0,PM2.5,112.0
1350,20140413,1,PCA,75.71870669618527
1350,20140413,1,PM2.5,111.0
1356,20140413,2,PCA,72.44685922066547
1356,20140413,2,PM2.5,109.0
1362,20140413,3,PCA,63.581077778954096
1362,20140413,3,PM2.5,96.0
1368,20140413,4,PCA,53.030565462033
1368,20140413,4,PM2.5,80.0
1374,20140413,5,PCA,60.11728759737073
1374,20140413,5,PM2.5,89.0
1380,20140413,6,PCA,52.074077532881056
1380,20140413,6,PM2.5,76.0
1386,20140413,7,PCA,67.03537539004431
1386,20140413,7,PM2.5,97.0
1392,20140413,8,PCA,75.83676746851593
1392,20140413,8,PM2.5,104.0
1398,20140413,9,PCA,102.29279969102238
