,date,hour,type,房山
72,20140402,12,PCA,11.399899175226007
72,20140402,12,PM2.5,69.0
78,20140402,13,PCA,0.5414994214070322
78,20140402,13,PM2.5,60.0
84,20140402,14,PCA,15.802237103668041
84,20140402,14,PM2.5,82.0
90,20140402,15,PCA,57.784015158942196
90,20140402,15,PM2.5,137.0
96,20140402,16,PCA,65.99947096693377
96,20140402,16,PM2.5,144.0
102,20140402,17,PCA,69.31490804645496
102,20140402,17,PM2.5,139.0
108,20140402,18,PCA,93.8732023224918
108,20140402,18,PM2.5,156.0
114,20140402,19,PCA,76.23214507994037
114,20140402,19,PM2.5,129.0
120,20140402,20,PCA,42.73034642667538
120,20140402,20,PM2.5,86.0
126,20140402,21,PCA,26.433833674512993
126,20140402,21,PM2.5,63.0
132,20140402,22,PCA,22.538593770492437
132,20140402,22,PM2.5,57.0
138,20140402,23,PCA,15.726606486659783
138,20140402,23,PM2.5,48.0
144,20140403,0,PCA,24.91517028995957
144,20140403,0,PM2.5,60.0
150,20140403,1,PCA,8.203062191122854
150,20140403,1,PM2.5,43.0
156,20140403,2,PCA,11.514096800510464
156,20140403,2,PM2.5,46.0
162,20140403,3,PCA,13.254353611641394
162,20140403,3,PM2.5,47.0
168,20140403,4,PCA,11.698802816807554
168,20140403,4,PM2.5,49.0
174,20140403,5,PCA,14.347622370594088
174,20140403,5,PM2.5,53.0
180,20140403,6,PCA,21.65998264416911
180,20140403,6,PM2.5,67.0
186,20140403,7,PCA,16.90240995335729
186,20140403,7,PM2.5,64.0
192,20140403,8,PCA,7.074494709368982
192,20140403,8,PM2.5,55.0
198,20140403,9,PCA,-38.00843637770057
198,20140403,9,PM2.5,19.0
204,20140403,10,PCA,-53.96087851038469
204,20140403,10,PM2.5,10.0
210,20140403,11,PCA,-58.3489493458371
210,20140403,11,PM2.5,5.0
216,20140403,12,PCA,-33.42952328496119
216,20140403,12,PM2.5,43.0
222,20140403,13,PCA,-56.254517473325976
222,20140403,13,PM2.5,9.0
228,20140403,14,PCA,-58.52407853802008
228,20140403,14,PM2.5,7.0
234,20140403,15,PCA,-59.12673793491659
234,20140403,15,PM2.5,8.0
240,20140403,16,PCA,-52.85143761205965
240,20140403,16,PM2.5,19.0
246,20140403,17,PCA,-57.35696064404858
246,20140403,17,PM2.5,17.0
252,20140403,18,PCA,-61.29588153654759
252,20140403,18,PM2.5,12.0
258,20140403,19,PCA,-56.06666952792608
258,20140403,19,PM2.5,16.0
264,20140403,20,PCA,-50.39465964255041
264,20140403,20,PM2.5,17.0
270,20140403,21,PCA,-47.46133949998456
270,20140403,21,PM2.5,20.0
276,20140403,22,PCA,-38.772218991820964
276,20140403,22,PM2.5,23.0
282,20140403,23,PCA,-32.480560795368525
282,20140403,23,PM2.5,42.0
288,20140404,0,PCA,-33.93348811463313
288,20140404,0,PM2.5,44.0
294,20140404,1,PCA,-39.91207305497041
294,20140404,1,PM2.5,36.0
300,20140404,2,PCA,-40.74694008890099
300,20140404,2,PM2.5,34.0
306,20140404,3,PCA,-38.672779518847086
306,20140404,3,PM2.5,32.0
312,20140404,4,PCA,-33.663083074754105
312,20140404,4,PM2.5,38.0
318,20140404,5,PCA,-36.75986723241006
318,20140404,5,PM2.5,33.0
324,20140404,6,PCA,-28.606836070477918
324,20140404,6,PM2.5,39.0
330,20140404,7,PCA,-18.81638679766817
330,20140404,7,PM2.5,47.0
336,20140404,8,PCA,-12.422410259797603
336,20140404,8,PM2.5,56.0
342,20140404,9,PCA,-8.105836114517286
342,20140404,9,PM2.5,60.0
348,20140404,10,PCA,3.2608147330169883
348,20140404,10,PM2.5,72.0
354,20140404,11,PCA,7.501062529425053
354,20140404,11,PM2.5,77.0
360,20140404,12,PCA,-10.785900580455738
360,20140404,12,PM2.5,59.0
366,20140404,13,PCA,-27.873189151247974
366,20140404,13,PM2.5,46.0
372,20140404,14,PCA,-42.064121980664424
372,20140404,14,PM2.5,30.0
378,20140404,15,PCA,-47.55922355253131
378,20140404,15,PM2.5,23.0
384,20140404,16,PCA,-46.124846044760204
384,20140404,16,PM2.5,26.0
390,20140404,17,PCA,-53.00621033204745
390,20140404,17,PM2.5,15.0
396,20140404,18,PCA,-45.781361964746516
396,20140404,18,PM2.5,25.0
402,20140404,19,PCA,-46.60436589417027
402,20140404,19,PM2.5,18.0
408,20140404,20,PCA,-45.73783823506424
408,20140404,20,PM2.5,17.0
414,20140404,21,PCA,-46.90082213523557
414,20140404,21,PM2.5,15.0
420,20140404,22,PCA,-31.310475108099055
420,20140404,22,PM2.5,29.0
426,20140404,23,PCA,-21.56255515934837
426,20140404,23,PM2.5,39.0
432,20140405,0,PCA,-27.20023277525776
432,20140405,0,PM2.5,32.0
438,20140405,1,PCA,-25.14824855404435
438,20140405,1,PM2.5,29.0
444,20140405,2,PCA,-14.257795817198453
444,20140405,2,PM2.5,36.0
450,20140405,3,PCA,-8.9370881733457
450,20140405,3,PM2.5,39.0
456,20140405,4,PCA,-15.866465159211701
456,20140405,4,PM2.5,35.0
462,20140405,5,PCA,-23.26913469729529
462,20140405,5,PM2.5,34.0
468,20140405,6,PCA,-19.82959938286863
468,20140405,6,PM2.5,34.0
474,20140405,7,PCA,-14.598069760115704
474,20140405,7,PM2.5,36.0
480,20140405,8,PCA,-13.268670849212231
480,20140405,8,PM2.5,39.0
486,20140405,9,PCA,-30.28721579806052
486,20140405,9,PM2.5,27.0
492,20140405,10,PCA,-53.689744044239305
492,20140405,10,PM2.5,11.0
498,20140405,11,PCA,-59.739373507731685
498,20140405,11,PM2.5,9.0
504,20140405,12,PCA,-61.67000812924008
504,20140405,12,PM2.5,9.0
510,20140405,13,PCA,-50.82917554379791
510,20140405,13,PM2.5,24.0
516,20140405,14,PCA,-53.808037220105284
516,20140405,14,PM2.5,23.0
522,20140405,15,PCA,-53.312655916412766
522,20140405,15,PM2.5,24.0
528,20140405,16,PCA,-47.0218899941013
528,20140405,16,PM2.5,30.0
534,20140405,17,PCA,-46.53923793455551
534,20140405,17,PM2.5,31.0
540,20140405,18,PCA,-44.05212023627758
540,20140405,18,PM2.5,36.0
546,20140405,19,PCA,-34.667402556373716
546,20140405,19,PM2.5,46.0
552,20140405,20,PCA,-28.47032779086983
552,20140405,20,PM2.5,50.0
558,20140405,21,PCA,-32.02335178277275
558,20140405,21,PM2.5,46.0
564,20140405,22,PCA,-22.34892578283073
564,20140405,22,PM2.5,58.0
570,20140405,23,PCA,-18.511797056976377
570,20140405,23,PM2.5,63.0
576,20140406,0,PCA,-17.25521804475319
576,20140406,0,PM2.5,61.0
582,20140406,1,PCA,-6.916160989397068
582,20140406,1,PM2.5,66.0
588,20140406,2,PCA,-3.949734585066672
588,20140406,2,PM2.5,72.0
594,20140406,3,PCA,-2.2086429680345763
594,20140406,3,PM2.5,70.0
600,20140406,4,PCA,2.054772085860602
600,20140406,4,PM2.5,73.0
606,20140406,5,PCA,6.544652049701974
606,20140406,5,PM2.5,71.0
612,20140406,6,PCA,10.05000020032741
612,20140406,6,PM2.5,75.0
618,20140406,7,PCA,14.470205442743845
618,20140406,7,PM2.5,81.0
624,20140406,8,PCA,29.980550015317355
624,20140406,8,PM2.5,101.0
630,20140406,9,PCA,16.979256725802312
630,20140406,9,PM2.5,85.0
636,20140406,10,PCA,-2.209531994022999
636,20140406,10,PM2.5,66.0
642,20140406,11,PCA,-6.191592763506248
642,20140406,11,PM2.5,63.5
648,20140406,12,PCA,-10.173653532989498
648,20140406,12,PM2.5,61.0
654,20140406,13,PCA,-30.68285496039523
654,20140406,13,PM2.5,37.0
660,20140406,14,PCA,-29.503082252261144
660,20140406,14,PM2.5,38.0
666,20140406,15,PCA,-21.177699257597464
666,20140406,15,PM2.5,48.0
672,20140406,16,PCA,-27.511983071688775
672,20140406,16,PM2.5,37.0
678,20140406,17,PCA,-18.699452999566557
678,20140406,17,PM2.5,49.0
684,20140408,10,PCA,204.45700624327506
684,20140408,10,PM2.5,214.0
690,20140408,11,PCA,217.41545957348706
690,20140408,11,PM2.5,228.0
696,20140408,12,PCA,219.49152358607145
696,20140408,12,PM2.5,244.0
702,20140408,13,PCA,182.06150573131953
702,20140408,13,PM2.5,217.0
708,20140408,14,PCA,165.92999834006628
708,20140408,14,PM2.5,201.0
714,20140408,15,PCA,179.12744998905904
714,20140408,15,PM2.5,213.0
720,20140408,16,PCA,152.48768497369994
720,20140408,16,PM2.5,176.0
