,date,hour,type,昌平
72,20140402,12,PCA,-6.30192193557852
72,20140402,12,PM2.5,44.0
78,20140402,13,PCA,-6.388314621987956
78,20140402,13,PM2.5,51.0
84,20140402,14,PCA,-0.8537941388261547
84,20140402,14,PM2.5,61.0
90,20140402,15,PCA,-11.022190720276352
90,20140402,15,PM2.5,48.0
96,20140402,16,PCA,-17.41592999479399
96,20140402,16,PM2.5,39.0
102,20140402,17,PCA,21.881772114694012
102,20140402,17,PM2.5,92.0
108,20140402,18,PCA,49.866473064978294
108,20140402,18,PM2.5,123.0
114,20140402,19,PCA,56.13005917372083
114,20140402,19,PM2.5,127.0
120,20140402,20,PCA,56.143969419175946
120,20140402,20,PM2.5,123.0
126,20140402,21,PCA,64.23387090181915
126,20140402,21,PM2.5,126.0
132,20140402,22,PCA,62.457340044534256
132,20140402,22,PM2.5,120.0
138,20140402,23,PCA,53.934898105033355
138,20140402,23,PM2.5,105.0
144,20140403,0,PCA,55.312993065618464
144,20140403,0,PM2.5,99.0
150,20140403,1,PCA,38.39148665667811
150,20140403,1,PM2.5,74.0
156,20140403,2,PCA,23.6209702710892
156,20140403,2,PM2.5,59.0
162,20140403,3,PCA,10.294940304198228
162,20140403,3,PM2.5,51.0
168,20140403,4,PCA,-29.095034375588362
168,20140403,4,PM2.5,3.0
174,20140403,5,PCA,-26.73560106930505
174,20140403,5,PM2.5,8.0
180,20140403,6,PCA,-33.36214728272056
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-33.18910983437773
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-26.467836451980006
192,20140403,8,PM2.5,9.0
198,20140403,9,PCA,-33.86604138686717
198,20140403,9,PM2.5,9.0
204,20140403,10,PCA,-33.77259213615387
204,20140403,10,PM2.5,12.0
210,20140403,11,PCA,-31.02823930965659
210,20140403,11,PM2.5,16.0
216,20140403,12,PCA,-27.273286822084735
216,20140403,12,PM2.5,19.0
222,20140403,13,PCA,-38.15372299384202
222,20140403,13,PM2.5,5.0
228,20140403,14,PCA,-35.02145259844811
228,20140403,14,PM2.5,10.0
234,20140403,15,PCA,-34.226490494141785
234,20140403,15,PM2.5,12.0
240,20140403,16,PCA,-37.487959373265525
240,20140403,16,PM2.5,8.0
246,20140403,17,PCA,-38.81389573017054
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-43.66765014351954
252,20140403,18,PM2.5,9.0
258,20140403,19,PCA,-49.2633901754258
258,20140403,19,PM2.5,3.0
264,20140403,20,PCA,-44.36974520319203
264,20140403,20,PM2.5,11.0
270,20140403,21,PCA,-25.27320514204647
270,20140403,21,PM2.5,32.0
276,20140403,22,PCA,-29.871332007318344
276,20140403,22,PM2.5,25.0
282,20140403,23,PCA,-36.16049616084065
282,20140403,23,PM2.5,19.0
288,20140404,0,PCA,-34.99060298207789
288,20140404,0,PM2.5,22.0
294,20140404,1,PCA,-19.979118717927438
294,20140404,1,PM2.5,41.0
300,20140404,2,PCA,-23.751144127213333
300,20140404,2,PM2.5,37.0
306,20140404,3,PCA,-23.768429250548767
306,20140404,3,PM2.5,34.0
312,20140404,4,PCA,-22.832988461212125
312,20140404,4,PM2.5,35.0
318,20140404,5,PCA,-24.686009035400296
318,20140404,5,PM2.5,30.0
324,20140404,6,PCA,-22.00502873436976
324,20140404,6,PM2.5,31.0
330,20140404,7,PCA,-14.650683545006176
330,20140404,7,PM2.5,36.0
336,20140404,8,PCA,-9.507488773123676
336,20140404,8,PM2.5,41.0
342,20140404,9,PCA,7.266887515547148
342,20140404,9,PM2.5,58.0
348,20140404,10,PCA,17.11851862369776
348,20140404,10,PM2.5,69.0
354,20140404,11,PCA,8.907377810821854
354,20140404,11,PM2.5,58.0
360,20140404,12,PCA,-10.345811108913587
360,20140404,12,PM2.5,43.0
378,20140404,15,PCA,-42.973798146842476
378,20140404,15,PM2.5,8.0
384,20140404,16,PCA,-39.21870863734447
384,20140404,16,PM2.5,12.0
390,20140404,17,PCA,-38.54222041551635
390,20140404,17,PM2.5,12.0
396,20140404,18,PCA,-34.76569100045337
396,20140404,18,PM2.5,13.0
402,20140404,19,PCA,-34.955334787430665
402,20140404,19,PM2.5,10.0
408,20140404,20,PCA,-34.11624286537648
408,20140404,20,PM2.5,11.0
414,20140404,21,PCA,-35.65222392241278
414,20140404,21,PM2.5,10.0
420,20140404,22,PCA,-34.809125224217716
420,20140404,22,PM2.5,10.0
426,20140404,23,PCA,-38.318129447623306
426,20140404,23,PM2.5,6.0
432,20140405,0,PCA,-37.67926889187192
432,20140405,0,PM2.5,8.0
438,20140405,1,PCA,-42.5691222615947
438,20140405,1,PM2.5,5.0
444,20140405,2,PCA,-45.30052815554288
444,20140405,2,PM2.5,4.0
450,20140405,3,PCA,-44.039064159127044
450,20140405,3,PM2.5,8.0
456,20140405,4,PCA,-46.278299480890425
456,20140405,4,PM2.5,7.0
462,20140405,5,PCA,-48.373465399532556
462,20140405,5,PM2.5,7.0
468,20140405,6,PCA,-47.74553032945287
468,20140405,6,PM2.5,9.0
474,20140405,7,PCA,-48.32802803760266
474,20140405,7,PM2.5,8.0
480,20140405,8,PCA,-50.01008163592574
480,20140405,8,PM2.5,8.0
486,20140405,9,PCA,-53.2934801379064
