,date,hour,type,榆垡
72,20140402,12,PCA,97.16273565029964
72,20140402,12,PM2.5,186.0
78,20140402,13,PCA,88.26066046183995
78,20140402,13,PM2.5,189.0
84,20140402,14,PCA,59.62362796526975
84,20140402,14,PM2.5,150.0
90,20140402,15,PCA,103.76935755626967
90,20140402,15,PM2.5,196.0
96,20140402,16,PCA,89.90814135015572
96,20140402,16,PM2.5,167.0
102,20140402,17,PCA,100.90478002939297
102,20140402,17,PM2.5,170.0
108,20140402,18,PCA,51.256097250342116
108,20140402,18,PM2.5,104.0
114,20140402,19,PCA,29.28024930744976
114,20140402,19,PM2.5,72.0
120,20140402,20,PCA,30.960290228454543
120,20140402,20,PM2.5,64.5
126,20140402,21,PCA,31.9499557767697
126,20140402,21,PM2.5,57.0
132,20140402,22,PCA,27.228905876556954
132,20140402,22,PM2.5,52.0
138,20140402,23,PCA,16.113979204236706
138,20140402,23,PM2.5,46.0
144,20140403,0,PCA,7.707408293530658
144,20140403,0,PM2.5,39.0
150,20140403,1,PCA,1.9552118899948494
150,20140403,1,PM2.5,37.0
156,20140403,2,PCA,4.941039731891019
156,20140403,2,PM2.5,40.0
162,20140403,3,PCA,7.926867573787192
162,20140403,3,PM2.5,43.0
168,20140403,4,PCA,-4.695205062243783
168,20140403,4,PM2.5,37.0
174,20140403,5,PCA,-5.890124606453289
174,20140403,5,PM2.5,36.0
180,20140403,6,PCA,-0.6014351667157327
180,20140403,6,PM2.5,44.0
186,20140403,7,PCA,-8.049636669758124
186,20140403,7,PM2.5,42.0
192,20140403,8,PCA,-15.021623660149244
192,20140403,8,PM2.5,40.0
198,20140403,9,PCA,-32.69338284470784
198,20140403,9,PM2.5,27.0
204,20140403,10,PCA,-41.591880264157254
204,20140403,10,PM2.5,24.0
210,20140403,11,PCA,-49.8775971633467
210,20140403,11,PM2.5,24.0
216,20140403,12,PCA,-60.37303233474021
216,20140403,12,PM2.5,17.0
222,20140403,13,PCA,-65.53653779067251
222,20140403,13,PM2.5,14.0
228,20140403,14,PCA,-59.70027315954373
228,20140403,14,PM2.5,24.0
234,20140403,15,PCA,-67.7355020819577
234,20140403,15,PM2.5,16.0
240,20140403,16,PCA,-73.67690338091455
240,20140403,16,PM2.5,12.0
246,20140403,17,PCA,-77.3107717312343
246,20140403,17,PM2.5,14.0
252,20140403,18,PCA,-75.88729104785297
252,20140403,18,PM2.5,15.0
258,20140403,19,PCA,-77.29861265089086
258,20140403,19,PM2.5,13.0
264,20140403,20,PCA,-70.72714933154806
264,20140403,20,PM2.5,18.0
270,20140403,21,PCA,-68.09942104576676
270,20140403,21,PM2.5,21.0
276,20140403,22,PCA,-38.51913254417259
276,20140403,22,PM2.5,54.0
282,20140403,23,PCA,-55.490329204284144
282,20140403,23,PM2.5,36.0
288,20140404,0,PCA,-62.01786590974615
288,20140404,0,PM2.5,27.0
294,20140404,1,PCA,-62.99941712616466
294,20140404,1,PM2.5,24.0
300,20140404,2,PCA,-61.18419899013351
300,20140404,2,PM2.5,26.0
306,20140404,3,PCA,-61.22020688521078
306,20140404,3,PM2.5,28.0
312,20140404,4,PCA,-60.1792409580727
