,date,hour,type,永乐店
72,20140402,12,PCA,107.14266522353527
72,20140402,12,PM2.5,193.0
78,20140402,13,PCA,50.98223629494812
78,20140402,13,PM2.5,126.0
84,20140402,14,PCA,91.94700533803277
84,20140402,14,PM2.5,179.0
90,20140402,15,PCA,59.39381614784235
90,20140402,15,PM2.5,134.0
96,20140402,16,PCA,85.321958111394
96,20140402,16,PM2.5,158.0
102,20140402,17,PCA,61.259063336120136
102,20140402,17,PM2.5,121.0
108,20140402,18,PCA,45.811263490199586
108,20140402,18,PM2.5,96.0
114,20140402,19,PCA,41.28233938875326
114,20140402,19,PM2.5,84.0
120,20140402,20,PCA,34.62225462811178
120,20140402,20,PM2.5,73.5
126,20140402,21,PCA,25.907859485701007
126,20140402,21,PM2.5,63.0
132,20140402,22,PCA,24.725426156621953
132,20140402,22,PM2.5,63.0
138,20140402,23,PCA,9.364217061314632
138,20140402,23,PM2.5,46.0
144,20140403,0,PCA,21.510736651283548
144,20140403,0,PM2.5,55.0
150,20140403,1,PCA,8.831596186393634
150,20140403,1,PM2.5,48.0
156,20140403,2,PCA,17.352334278489092
156,20140403,2,PM2.5,49.0
162,20140403,3,PCA,14.67123108519711
162,20140403,3,PM2.5,48.0
168,20140403,4,PCA,5.252983318505525
168,20140403,4,PM2.5,49.0
174,20140403,5,PCA,-5.148210115258348
174,20140403,5,PM2.5,37.0
180,20140403,6,PCA,6.158085403508894
180,20140403,6,PM2.5,48.0
186,20140403,7,PCA,-1.2133400860190169
186,20140403,7,PM2.5,45.0
192,20140403,8,PCA,-18.97815763306993
192,20140403,8,PM2.5,34.0
198,20140403,9,PCA,-38.19732650093859
198,20140403,9,PM2.5,22.0
204,20140403,10,PCA,-51.79250209732028
204,20140403,10,PM2.5,18.0
210,20140403,11,PCA,-62.49545525589647
210,20140403,11,PM2.5,20.0
216,20140403,12,PCA,-75.18947069258613
216,20140403,12,PM2.5,10.0
234,20140403,15,PCA,-83.55748015796591
234,20140403,15,PM2.5,4.0
240,20140403,16,PCA,-83.21093560228445
240,20140403,16,PM2.5,10.0
246,20140403,17,PCA,-85.7025281414551
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-85.50371015157067
252,20140403,18,PM2.5,12.0
258,20140403,19,PCA,-89.70504434582823
258,20140403,19,PM2.5,6.0
264,20140403,20,PCA,-72.5726923505002
264,20140403,20,PM2.5,21.0
270,20140403,21,PCA,-56.7607625157054
270,20140403,21,PM2.5,28.0
276,20140403,22,PCA,-37.28518577282444
276,20140403,22,PM2.5,43.0
282,20140403,23,PCA,-60.565709985493804
282,20140403,23,PM2.5,25.0
288,20140404,0,PCA,-64.05870626542156
288,20140404,0,PM2.5,25.0
294,20140404,1,PCA,-62.61894691696629
294,20140404,1,PM2.5,25.0
300,20140404,2,PCA,-56.05677259495557
300,20140404,2,PM2.5,31.0
306,20140404,3,PCA,-58.68627136583145
306,20140404,3,PM2.5,28.0
312,20140404,4,PCA,-53.03973812982477
312,20140404,4,PM2.5,33.0
318,20140404,5,PCA,-63.51865106966691
318,20140404,5,PM2.5,22.0
324,20140404,6,PCA,-54.31899430452594
324,20140404,6,PM2.5,29.0
330,20140404,7,PCA,-49.848422765760375
