,date,hour,type,永定门内
72,20140402,12,PCA,34.368919066899906
72,20140402,12,PM2.5,87.0
78,20140402,13,PCA,28.217567205101748
78,20140402,13,PM2.5,90.0
84,20140402,14,PCA,42.689930308061435
84,20140402,14,PM2.5,110.0
90,20140402,15,PCA,43.98060794374243
90,20140402,15,PM2.5,112.0
96,20140402,16,PCA,44.640734384271724
96,20140402,16,PM2.5,113.0
102,20140402,17,PCA,73.02613485208082
102,20140402,17,PM2.5,136.0
108,20140402,18,PCA,81.29378962959971
108,20140402,18,PM2.5,137.0
114,20140402,19,PCA,68.39503583694868
114,20140402,19,PM2.5,112.0
120,20140402,20,PCA,60.40058585059271
120,20140402,20,PM2.5,98.5
126,20140402,21,PCA,51.71929236471657
126,20140402,21,PM2.5,85.0
132,20140402,22,PCA,51.92690063673682
132,20140402,22,PM2.5,85.0
138,20140402,23,PCA,31.685766079784415
138,20140402,23,PM2.5,61.0
144,20140403,0,PCA,23.105392365880398
144,20140403,0,PM2.5,54.0
150,20140403,1,PCA,13.604392703215948
150,20140403,1,PM2.5,50.0
156,20140403,2,PCA,15.90921968889967
156,20140403,2,PM2.5,52.0
162,20140403,3,PCA,20.44050784395172
162,20140403,3,PM2.5,57.0
168,20140403,4,PCA,4.955400192297723
168,20140403,4,PM2.5,41.0
174,20140403,5,PCA,0.9701717913404895
174,20140403,5,PM2.5,37.0
180,20140403,6,PCA,-13.812164635431452
180,20140403,6,PM2.5,25.0
186,20140403,7,PCA,-21.918033455331898
186,20140403,7,PM2.5,16.0
192,20140403,8,PCA,-35.4262330883434
192,20140403,8,PM2.5,7.0
198,20140403,9,PCA,-47.60565766118867
198,20140403,9,PM2.5,12.0
204,20140403,10,PCA,-58.230944472852165
204,20140403,10,PM2.5,8.0
210,20140403,11,PCA,-62.62283400763336
210,20140403,11,PM2.5,9.0
216,20140403,12,PCA,-60.41725864411322
216,20140403,12,PM2.5,15.0
222,20140403,13,PCA,-62.445108778727324
222,20140403,13,PM2.5,16.0
228,20140403,14,PCA,-63.30503553546355
228,20140403,14,PM2.5,14.0
234,20140403,15,PCA,-65.01065940945314
234,20140403,15,PM2.5,12.0
240,20140403,16,PCA,-66.93838847243903
240,20140403,16,PM2.5,9.0
246,20140403,17,PCA,-70.3526556395627
246,20140403,17,PM2.5,6.0
252,20140403,18,PCA,-67.57033906101412
252,20140403,18,PM2.5,7.0
258,20140403,19,PCA,-58.52501072250928
258,20140403,19,PM2.5,17.0
264,20140403,20,PCA,-48.959909603295564
264,20140403,20,PM2.5,20.0
270,20140403,21,PCA,-39.106557620784926
270,20140403,21,PM2.5,25.0
276,20140403,22,PCA,-29.357849149720774
276,20140403,22,PM2.5,41.0
282,20140403,23,PCA,-37.10864040567297
282,20140403,23,PM2.5,37.0
288,20140404,0,PCA,-40.95888128553263
288,20140404,0,PM2.5,41.0
294,20140404,1,PCA,-49.36847200007106
