,date,hour,type,琉璃河
72,20140402,12,PCA,5.050237006537485
72,20140402,12,PM2.5,64.0
78,20140402,13,PCA,2.003473718615592
78,20140402,13,PM2.5,70.0
84,20140402,14,PCA,9.905900135650233
84,20140402,14,PM2.5,84.0
90,20140402,15,PCA,38.452549382851636
90,20140402,15,PM2.5,124.0
96,20140402,16,PCA,79.48418113484755
96,20140402,16,PM2.5,171.0
102,20140402,17,PCA,82.0324686715134
102,20140402,17,PM2.5,164.0
108,20140402,18,PCA,97.4715773915377
108,20140402,18,PM2.5,171.0
114,20140402,19,PCA,61.58763761684676
114,20140402,19,PM2.5,125.0
120,20140402,20,PCA,51.30281946560595
120,20140402,20,PM2.5,109.0
126,20140402,21,PCA,41.01800131436512
126,20140402,21,PM2.5,93.0
132,20140402,22,PCA,32.390896525623326
132,20140402,22,PM2.5,78.0
138,20140402,23,PCA,17.06669269372365
138,20140402,23,PM2.5,64.0
144,20140403,0,PCA,-3.1617692443937284
144,20140403,0,PM2.5,42.0
150,20140403,1,PCA,-12.856811757008952
150,20140403,1,PM2.5,35.0
156,20140403,2,PCA,-16.417794453136576
156,20140403,2,PM2.5,35.0
162,20140403,3,PCA,-11.175922188830864
162,20140403,3,PM2.5,41.0
168,20140403,4,PCA,-18.007347281938657
168,20140403,4,PM2.5,42.0
174,20140403,5,PCA,-4.470848365488341
174,20140403,5,PM2.5,54.0
180,20140403,6,PCA,-3.147765543328611
180,20140403,6,PM2.5,55.0
186,20140403,7,PCA,-6.543979020051964
186,20140403,7,PM2.5,57.0
192,20140403,8,PCA,-5.912704557313012
192,20140403,8,PM2.5,61.0
198,20140403,9,PCA,-17.952333257553153
198,20140403,9,PM2.5,56.0
204,20140403,10,PCA,-39.84553104626833
204,20140403,10,PM2.5,37.0
210,20140403,11,PCA,-54.83997502270433
210,20140403,11,PM2.5,23.0
216,20140403,12,PCA,-69.02577050763948
216,20140403,12,PM2.5,7.0
222,20140403,13,PCA,-68.84621037399818
222,20140403,13,PM2.5,10.0
228,20140403,14,PCA,-70.40029871710503
228,20140403,14,PM2.5,12.0
234,20140403,15,PCA,-73.82595618944659
234,20140403,15,PM2.5,10.0
240,20140403,16,PCA,-77.67892995192429
240,20140403,16,PM2.5,9.0
246,20140403,17,PCA,-79.30749253146048
246,20140403,17,PM2.5,12.0
252,20140403,18,PCA,-79.75085067177798
252,20140403,18,PM2.5,19.0
258,20140403,19,PCA,-81.0432072224452
258,20140403,19,PM2.5,19.0
264,20140403,20,PCA,-83.92697764822975
264,20140403,20,PM2.5,16.0
270,20140403,21,PCA,-73.32192580132242
270,20140403,21,PM2.5,18.0
276,20140403,22,PCA,-69.21229121316308
276,20140403,22,PM2.5,24.0
282,20140403,23,PCA,-62.91750003691093
282,20140403,23,PM2.5,36.0
288,20140404,0,PCA,-65.68321242801626
288,20140404,0,PM2.5,34.0
294,20140404,1,PCA,-59.79318825672351
294,20140404,1,PM2.5,39.0
300,20140404,2,PCA,-57.94224351795901
300,20140404,2,PM2.5,40.0
306,20140404,3,PCA,-55.79120834762609
306,20140404,3,PM2.5,40.0
312,20140404,4,PCA,-56.70318007748765
312,20140404,4,PM2.5,38.0
318,20140404,5,PCA,-57.52897579181747
318,20140404,5,PM2.5,37.0
324,20140404,6,PCA,-54.58062173138728
324,20140404,6,PM2.5,41.0
330,20140404,7,PCA,-55.292216042809585
330,20140404,7,PM2.5,39.0
336,20140404,8,PCA,-46.51000430838143
336,20140404,8,PM2.5,50.0
342,20140404,9,PCA,-46.70713436748469
342,20140404,9,PM2.5,48.0
348,20140404,10,PCA,-35.9840199427775
348,20140404,10,PM2.5,64.0
354,20140404,11,PCA,-39.36062416625858
354,20140404,11,PM2.5,58.5
360,20140404,12,PCA,-43.411952774139884
360,20140404,12,PM2.5,53.0
366,20140404,13,PCA,-63.046021992926924
366,20140404,13,PM2.5,36.0
372,20140404,14,PCA,-64.64579132001207
372,20140404,14,PM2.5,33.0
378,20140404,15,PCA,-77.5625068538897
378,20140404,15,PM2.5,18.0
384,20140404,16,PCA,-75.81731727801994
384,20140404,16,PM2.5,19.0
390,20140404,17,PCA,-67.99230420828582
390,20140404,17,PM2.5,28.0
396,20140404,18,PCA,-67.04429532125135
396,20140404,18,PM2.5,27.0
402,20140404,19,PCA,-68.939796173323
402,20140404,19,PM2.5,20.0
408,20140404,20,PCA,-69.83862102546699
408,20140404,20,PM2.5,16.0
414,20140404,21,PCA,-67.52414102463986
414,20140404,21,PM2.5,18.0
420,20140404,22,PCA,-34.21790376496635
420,20140404,22,PM2.5,52.0
426,20140404,23,PCA,-35.295534421030126
426,20140404,23,PM2.5,49.0
432,20140405,0,PCA,-42.13347951549798
432,20140405,0,PM2.5,37.0
438,20140405,1,PCA,-43.77083484140324
438,20140405,1,PM2.5,33.0
444,20140405,2,PCA,-39.343487339324824
444,20140405,2,PM2.5,37.0
450,20140405,3,PCA,-45.70144087430441
450,20140405,3,PM2.5,34.0
456,20140405,4,PCA,-46.09609760000851
456,20140405,4,PM2.5,36.0
462,20140405,5,PCA,-46.503647204021924
462,20140405,5,PM2.5,32.0
468,20140405,6,PCA,-43.452037846118984
468,20140405,6,PM2.5,34.0
474,20140405,7,PCA,-45.53937030171673
474,20140405,7,PM2.5,30.0
480,20140405,8,PCA,-44.77593594657096
480,20140405,8,PM2.5,34.0
486,20140405,9,PCA,-48.14410326955191
486,20140405,9,PM2.5,33.0
492,20140405,10,PCA,-52.585690886006674
492,20140405,10,PM2.5,30.0
498,20140405,11,PCA,-58.888022604372566
498,20140405,11,PM2.5,24.0
504,20140405,12,PCA,-62.10355925653704
504,20140405,12,PM2.5,23.0
510,20140405,13,PCA,-59.54672782923869
510,20140405,13,PM2.5,28.0
516,20140405,14,PCA,-62.327235146202995
516,20140405,14,PM2.5,24.0
522,20140405,15,PCA,-64.2537566698589
522,20140405,15,PM2.5,22.0
528,20140405,16,PCA,-62.482564832274235
528,20140405,16,PM2.5,25.0
534,20140405,17,PCA,-59.58313054019935
534,20140405,17,PM2.5,30.0
540,20140405,18,PCA,-59.11600083210982
540,20140405,18,PM2.5,31.0
546,20140405,19,PCA,-46.957919440772834
546,20140405,19,PM2.5,45.0
552,20140405,20,PCA,-48.658108697491606
552,20140405,20,PM2.5,42.0
558,20140405,21,PCA,-45.37435607513721
558,20140405,21,PM2.5,45.0
564,20140405,22,PCA,-44.227923610490286
564,20140405,22,PM2.5,51.0
570,20140405,23,PCA,-43.276216902803036
570,20140405,23,PM2.5,54.0
576,20140406,0,PCA,-38.66956535383284
576,20140406,0,PM2.5,59.0
582,20140406,1,PCA,-36.96007803982068
582,20140406,1,PM2.5,59.0
588,20140406,2,PCA,-35.69776211586329
588,20140406,2,PM2.5,59.5
594,20140406,3,PCA,-34.435446191905896
594,20140406,3,PM2.5,60.0
600,20140406,4,PCA,-27.128143601777122
600,20140406,4,PM2.5,67.0
606,20140406,5,PCA,-22.49978506121101
606,20140406,5,PM2.5,68.0
