,date,hour,type,西直门北
72,20140402,12,PCA,18.33921880276888
72,20140402,12,PM2.5,74.0
78,20140402,13,PCA,5.570945843949698
78,20140402,13,PM2.5,63.0
84,20140402,14,PCA,8.473294785104232
84,20140402,14,PM2.5,72.0
90,20140402,15,PCA,27.22734023511515
90,20140402,15,PM2.5,96.0
96,20140402,16,PCA,33.4987109242102
96,20140402,16,PM2.5,104.0
102,20140402,17,PCA,54.21725723705653
102,20140402,17,PM2.5,123.0
108,20140402,18,PCA,73.96906791840455
108,20140402,18,PM2.5,142.0
114,20140402,19,PCA,72.77082965282939
114,20140402,19,PM2.5,126.0
120,20140402,20,PCA,63.88214604946006
120,20140402,20,PM2.5,112.5
126,20140402,21,PCA,53.598986031644806
126,20140402,21,PM2.5,99.0
132,20140402,22,PCA,29.925364215339478
132,20140402,22,PM2.5,72.0
138,20140402,23,PCA,28.689736609319496
138,20140402,23,PM2.5,68.0
144,20140403,0,PCA,18.812359640800985
144,20140403,0,PM2.5,56.0
150,20140403,1,PCA,14.589503026219868
150,20140403,1,PM2.5,53.0
156,20140403,2,PCA,8.551105831608632
156,20140403,2,PM2.5,48.0
162,20140403,3,PCA,7.30844020153962
162,20140403,3,PM2.5,46.0
168,20140403,4,PCA,8.547323101882082
168,20140403,4,PM2.5,49.0
174,20140403,5,PCA,5.313705129375577
174,20140403,5,PM2.5,50.0
180,20140403,6,PCA,-17.435196288844935
180,20140403,6,PM2.5,29.0
186,20140403,7,PCA,-35.989083966529286
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-35.85978897286805
192,20140403,8,PM2.5,11.0
198,20140403,9,PCA,-41.825535627119656
198,20140403,9,PM2.5,14.0
204,20140403,10,PCA,-52.89121503556304
204,20140403,10,PM2.5,9.0
210,20140403,11,PCA,-53.75983595804643
210,20140403,11,PM2.5,14.0
216,20140403,12,PCA,-49.9336405846014
216,20140403,12,PM2.5,25.0
222,20140403,13,PCA,-59.454609097607246
222,20140403,13,PM2.5,16.0
228,20140403,14,PCA,-59.3516007902921
228,20140403,14,PM2.5,15.0
234,20140403,15,PCA,-61.74628393785508
234,20140403,15,PM2.5,14.0
240,20140403,16,PCA,-63.200065966667545
240,20140403,16,PM2.5,10.0
246,20140403,17,PCA,-69.24345185029811
246,20140403,17,PM2.5,10.0
252,20140403,18,PCA,-68.87339349712673
252,20140403,18,PM2.5,9.0
258,20140403,19,PCA,-64.38093791699137
258,20140403,19,PM2.5,14.0
264,20140403,20,PCA,-66.17502589523023
264,20140403,20,PM2.5,15.0
270,20140403,21,PCA,-51.99328924768515
270,20140403,21,PM2.5,21.0
276,20140403,22,PCA,-47.52004366188269
276,20140403,22,PM2.5,21.0
282,20140403,23,PCA,-42.1729245154354
282,20140403,23,PM2.5,28.0
288,20140404,0,PCA,-40.80394726043314
288,20140404,0,PM2.5,38.0
294,20140404,1,PCA,-46.86302137786235
294,20140404,1,PM2.5,35.0
300,20140404,2,PCA,-56.70779212555048
300,20140404,2,PM2.5,25.0
306,20140404,3,PCA,-51.273658643905804
306,20140404,3,PM2.5,31.0
312,20140404,4,PCA,-49.336772252113754
312,20140404,4,PM2.5,31.0
318,20140404,5,PCA,-44.13015814112187
318,20140404,5,PM2.5,36.0
324,20140404,6,PCA,-41.221177084719656
324,20140404,6,PM2.5,37.0
330,20140404,7,PCA,-34.93198448022077
330,20140404,7,PM2.5,37.0
336,20140404,8,PCA,-24.472247159273003
336,20140404,8,PM2.5,47.0
342,20140404,9,PCA,-15.348602178736536
342,20140404,9,PM2.5,54.0
348,20140404,10,PCA,-5.856984666516805
348,20140404,10,PM2.5,64.0
354,20140404,11,PCA,5.66984693071164
354,20140404,11,PM2.5,76.0
360,20140404,12,PCA,-14.762079966520256
360,20140404,12,PM2.5,53.0
366,20140404,13,PCA,-32.99454604471798
366,20140404,13,PM2.5,35.0
372,20140404,14,PCA,-49.63088584135313
372,20140404,14,PM2.5,22.0
378,20140404,15,PCA,-49.68045165792434
378,20140404,15,PM2.5,26.0
384,20140404,16,PCA,-58.622420903630626
384,20140404,16,PM2.5,15.0
390,20140404,17,PCA,-57.26870526701832
390,20140404,17,PM2.5,13.0
396,20140404,18,PCA,-51.46990608530577
396,20140404,18,PM2.5,17.0
402,20140404,19,PCA,-51.30453350129972
402,20140404,19,PM2.5,16.0
408,20140404,20,PCA,-51.31171288086489
408,20140404,20,PM2.5,17.0
414,20140404,21,PCA,-48.31459706687674
414,20140404,21,PM2.5,19.0
420,20140404,22,PCA,-48.44685112630067
420,20140404,22,PM2.5,17.0
426,20140404,23,PCA,-36.076972455485794
426,20140404,23,PM2.5,26.0
432,20140405,0,PCA,-35.20325934572201
432,20140405,0,PM2.5,31.0
438,20140405,1,PCA,-31.734753917467383
438,20140405,1,PM2.5,34.0
444,20140405,2,PCA,-33.058667794547524
444,20140405,2,PM2.5,33.0
450,20140405,3,PCA,-38.64751726470211
450,20140405,3,PM2.5,29.0
456,20140405,4,PCA,-34.345342429804795
456,20140405,4,PM2.5,32.0
462,20140405,5,PCA,-31.104970759363514
462,20140405,5,PM2.5,32.0
468,20140405,6,PCA,-31.18312928518386
468,20140405,6,PM2.5,28.0
474,20140405,7,PCA,-36.54807990084996
474,20140405,7,PM2.5,22.0
480,20140405,8,PCA,-52.91130370176261
480,20140405,8,PM2.5,12.0
