,date,hour,type,通州
72,20140402,12,PCA,127.76811187687302
72,20140402,12,PM2.5,200.0
78,20140402,13,PCA,77.97901185134084
78,20140402,13,PM2.5,142.0
84,20140402,14,PCA,34.98689846282668
84,20140402,14,PM2.5,87.0
90,20140402,15,PCA,35.559395995808764
90,20140402,15,PM2.5,91.0
96,20140402,16,PCA,50.099472319831186
96,20140402,16,PM2.5,103.0
102,20140402,17,PCA,78.4719864849468
102,20140402,17,PM2.5,134.0
108,20140402,18,PCA,60.71098203373039
108,20140402,18,PM2.5,103.0
114,20140402,19,PCA,58.16822987059536
114,20140402,19,PM2.5,90.0
120,20140402,20,PCA,54.99296245204198
120,20140402,20,PM2.5,79.0
126,20140402,21,PCA,60.18648303021344
126,20140402,21,PM2.5,79.0
132,20140402,22,PCA,69.63352325464228
132,20140402,22,PM2.5,81.0
138,20140402,23,PCA,49.44868104441235
138,20140402,23,PM2.5,63.0
144,20140403,0,PCA,41.700345618401585
144,20140403,0,PM2.5,58.0
150,20140403,1,PCA,26.99200856255659
150,20140403,1,PM2.5,50.0
156,20140403,2,PCA,23.230340232663636
156,20140403,2,PM2.5,48.0
162,20140403,3,PCA,25.779262442941747
162,20140403,3,PM2.5,56.0
168,20140403,4,PCA,15.506186745525536
168,20140403,4,PM2.5,46.0
174,20140403,5,PCA,7.806244908633671
174,20140403,5,PM2.5,40.0
180,20140403,6,PCA,-16.559535410765896
180,20140403,6,PM2.5,17.0
186,20140403,7,PCA,-37.0229182860419
186,20140403,7,PM2.5,3.0
192,20140403,8,PCA,-37.681305594239284
192,20140403,8,PM2.5,8.0
198,20140403,9,PCA,-41.92933586684767
198,20140403,9,PM2.5,13.0
204,20140403,10,PCA,-55.490440325533854
204,20140403,10,PM2.5,10.0
210,20140403,11,PCA,-59.25220552272856
210,20140403,11,PM2.5,19.0
216,20140403,12,PCA,-71.1834980379706
216,20140403,12,PM2.5,12.0
222,20140403,13,PCA,-74.08753414813187
222,20140403,13,PM2.5,11.0
228,20140403,14,PCA,-74.07641770891323
228,20140403,14,PM2.5,9.0
234,20140403,15,PCA,-67.14712832127417
234,20140403,15,PM2.5,20.0
240,20140403,16,PCA,-78.65683869758897
240,20140403,16,PM2.5,4.0
246,20140403,17,PCA,-79.1629650128953
246,20140403,17,PM2.5,6.0
252,20140403,18,PCA,-77.27429917840077
252,20140403,18,PM2.5,10.0
258,20140403,19,PCA,-68.09843082563135
258,20140403,19,PM2.5,18.0
264,20140403,20,PCA,-60.13501543801352
264,20140403,20,PM2.5,13.0
270,20140403,21,PCA,-42.27862527477644
270,20140403,21,PM2.5,23.0
276,20140403,22,PCA,-25.404230148320593
276,20140403,22,PM2.5,50.0
282,20140403,23,PCA,-37.10203768299167
282,20140403,23,PM2.5,43.0
288,20140404,0,PCA,-48.60102426169778
288,20140404,0,PM2.5,33.0
294,20140404,1,PCA,-41.993539780622875
294,20140404,1,PM2.5,39.0
300,20140404,2,PCA,-55.01714678078069
300,20140404,2,PM2.5,29.0
306,20140404,3,PCA,-54.7124162199954
306,20140404,3,PM2.5,27.0
312,20140404,4,PCA,-53.14991175276782
312,20140404,4,PM2.5,26.0
318,20140404,5,PCA,-48.8115296509054
318,20140404,5,PM2.5,30.0
324,20140404,6,PCA,-50.61444967758017
