,date,hour,type,门头沟
72,20140402,12,PCA,-12.519946873672845
72,20140402,12,PM2.5,36.0
78,20140402,13,PCA,-3.4698312789749304
78,20140402,13,PM2.5,55.0
84,20140402,14,PCA,-1.8273281817064049
84,20140402,14,PM2.5,61.0
90,20140402,15,PCA,-7.105261821927206
90,20140402,15,PM2.5,55.0
96,20140402,16,PCA,27.24827371077913
96,20140402,16,PM2.5,102.0
102,20140402,17,PCA,43.16723901654016
102,20140402,17,PM2.5,123.0
108,20140402,18,PCA,73.26606879789915
108,20140402,18,PM2.5,152.0
114,20140402,19,PCA,83.03493648628354
114,20140402,19,PM2.5,152.0
120,20140402,20,PCA,81.682255128862
120,20140402,20,PM2.5,141.0
126,20140402,21,PCA,52.72328366063034
126,20140402,21,PM2.5,104.0
132,20140402,22,PCA,44.42770633874847
132,20140402,22,PM2.5,92.0
138,20140402,23,PCA,28.15786829864032
138,20140402,23,PM2.5,64.0
144,20140403,0,PCA,37.57265522438352
144,20140403,0,PM2.5,68.0
150,20140403,1,PCA,33.82237467393803
150,20140403,1,PM2.5,67.0
156,20140403,2,PCA,35.48567321229592
156,20140403,2,PM2.5,63.0
162,20140403,3,PCA,38.832262771654605
162,20140403,3,PM2.5,68.0
168,20140403,4,PCA,27.791921639997938
168,20140403,4,PM2.5,65.0
174,20140403,5,PCA,-27.100858291106153
174,20140403,5,PM2.5,9.0
180,20140403,6,PCA,-31.958892744106556
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-21.97753328096265
186,20140403,7,PM2.5,8.0
192,20140403,8,PCA,-25.901861465572466
192,20140403,8,PM2.5,11.0
198,20140403,9,PCA,-34.90955381172674
198,20140403,9,PM2.5,5.0
204,20140403,10,PCA,-34.10065403992245
204,20140403,10,PM2.5,10.0
210,20140403,11,PCA,-35.45512334478197
210,20140403,11,PM2.5,10.0
216,20140403,12,PCA,-31.02971014355131
216,20140403,12,PM2.5,16.0
222,20140403,13,PCA,-35.663087198242835
222,20140403,13,PM2.5,10.0
228,20140403,14,PCA,-36.742699594712946
228,20140403,14,PM2.5,10.0
234,20140403,15,PCA,-36.30511884447553
234,20140403,15,PM2.5,12.0
240,20140403,16,PCA,-36.52784854194887
240,20140403,16,PM2.5,15.0
366,20140404,13,PCA,-33.14731648966382
366,20140404,13,PM2.5,14.0
372,20140404,14,PCA,-27.898820177853857
372,20140404,14,PM2.5,23.0
378,20140404,15,PCA,-28.599618149714406
