,date,hour,type,顺义
72,20140402,12,PCA,40.82182752783175
72,20140402,12,PM2.5,82.0
78,20140402,13,PCA,34.5273292413343
78,20140402,13,PM2.5,71.0
84,20140402,14,PCA,49.43445838194168
84,20140402,14,PM2.5,84.5
90,20140402,15,PCA,64.34158752254889
90,20140402,15,PM2.5,98.0
96,20140402,16,PCA,43.71194176906598
96,20140402,16,PM2.5,72.0
102,20140402,17,PCA,63.51302537217299
102,20140402,17,PM2.5,110.0
108,20140402,18,PCA,76.82901442870342
108,20140402,18,PM2.5,128.0
114,20140402,19,PCA,62.67610427086988
114,20140402,19,PM2.5,104.0
120,20140402,20,PCA,66.69182264192666
120,20140402,20,PM2.5,105.0
126,20140402,21,PCA,63.28158605519885
126,20140402,21,PM2.5,94.0
132,20140402,22,PCA,73.70229912126501
132,20140402,22,PM2.5,102.0
138,20140402,23,PCA,55.24070751435431
138,20140402,23,PM2.5,81.0
144,20140403,0,PCA,56.35186811276154
144,20140403,0,PM2.5,78.0
150,20140403,1,PCA,55.5615470776523
150,20140403,1,PM2.5,76.0
156,20140403,2,PCA,43.92643777171388
156,20140403,2,PM2.5,62.0
162,20140403,3,PCA,42.06699495420697
162,20140403,3,PM2.5,65.0
168,20140403,4,PCA,20.76977012039021
168,20140403,4,PM2.5,47.0
174,20140403,5,PCA,-24.45202222915722
174,20140403,5,PM2.5,7.0
180,20140403,6,PCA,-32.80493512541069
180,20140403,6,PM2.5,3.0
186,20140403,7,PCA,-31.49122682565781
186,20140403,7,PM2.5,4.0
192,20140403,8,PCA,-25.66207251233646
192,20140403,8,PM2.5,10.0
198,20140403,9,PCA,-41.151418076248206
198,20140403,9,PM2.5,8.0
204,20140403,10,PCA,-44.17925631488664
204,20140403,10,PM2.5,10.0
210,20140403,11,PCA,-48.77815156361595
210,20140403,11,PM2.5,9.0
216,20140403,12,PCA,-52.63200309544391
216,20140403,12,PM2.5,7.0
222,20140403,13,PCA,-55.590190493239184
222,20140403,13,PM2.5,5.0
228,20140403,14,PCA,-41.28315850750917
228,20140403,14,PM2.5,23.0
234,20140403,15,PCA,-43.495184645482404
234,20140403,15,PM2.5,18.0
240,20140403,16,PCA,-54.21629972839211
240,20140403,16,PM2.5,3.0
246,20140403,17,PCA,-51.33941874198885
246,20140403,17,PM2.5,14.0
252,20140403,18,PCA,-61.087963825758735
252,20140403,18,PM2.5,7.0
258,20140403,19,PCA,-61.84401207967593
258,20140403,19,PM2.5,3.0
264,20140403,20,PCA,-54.826012640924205
264,20140403,20,PM2.5,11.0
270,20140403,21,PCA,-47.12388489727547
270,20140403,21,PM2.5,16.0
276,20140403,22,PCA,-27.342948171126704
276,20140403,22,PM2.5,36.0
282,20140403,23,PCA,-20.671885763461326
282,20140403,23,PM2.5,45.0
288,20140404,0,PCA,-25.023307161620906
288,20140404,0,PM2.5,44.0
294,20140404,1,PCA,-34.233097477587116
294,20140404,1,PM2.5,38.0
300,20140404,2,PCA,-41.710518213263434
300,20140404,2,PM2.5,32.0
306,20140404,3,PCA,-43.172843999223545
306,20140404,3,PM2.5,30.0
312,20140404,4,PCA,-43.39186848165004
312,20140404,4,PM2.5,25.0
318,20140404,5,PCA,-32.801531987914814
318,20140404,5,PM2.5,33.0
324,20140404,6,PCA,-26.874392936145703
324,20140404,6,PM2.5,36.0
330,20140404,7,PCA,-17.028084478493273
330,20140404,7,PM2.5,48.0
336,20140404,8,PCA,-17.228183413695696
336,20140404,8,PM2.5,50.0
342,20140404,9,PCA,-28.677001908913653
342,20140404,9,PM2.5,37.0
348,20140404,10,PCA,-15.645841666977883
348,20140404,10,PM2.5,55.0
366,20140404,13,PCA,-18.394768972107414
366,20140404,13,PM2.5,37.0
372,20140404,14,PCA,-2.5618063275107015
372,20140404,14,PM2.5,58.0
378,20140404,15,PCA,-20.000404705764748
378,20140404,15,PM2.5,35.0
384,20140404,16,PCA,-37.0661210262374
384,20140404,16,PM2.5,18.0
390,20140404,17,PCA,-41.89593363063158
390,20140404,17,PM2.5,17.0
396,20140404,18,PCA,-43.829020602581295
396,20140404,18,PM2.5,16.0
402,20140404,19,PCA,-40.16103978901804
402,20140404,19,PM2.5,19.0
408,20140404,20,PCA,-41.876242899793205
408,20140404,20,PM2.5,15.0
414,20140404,21,PCA,-41.652443493631964
414,20140404,21,PM2.5,13.0
420,20140404,22,PCA,-39.969987816651525
